状态限制ID	有效标志位	副键	"限制类型(1单个礼包码被使用次数限制,2单个玩家使用模板大类礼包码次数限制,3指定服务器才能使用限制,4指定服务器不能使用限制,5指定时间之后才能使用限制,6指定时间之前才能使用限制、30YYB每日登录限制、31YYB每日充值限制、32YYB七日登录限制，33YYB终身只能领取一次限制)"	限制参数1	限制参数2	限制参数3
restrict_id	valid	serial_id	restrict_type	param_0_	param_1_	param_2_
1000	1	1	1	1	0	0
1000	1	2	2	1	0	0
1000	1	3	5	1507132800	0	0
1000	1	4	6	1516204800	0	0
1001	1	1	2	1	0	0
1001	1	2	5	1507132800	0	0
1001	1	3	6	1516204800	0	0
1002	1	1	1	1	0	0
1003	1	1	1	1	0	0
1003	1	2	2	1	0	0
1003	1	3	5	1507132800	0	0
1003	1	4	6	1510675200	0	0
1004	1	1	1	1	0	0
1004	1	2	2	1	0	0
1004	1	3	5	1507132800	0	0
1004	1	4	6	1546012800	0	0
1005	1	1	2	1	0	0
1005	1	2	1	200	0	0
1005	1	3	5	1507132800	0	0
1005	1	4	6	1516204800	0	0
1006	1	1	1	1	0	0
1006	1	2	2	99	0	0
1006	1	3	5	1507132800	0	0
1006	1	4	6	1516204800	0	0
1007	1	2	2	1	0	0
1007	1	3	5	1509120000	0	0
1007	1	4	6	1509465599	0	0
1008	1	1	2	1	0	0
1008	1	2	5	1509292800	0	0
1008	1	3	6	1509897599	0	0
1009	1	1	2	1	0	0
1009	1	2	5	1509897600	0	0
1009	1	3	6	1510502399	0	0
1010	1	1	2	1	0	0
1010	1	2	5	1510502400	0	0
1010	1	3	6	1511107199	0	0
1011	1	1	2	1	0	0
1011	1	2	5	1511107200	0	0
1011	1	3	6	1511711999	0	0
1012	1	1	2	1	0	0
1012	1	2	5	1511712000	0	0
1012	1	3	6	1512316799	0	0
1013	1	1	1	1	0	0
1013	1	2	2	1	0	0
1013	1	3	5	1509465600	0	0
1013	1	4	6	1512057600	0	0
1014	1	1	1	1	0	0
1014	1	2	2	1	0	0
1014	1	3	5	1509379200	0	0
1014	1	4	6	1517414400	0	0
1015	1	1	1	1	0	0
1015	1	2	2	1	0	0
1015	1	3	5	1510848000	0	0
1015	1	4	6	1518364800	0	0
1016	1	1	1	1	0	0
1016	1	2	2	1	0	0
1016	1	3	5	1510848000	0	0
1016	1	4	6	1511971200	0	0
1017	1	1	1	1	0	0
1017	1	2	2	1	0	0
1017	1	3	5	1510848000	0	0
1017	1	4	6	1511020800	0	0
1018	1	1	1	1	0	0
1018	1	2	2	1	0	0
1018	1	3	5	1510588800	0	0
1018	1	4	6	1511020800	0	0
1019	1	1	1	1	0	0
1019	1	2	2	1	0	0
1019	1	3	5	1511107200	0	0
1019	1	4	6	1511625600	0	0
1020	1	1	1	1	0	0
1020	1	2	2	1	0	0
1020	1	3	5	1511712000	0	0
1020	1	4	6	1512230400	0	0
1021	1	1	1	1	0	0
1021	1	2	2	1	0	0
1021	1	3	5	1512316800	0	0
1021	1	4	6	1512835200	0	0
1022	1	1	1	1	0	0
1022	1	2	2	1	0	0
1022	1	3	5	1513180800	0	0
1022	1	4	6	1526140800	0	0
1023	1	1	2	1	0	0
1024	1	1	2	1	0	0
1024	1	2	5	1514044800	0	0
1024	1	3	6	1514304000	0	0
1025	1	1	1	1	0	0
1025	1	2	2	1	0	0
1025	1	3	5	1514563200	0	0
1025	1	4	6	1514908800	0	0
1026	1	1	1	1000	0	0
1026	1	2	2	1	0	0
5000	1	1	30	1	0	0
5001	1	1	31	1	0	0
5002	1	1	32	1	0	0
5003	1	1	33	1	0	0
