pid_id	货币类型(美分USD\韩元KRW\日元JPY\人民币CNY\新台币TWD\泰铢THB\越南盾VND)	价格	首选商品ID
[K][S]PID	[S]Currency	[S]Price	[S]StoreId
com.pang.csjm.google.90	KRW	11000	90
com.pang.csjm.google.91	KRW	3300	91
com.pang.csjm.google.81	KRW	3300	81
com.pang.csjm.google.82	KRW	5500	82
com.pang.csjm.google.83	KRW	11000	83
com.pang.csjm.google.84	KRW	33000	84
com.pang.csjm.google.85	KRW	55000	85
com.pang.csjm.google.86	KRW	110000	86
com.pang.csjm.google.87	KRW	143000	87
com.pang.csjm.google.88	KRW	165000	88
com.pang.csjm.google.89	KRW	198000	89
com.pang.csjm.google.9	KRW	2200	9
com.pang.csjm.google.10	KRW	5500	10
com.pang.csjm.google.11	KRW	11000	11
com.pang.csjm.google.12	KRW	11000	12
com.pang.csjm.google.13	KRW	16500	13
com.pang.csjm.google.31	KRW	1100	31
com.pang.csjm.google.32	KRW	2200	32
com.pang.csjm.google.33	KRW	3300	33
com.pang.csjm.google.34	KRW	4400	34
com.pang.csjm.google.35	KRW	5500	35
com.pang.csjm.google.36	KRW	9900	36
com.pang.csjm.google.37	KRW	13200	37
com.pang.csjm.google.38	KRW	19800	38
com.pang.csjm.google.39	KRW	22000	39
com.pang.csjm.google.40	KRW	33000	40
com.pang.csjm.google.41	KRW	44000	41
com.pang.csjm.google.42	KRW	55000	42
com.pang.csjm.google.43	KRW	77000	43
com.pang.csjm.google.44	KRW	99000	44
com.pang.csjm.google.45	KRW	110000	45
com.pang.csjm.google.46	KRW	1100	46
com.pang.csjm.google.47	KRW	2200	47
com.pang.csjm.google.48	KRW	3300	48
com.pang.csjm.google.49	KRW	4400	49
com.pang.csjm.google.50	KRW	1100	50
com.pang.csjm.google.51	KRW	2200	51
com.pang.csjm.google.52	KRW	3300	52
com.pang.csjm.google.53	KRW	4400	53
com.pang.csjm.google.54	KRW	5500	54
com.pang.csjm.google.55	KRW	6600	55
com.pang.csjm.google.56	KRW	7700	56
com.pang.csjm.google.57	KRW	8800	57
com.pang.csjm.google.58	KRW	9900	58
com.pang.csjm.google.59	KRW	11000	59
com.pang.csjm.google.60	KRW	12100	60
com.pang.csjm.google.61	KRW	13200	61
com.pang.csjm.google.62	KRW	14300	62
