激活码模板ID	有效标志位	激活码小类（标识是哪个渠道，用于右边模板大类判断。激活码大类、模板大类一样则都可，后续通过类别类型判断礼包之间互斥关系，从100开始）	模板大类（为0时不做处理，检测为模板类型，大类相同，则渠道不同互斥，从1000开始）	类别类型（小类，数值相同，渠道内礼包之间互斥，数据使用后会储存服务器，不要随意更改，可改0，5000开始）	条件限制ID（1000开始）	奖励ID	礼包名称	发放数量
template_id	valid	category_id	template_type	category_type	restrict_id	reward_id	reward_name	nil
100041	1	199	1000	5999	1000	40050049	裸眼大侠专属礼包	500
100047	1	100	1000	0	1000	40050055	斗鱼专属豪礼	10000
100032	1	0	0	0	1000	40050042	微信关注礼包	20000
100044	1	0	0	0	1000	40050052	长生诀新手礼包	1000000
100045	1	0	0	0	1000	40050053	长生诀特权礼包	1000000
100046	1	0	0	0	1000	40050054	长生诀高级礼包	800000
100050	1	0	0	0	1001	40050058	官网预约礼包	1
100051	1	102	1000	0	1000	40050059	taptap专属礼包	40000
100053	1	0	0	0	1000	40050061	Q群礼包	10000
100056	1	0	0	0	1001	40050064	问卷礼包	1
100057	1	0	0	0	1000	40050065	嘉奖礼包	100000
100058	1	0	0	0	1005	40050030	蜜蜂少女公演礼包	1
100059	1	0	0	0	1000	40050031	翻唱大赛礼包	1000
100060	1	0	0	0	1000	40050032	微信专属跟宠礼包	10000
100061	1	0	0	0	1000	40050033	媒体礼包	10000
100062	1	0	0	0	1000	40050034	媒体高级礼包	8000
100063	1	0	0	0	1000	40050035	媒体尊享礼包	5000
100064	1	103	1000	0	1000	40050036	17173独家礼包	2000
100065	1	104	1000	0	1000	40050037	18183独家礼包	2000
100066	1	105	1000	0	1000	40050038	多玩独家礼包	2000
100067	1	0	0	0	1000	40050039	长生诀独家礼包	3000
100068	1	106	1000	0	1000	40050040	UC独家灵宠礼包	2000
100069	1	107	1000	0	1000	40050041	VIVO独家礼包	20000
100070	1	0	0	0	1000	40050062	专属礼包	100000
100071	1	0	0	0	1002	40050066	代金券包1	1000
100072	1	0	0	0	1002	40050067	代金券包2	1000
100073	1	0	0	0	1002	40050068	代金券包3	1000
100074	1	0	0	0	1002	40050069	代金券包4	1000
100075	1	0	0	0	1002	40050070	代金券包5	1000
100076	1	0	0	0	1002	40050071	代金券包6	1000
100077	1	0	0	0	1002	40050072	代金券包7	1000
100078	1	0	0	0	1002	40050073	代金券包8	1000
100079	1	0	0	0	1002	40050074	代金券包9	1000
100080	1	0	0	0	1002	40050075	代金券包10	1000
100081	1	0	0	0	1002	40050076	代金券包11	1000
100082	1	0	0	0	1002	40050077	代金券包12	1000
100083	1	0	0	0	1002	40050078	代金券包13	1000
100084	1	0	0	0	1002	40050079	代金券包14	1000
100085	1	0	0	0	1002	40050080	代金券包15	1000
100086	1	0	1001	5000	1000	40050081	微信抽奖幸运礼	20000
100087	1	0	1001	5001	1000	40050082	微信抽奖福利礼包	10000
100088	1	0	1001	5002	1000	40050083	微信抽奖豪华礼包	5000
100089	1	108	1000	5003	1003	40050084	魅族VIP1礼包	500
100090	1	108	1000	5004	1003	40050085	魅族VIP2礼包	250
100091	1	108	1000	5005	1003	40050086	魅族VIP3礼包	100
100092	1	108	1000	5006	1003	40050087	魅族VIP4礼包	50
100093	1	108	1000	5007	1003	40050088	魅族VIP5礼包	30
100094	1	108	1000	5008	1003	40050089	专享礼包1	500
100095	1	108	1000	5009	1003	40050090	专享礼包2	300
100096	1	108	1000	5010	1003	40050091	专享礼包3	100
100101	1	108	1000	5011	1003	40050092	荣耀黄金礼包	500
100100	1	108	1000	5012	1003	40050093	尊贵铂金礼包	250
100099	1	108	1000	5013	1003	40050094	永恒砖石礼包	100
100098	1	108	1000	5014	1003	40050095	超凡大师礼包	50
100097	1	108	1000	5015	1003	40050096	最强王者礼包	30
100102	1	109	1000	5016	1000	40050022	《长生诀》飞仙礼	8000
100103	1	109	1000	5017	1000	40050023	《长生诀》云霄礼	6000
100104	1	109	1000	5018	1000	40050024	《长生诀》金丹礼	4000
100105	1	109	1000	5019	1000	40050025	《长生诀》元婴礼	2000
100106	1	109	1000	5020	1000	40050026	《长生诀》凝液礼	1000
100107	1	109	1000	5021	1000	40050027	《长生诀》炼虚礼	600
100108	1	109	1000	5022	1000	40050028	《长生诀》化神礼	300
100109	1	110	1000	0	1000	40050021	应用宝专属礼包	10000
100110	1	111	1000	0	1000	40050097	OPPO渠道128元游戏大礼包	50000
100111	1	112	1000	5023	1000	40050098	360游戏30元礼包A	20000
100112	1	112	1000	5024	1000	40050099	360游戏30元礼包B	20000
100113	1	112	1000	5025	1000	40050100	360游戏30元礼包C	20000
100115	1	112	1000	5026	1000	40050101	360独家礼包66元	20000
100114	1	110	1000	0	1000	40050102	应用宝独家礼包66元	70000
100116	1	113	1000	0	1000	40050103	金立独家礼包66元	20000
100117	1	106	1000	0	1004	40050016	UC专属礼包	4200
100118	1	113	1000	0	1000	40050104	金立专属礼包	10000
100119	1	114	1000	0	1000	40050105	小米专属礼包	10000
100120	1	111	1000	0	1000	40050106	OPPO专属礼包	60000
100121	1	112	1000	0	1000	40050107	360专属礼包	20000
