attr_type	equip_color	有效标志位	ratio_value	parm1	parm2	parm3	parm4	备注
属性枚举	装备颜色	0	装备评分系数(百分比)	预留字段1 	预留字段2	预留字段3	预留字段4	备注
5	1	1	40	0	0	0	0	命中
6	1	1	40	0	0	0	0	闪避
7	1	1	40	0	0	0	0	暴击
8	1	1	40	0	0	0	0	韧性
9	1	1	40	0	0	0	0	暴击倍率
10	1	1	40	0	0	0	0	格挡
11	1	1	40	0	0	0	0	穿透
15	1	1	40	0	0	0	0	暴击伤害缩小
16	1	1	40	0	0	0	0	暴击伤害放大
65	1	1	200	0	0	0	0	攻击基数
66	1	1	200	0	0	0	0	防御基数
67	1	1	100	0	0	0	0	物攻
68	1	1	100	0	0	0	0	物防
70	1	1	100	0	0	0	0	真攻
71	1	1	100	0	0	0	0	真防
72	1	1	15	0	0	0	0	生命
74	1	1	40	0	0	0	0	破招
75	1	1	40	0	0	0	0	专注
76	1	1	40	0	0	0	0	伤害加深
77	1	1	40	0	0	0	0	伤害减免
78	1	1	40	0	0	0	0	物理伤害减免
79	1	1	40	0	0	0	0	真元伤害减免
5	2	1	40	0	0	0	0	命中
6	2	1	40	0	0	0	0	闪避
7	2	1	40	0	0	0	0	暴击
8	2	1	40	0	0	0	0	韧性
9	2	1	40	0	0	0	0	暴击倍率
10	2	1	40	0	0	0	0	格挡
11	2	1	40	0	0	0	0	穿透
15	2	1	40	0	0	0	0	暴击伤害缩小
16	2	1	40	0	0	0	0	暴击伤害放大
65	2	1	200	0	0	0	0	攻击基数
66	2	1	200	0	0	0	0	防御基数
67	2	1	100	0	0	0	0	物攻
68	2	1	100	0	0	0	0	物防
70	2	1	100	0	0	0	0	真攻
71	2	1	100	0	0	0	0	真防
72	2	1	15	0	0	0	0	生命
74	2	1	40	0	0	0	0	破招
75	2	1	40	0	0	0	0	专注
76	2	1	40	0	0	0	0	伤害加深
77	2	1	40	0	0	0	0	伤害减免
78	2	1	40	0	0	0	0	物理伤害减免
79	2	1	40	0	0	0	0	真元伤害减免
5	3	1	40	0	0	0	0	命中
6	3	1	40	0	0	0	0	闪避
7	3	1	40	0	0	0	0	暴击
8	3	1	40	0	0	0	0	韧性
9	3	1	40	0	0	0	0	暴击倍率
10	3	1	40	0	0	0	0	格挡
11	3	1	40	0	0	0	0	穿透
15	3	1	40	0	0	0	0	暴击伤害缩小
16	3	1	40	0	0	0	0	暴击伤害放大
65	3	1	200	0	0	0	0	攻击基数
66	3	1	200	0	0	0	0	防御基数
67	3	1	100	0	0	0	0	物攻
68	3	1	100	0	0	0	0	物防
70	3	1	100	0	0	0	0	真攻
71	3	1	100	0	0	0	0	真防
72	3	1	15	0	0	0	0	生命
74	3	1	40	0	0	0	0	破招
75	3	1	40	0	0	0	0	专注
76	3	1	40	0	0	0	0	伤害加深
77	3	1	40	0	0	0	0	伤害减免
78	3	1	40	0	0	0	0	物理伤害减免
79	3	1	40	0	0	0	0	真元伤害减免
5	4	1	40	0	0	0	0	命中
6	4	1	40	0	0	0	0	闪避
7	4	1	40	0	0	0	0	暴击
8	4	1	40	0	0	0	0	韧性
9	4	1	40	0	0	0	0	暴击倍率
10	4	1	40	0	0	0	0	格挡
11	4	1	40	0	0	0	0	穿透
15	4	1	40	0	0	0	0	暴击伤害缩小
16	4	1	40	0	0	0	0	暴击伤害放大
65	4	1	200	0	0	0	0	攻击基数
66	4	1	200	0	0	0	0	防御基数
67	4	1	100	0	0	0	0	物攻
