#序号ID	valid	#道藏类型ID	#任务品质ID	#伙伴数量	#基础道藏经验奖励	#资源奖励1	#资源奖励2	#资源奖励数量1	#资源奖励数量2	#道具奖励1	#道具奖励2	#道具奖励数量1	#道具奖励数量2	#快速完成费用	任务条件主ID
[S][C]serial_num	0	[S][C]daozang_type	[S][C]task_quality	[S][C]partner_num 	[S][C]base_exp_reward	[S][C]reward_resource_id1	[S][C]reward_resource_id2 	[S][C]reward_resource_num1 	[S][C]reward_resource_num2	[S][C]reward_item_id1	[S][C]reward_item_id2	[S][C]reward_item_num1 	[S][C]reward_item_num2	[S][C]task_finish_num	[S]task_cond_id
1	1	1	1	1	200	201	7	6000	8400	0	0	0	0	5	1
2	1	1	2	1	225	201	7	10000	14000	0	0	0	0	10	1
3	1	1	3	2	250	201	7	14000	19600	0	0	0	0	15	1
4	1	2	1	1	200	203	7	12000	8400	0	0	0	0	5	1
5	1	2	2	1	225	203	7	20000	14000	0	0	0	0	10	1
6	1	2	3	2	250	203	7	28000	19600	0	0	0	0	15	1
7	1	3	1	1	200	0	7	0	8400	410200000	0	2	0	5	1
8	1	3	2	1	225	0	7	0	14000	410200000	0	3	0	10	1
9	1	3	3	2	250	0	7	0	19600	410200000	0	4	0	15	1
10	1	4	1	1	200	0	7	0	8400	301510002	0	1	0	5	1
11	1	4	2	1	225	0	7	0	14000	301510002	0	1	0	10	1
12	1	4	3	2	250	0	7	0	19600	301510002	0	1	0	15	1
13	1	5	1	1	200	0	7	0	8400	321700000	0	1	0	5	1
14	1	5	2	1	225	0	7	0	14000	321700000	0	2	0	10	1
15	1	5	3	2	250	0	7	0	19600	321700000	0	3	0	15	1
16	1	6	1	1	200	0	7	0	8400	0	0	0	0	5	1
17	1	6	2	1	225	0	7	0	14000	0	0	0	0	10	1
18	1	6	3	2	250	0	7	0	19600	0	0	0	0	15	1
19	1	7	1	1	200	0	7	0	8400	420200100	0	1	0	5	2
20	1	7	2	1	225	0	7	0	14000	420200100	0	2	0	10	2
21	1	7	3	2	250	0	7	0	19600	420200100	0	3	0	15	2
22	1	8	1	1	200	0	7	0	8400	420300100	0	1	0	5	2
23	1	8	2	1	225	0	7	0	14000	420300100	0	2	0	10	2
24	1	8	3	2	250	0	7	0	19600	420300100	0	3	0	15	2
25	1	9	1	1	200	0	7	0	8400	400200200	0	1	0	5	2
26	1	9	2	1	225	0	7	0	14000	400200200	0	2	0	10	2
27	1	9	3	2	250	0	7	0	19600	400200200	0	3	0	15	2
28	1	10	1	1	200	201	7	6000	8400	0	0	0	0	5	2
29	1	10	2	1	225	201	7	10000	14000	0	0	0	0	10	2
30	1	10	3	2	250	201	7	14000	19600	0	0	0	0	15	2
31	1	11	1	1	200	203	7	12000	8400	0	0	0	0	5	2
32	1	11	2	1	225	203	7	20000	14000	0	0	0	0	10	2
33	1	11	3	2	250	203	7	28000	19600	0	0	0	0	15	2
34	1	12	1	1	200	0	7	0	8400	410200000	0	2	0	5	2
35	1	12	2	1	225	0	7	0	14000	410200000	0	3	0	10	2
36	1	12	3	2	250	0	7	0	19600	410200000	0	4	0	15	2
