属性池ID(1位类型<1白点2精炼属性池3蓝色属性池4法球属性池5称号属性池（5开头，5000+2位流水++1位流水+1位流水：占段走流水号），6系统（活动或玩法或系统ID,70（仙道秘法，2位职业+2位大境界+1位小层次）），7符印属性池（8+5位携带类型+2位流水）8坐骑外观属性池（80+外观ID，8+坐骑ID+1位流水）9伙伴属性池>+2位部位+2位职业+1位颜色+1位魂神+1位流水)(白色属性最多3条，蓝色属性最多5条，装备下上极品按照第一条白色属性品质来算)	副键流水号	有效标志	属性类型(1，为属性值；2为百分比属性，3，为主动技能；4为被动技能；5为技能天赋，6为主动攻击法球，7为被击触发法球，8为破招法球，9为格挡法球，10符印天地人(<0无，1天，2地，3人>)	属性枚举类型（法球对应的技能iD）	生成几率（法球的触发几率）	付费生成几率	品质1下属性等级（法球CD，单位秒），符印1档属性	品质2下属性等级（法球对应的技能等级），符印2档属性	品质3下属性等级，法球的时候代表法球加到玩家身上是否处于CD中（0是加上后要先走一遍CD、1是加上后可以立马被触发），，符印3档属性	品质4下属性等级，符印4档属性	品质5下属性等级，符印5档属性	品质6下属性等级，符印6档属性	品质7下属性等级，符印7档属性	品质8下属性等级，符印8档属性	品质9下属性等级，符印9档属性	品质10下属性等级，符印10档属性	品质11下属性等级（逆天封顶值，实际上不存在第11档，必定逆天时才用），符印10档属性满	品质1下属性的战力值	品质2下属性的战力值	品质3下属性的战力值	品质4下属性的战力值	品质5下属性的战力值	品质6下属性的战力值	品质7下属性的战力值	品质8下属性的战力值	品质9下属性的战力值	品质10下属性的战力值	品质11下属性的战力值	品质系数ID	通用参数(强化时为放大系数，精炼时为所属星级)，符印的话（0无，1天，2地，3人）
[K][C][S]ID	[K][C][S]Serial	0	[C][S]AttrType	[C][S]AttrEnum	[C][S]gen_odds	[S]	[C][S]AttrVal1	[C][S]AttrVal2	[C][S]AttrVal3	[C][S]AttrVal4	[C][S]AttrVal5	[C][S]AttrVal6	[C][S]AttrVal7	[C][S]AttrVal8	[C][S]AttrVal9	[C][S]AttrVal10	[C][S]AttrVal11	[S]add_fighting_1	[S]add_fighting_2	[S]add_fighting_3	[S]add_fighting_4	[S]add_fighting_5	[S]add_fighting_6	[S]add_fighting_7	[S]add_fighting_8	[S]add_fighting_9	[S]add_fighting_10	[S]add_fighting_11	[C][S]Quality	[C][S]Param
10011100	1	1	1	1067	10000	10000	709	744	779	815	850	886	992	1028	1063	1098	1134	709	744	779	815	850	886	992	1028	1063	1098	1134	101	10000
10111100	1	1	1	1068	10000	10000	428	449	470	492	513	535	599	620	642	663	684	428	449	470	492	513	535	599	620	642	663	684	101	10000
10211100	1	1	1	1072	10000	10000	4360	4578	4796	5014	5232	5450	6104	6322	6540	6758	6976	305	320	335	350	366	381	427	442	457	472	488	101	10000
10311100	1	1	1	1071	10000	10000	428	449	470	492	513	535	599	620	642	663	684	428	449	470	492	513	535	599	620	642	663	684	101	10000
10411100	1	1	1	1065	10000	10000	140	147	154	161	168	175	196	203	210	217	224	280	294	308	322	336	350	392	406	420	434	448	102	10000
10511100	1	1	1	1065	10000	10000	140	147	154	161	168	175	196	203	210	217	224	280	294	308	322	336	350	392	406	420	434	448	103	10000
10611100	1	1	1	1065	10000	10000	140	147	154	161	168	175	196	203	210	217	224	280	294	308	322	336	350	392	406	420	434	448	103	10000
10711100	1	1	1	1072	10000	10000	4360	4578	4796	5014	5232	5450	6104	6322	6540	6758	6976	305	320	335	350	366	381	427	442	457	472	488	102	10000
10811100	1	1	1	1067	10000	10000	145	152	159	166	174	181	203	210	217	224	232	145	152	159	166	174	181	203	210	217	224	232	102	10000
