类型（1主件套，2辅件套，3饰品套，4翅膀，5武器强化等级，10套装，11武器，12龙魂，13灵宝，101时装升阶特效）	外观ID（对应fashion_cfg表里外观ID）	职业（每个职业男女各1个）	性别（每个职业男女各1个）	特效ID（与effect_config.lua里的特效ID对应）	名称（U3D中预设的名称）	特效节点名称（特效挂在什么位置，无特殊位置或偏移的情况下话一般用fushou_fx）	大小缩放	rimR1	rimG1	rimB1	rimA1	hairR1	hairG1	hairB1	TinitR1	TinitG1	TinitB1	TinitR2	TinitG2	TinitB2	ambR1	ambG1	ambB1	ambA1
[K][C][S]type	[K][C][S]lvl	[K][C][S]pro	[K][C][S]sex	[C]effectID	[C][S]name	[C]attachName	[C]scale	[C]rimR1	[C]rimG1	[C]rimB1	[C]rimA1	[C]hairR1	[C]hairG1	[C]hairB1	[C]r1	[C]g1	[C]b1	[C]r2	[C]g2	[C]b2	[C]ambR1	[C]ambG1	[C]ambB1	[C]ambA1
1	0	11	1	0	0	0	1	0	137	144	0	58	58	58	206	206	206	83	100	165	105	105	105	104
1	2	11	1	0	0	0	1	0	-1	-1	-1	156	102	7	56	163	206	248	93	93	-1	-1	-1	-1
1	3	11	1	0	0	0	1	0	-1	-1	-1	19	18	18	159	165	63	161	72	17	-1	-1	-1	-1
1	4	11	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	5	11	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	6	11	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0	21	1	0	0	0	1	0	26	29	0	116	60	60	255	43	153	75	60	255	84	84	84	85
1	2	21	1	0	0	0	1	0	-1	-1	-1	120	65	65	0	255	223	255	34	212	-1	-1	-1	-1
1	3	21	1	0	0	0	1	0	-1	-1	-1	120	65	65	242	255	26	112	255	43	-1	-1	-1	-1
1	4	21	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	5	21	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	6	21	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0	31	1	0	0	0	1	0	103	55	0	64	48	48	129	129	129	255	255	255	73	73	73	103
1	2	31	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	0	181	255	0	0	0	-1	-1	-1	-1
1	3	31	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	171	27	24	180	52	52	-1	-1	-1	-1
1	4	31	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	5	31	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	6	31	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0	41	1	0	0	0	1	0	102	131	0	58	41	41	62	62	62	255	255	255	77	77	77	96
1	2	41	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	65	18	73	255	153	24	-1	-1	-1	-1
1	3	41	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	85	120	4	159	255	81	-1	-1	-1	-1
1	4	41	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	5	41	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	6	41	1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0	11	2	0	0	0	1	0	46	46	0	43	35	35	255	255	255	26	32	143	88	88	88	96
1	2	11	2	0	0	0	1	-1	-1	-1	-1	83	139	154	39	25	75	28	184	107	-1	-1	-1	-1
1	3	11	2	0	0	0	1	-1	-1	-1	-1	234	147	79	8	0	0	255	158	13	-1	-1	-1	-1
1	4	11	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	5	11	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	6	11	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0	21	2	0	0	0	1	32	26	29	0	116	60	60	255	43	153	75	60	255	84	84	84	85
1	2	21	2	0	0	0	1	-1	-1	-1	-1	120	65	65	0	255	223	255	34	212	-1	-1	-1	-1
1	3	21	2	0	0	0	1	-1	-1	-1	-1	120	65	65	242	255	26	112	255	43	-1	-1	-1	-1
1	4	21	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	5	21	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	6	21	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0	31	2	0	0	0	1	82	103	55	0	64	48	48	129	129	129	255	255	255	73	73	73	103
1	2	31	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	181	255	0	0	0	-1	-1	-1	-1
1	3	31	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	171	27	24	180	52	52	-1	-1	-1	-1
1	4	31	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	5	31	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	6	31	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0	41	2	0	0	0	1	52	109	165	0	58	41	41	41	41	41	255	255	255	81	80	80	101
1	2	41	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	255	194	255	255	41	41	-1	-1	-1	-1
1	3	41	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	214	181	0	60	255	231	-1	-1	-1	-1
1	4	41	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	5	41	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	6	41	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0	11	1	0	JK_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	2	11	1	0	JK_blue_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	3	11	1	0	JK_purple_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	4	11	1	0	JK_orange_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	5	11	1	0	JK_bluegreen_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	6	11	1	0	JK_red_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0	21	1	0	YL_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	2	21	1	0	YL_blue_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	3	21	1	0	YL_purple_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	4	21	1	0	YL_orange_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	5	21	1	0	YL_bluegreen_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	6	21	1	0	YL_red_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0	31	1	0	DK_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	2	31	1	0	DK_blue_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	3	31	1	0	DK_purple_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	4	31	1	0	DK_orange_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	5	31	1	0	DK_bluegreen_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	6	31	1	0	DK_red_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0	41	1	0	GS_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	2	41	1	0	GS_blue_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	3	41	1	0	GS_purple_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	4	41	1	0	GS_orange_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	5	41	1	0	GS_bluegreen_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	6	41	1	0	GS_red_weapon_fx	weapon_fx	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
