鉴定规则ID	有效字段	鉴定价格	重铸道具ID	道具消耗数量	重铸货币ID	货币消耗数量	付费重铸价格	重铸消耗绑金数量	锁定道具ID	锁定道具数量	付费锁定单价
[K][C][S]ID	0	[C][S]IdentifyPrise	[C][S]CostItemID	[C][S]CostNum	[C][S]CostmoneyID	[C][S]CostmoneyNum	[C][S]RebuildGoldPrise	[C][S]RebuildBindPrise	[C][S]LockCostID	[C][S]lockCostNum	[C][S]LockCostGold
11	1	0	402500001	1	203	400	10	0	0	0	0
12	1	0	402500001	2	203	800	10	0	0	0	0
13	1	0	402510001	4	203	1200	10	0	0	0	0
21	1	0	402500002	1	203	1900	13	0	0	0	0
22	1	0	402500002	2	203	3800	13	0	0	0	0
23	1	0	402510002	4	203	5700	13	0	0	0	0
31	1	0	402500003	1	203	4000	16	0	0	0	0
32	1	0	402500003	2	203	8000	16	0	0	0	0
33	1	0	402510003	4	203	12000	16	0	0	0	0
41	1	0	402500004	2	203	13000	19	0	0	0	0
42	1	0	402500004	4	203	26000	19	0	0	0	0
43	1	0	402510004	8	203	39000	19	0	0	0	0
51	1	0	402500005	2	203	18000	22	0	0	0	0
52	1	0	402500005	4	203	36000	22	0	0	0	0
53	1	0	402510005	8	203	54000	22	0	0	0	0
61	1	0	402500006	2	203	22000	25	0	0	0	0
62	1	0	402500006	4	203	44000	25	0	0	0	0
63	1	0	402510006	8	203	66000	25	0	0	0	0
71	1	0	402500007	3	203	37000	28	0	0	0	0
72	1	0	402500007	6	203	74000	28	0	0	0	0
73	1	0	402510007	12	203	111000	28	0	0	0	0
81	1	0	402500008	3	203	46000	31	0	0	0	0
82	1	0	402500008	6	203	92000	31	0	0	0	0
83	1	0	402510008	12	203	138000	31	0	0	0	0
91	1	0	402500009	3	203	50000	34	0	0	0	0
92	1	0	402500009	6	203	100000	34	0	0	0	0
93	1	0	402510009	12	203	150000	34	0	0	0	0
