套装	职业	颜色	valid	部位ID1	部位ID2	部位ID3	部位ID4	装备ID1	装备ID2	装备ID3	装备ID4	属性类型1	属性数值1	属性类型2	属性数值2	属性类型3	属性数值3	属性类型4	属性数值4	神装套装属性1	神装属性数值1	神装套装属性2	神装属性数值2	神装套装属性3	神装属性数值3	神装套装属性4	神装属性数值4	装备法球属性池ID	魂装激活增加战力值	神装激活增加战力值	推荐等级（根据这个字段判断打开页面时选中哪个颜色）	背景图	外观描述	外观数组1	外观数组2	外观数组3	外观数组4	外观数组5
[K][C][S]suit_id	[K][C][S]pro	[K][C][S]color	0	[S]part_need_id1	[S]part_need_id2	[S]part_need_id3	[S]part_need_id4	[C]equip_need_id1	[C]equip_need_id2	[C]equip_need_id3	[C]equip_need_id4	[C][S]suit_attr_type1	[C][S]suit_attr_value1	[C][S]suit_attr_type2	[C][S]suit_attr_value2	[C][S]suit_attr_type3	[C][S]suit_attr_value3	[C][S]suit_attr_type4	[C][S]suit_attr_value4	[C][S]god_attr_type1	[C][S]god_attr_value1	[C][S]god_attr_type2	[C][S]god_attr_value2	[C][S]god_attr_type3	[C][S]god_attr_value3	[C][S]god_attr_type4	[C][S]god_attr_value4	[C][S]OrbAttrPool	[S]	[S]	[C]Realm_fit	[C]back_image	[C]app_desc	[C]app_parm1	[C]app_parm2	[C]app_parm3	[C]app_parm4	[C]app_parm5
1	11	3	1	0	1	3	2	1101130	11101130	31101130	21101130	68	654	71	654	0	0	0	0	68	981	71	981	0	0	0	0	0	1922	2883	51	soulEquip_Back_2	暂无	0	0	0	0	0
1	11	4	1	0	1	3	2	1101140	11101140	31101140	21101140	68	991	71	991	0	0	0	0	68	1486	71	1486	0	0	0	0	0	3527	5290	1081	soulEquip_Back_3	暂无	0	0	0	0	0
1	11	5	1	0	1	3	2	1101150	11101150	31101150	21101150	68	1389	71	1389	0	0	0	0	68	2083	71	2083	0	0	0	0	0	6611	9916	2101	soulEquip_Back_4	暂无	0	0	0	0	0
1	11	6	1	0	1	3	2	1101160	11101160	31101160	21101160	68	1857	71	1857	0	0	0	0	68	2785	71	2785	0	0	0	0	0	11810	17715	3121	soulEquip_Back_5	暂无	0	0	0	0	0
1	11	7	1	0	1	3	2	1101170	11101170	31101170	21101170	68	2404	71	2404	0	0	0	0	68	3606	71	3606	0	0	0	0	0	20385	30577	4141	soulEquip_Back_5	暂无	0	0	0	0	0
1	11	8	1	0	1	3	2	1101180	11101180	31101180	21101180	68	3041	71	3041	0	0	0	0	68	4561	71	4561	0	0	0	0	0	34424	51636	5161	soulEquip_Back_5	暂无	0	0	0	0	0
1	11	9	1	0	1	3	2	1101190	11101190	31101190	21101190	68	3955	71	3955	0	0	0	0	68	5932	71	5932	0	0	0	0	0	59799	89698	6181	soulEquip_Back_5	暂无	0	0	0	0	0
1	21	3	1	0	1	3	2	2101130	12101130	32101130	22101130	68	654	71	654	0	0	0	0	68	981	71	981	0	0	0	0	0	1922	2883	51	soulEquip_Back_2	暂无	0	0	0	0	0
1	21	4	1	0	1	3	2	2101140	12101140	32101140	22101140	68	991	71	991	0	0	0	0	68	1486	71	1486	0	0	0	0	0	3527	5290	1081	soulEquip_Back_3	暂无	0	0	0	0	0
1	21	5	1	0	1	3	2	2101150	12101150	32101150	22101150	68	1389	71	1389	0	0	0	0	68	2083	71	2083	0	0	0	0	0	6611	9916	2101	soulEquip_Back_4	暂无	0	0	0	0	0
1	21	6	1	0	1	3	2	2101160	12101160	32101160	22101160	68	1857	71	1857	0	0	0	0	68	2785	71	2785	0	0	0	0	0	11810	17715	3121	soulEquip_Back_5	暂无	0	0	0	0	0
1	21	7	1	0	1	3	2	2101170	12101170	32101170	22101170	68	2404	71	2404	0	0	0	0	68	3606	71	3606	0	0	0	0	0	20385	30577	4141	soulEquip_Back_5	暂无	0	0	0	0	0
1	21	8	1	0	1	3	2	2101180	12101180	32101180	22101180	68	3041	71	3041	0	0	0	0	68	4561	71	4561	0	0	0	0	0	34424	51636	5161	soulEquip_Back_5	暂无	0	0	0	0	0
1	21	9	1	0	1	3	2	2101190	12101190	32101190	22101190	68	3955	71	3955	0	0	0	0	68	5932	71	5932	0	0	0	0	0	59799	89698	6181	soulEquip_Back_5	暂无	0	0	0	0	0
1	31	3	1	0	1	3	2	3101130	13101130	33101130	23101130	68	719	71	719	0	0	0	0	68	1078	71	1078	0	0	0	0	0	1922	2883	51	soulEquip_Back_2	暂无	0	0	0	0	0
1	31	4	1	0	1	3	2	3101140	13101140	33101140	23101140	68	1090	71	1090	0	0	0	0	68	1635	71	1635	0	0	0	0	0	3527	5290	1081	soulEquip_Back_3	暂无	0	0	0	0	0
1	31	5	1	0	1	3	2	3101150	13101150	33101150	23101150	68	1528	71	1528	0	0	0	0	68	2292	71	2292	0	0	0	0	0	6611	9916	2101	soulEquip_Back_4	暂无	0	0	0	0	0
1	31	6	1	0	1	3	2	3101160	13101160	33101160	23101160	68	2043	71	2043	0	0	0	0	68	3064	71	3064	0	0	0	0	0	11810	17715	3121	soulEquip_Back_5	暂无	0	0	0	0	0
1	31	7	1	0	1	3	2	3101170	13101170	33101170	23101170	68	2644	71	2644	0	0	0	0	68	3966	71	3966	0	0	0	0	0	20385	30577	4141	soulEquip_Back_5	暂无	0	0	0	0	0
1	31	8	1	0	1	3	2	3101180	13101180	33101180	23101180	68	3345	71	3345	0	0	0	0	68	5017	71	5017	0	0	0	0	0	34424	51636	5161	soulEquip_Back_5	暂无	0	0	0	0	0
1	31	9	1	0	1	3	2	3101190	13101190	33101190	23101190	68	4351	71	4351	0	0	0	0	68	6526	71	6526	0	0	0	0	0	59799	89698	6181	soulEquip_Back_5	暂无	0	0	0	0	0
