境界ID	副键	有效值	区间最小战力	获得的概率1	需求战力最小值1	需求战力最大值1	获得道具id1	获得的概率2	需求战力最小值2	需求战力最大值2	获得道具id2	获得的概率3	需求战力最小值3	需求战力最大值3	获得道具id3
0 	1 	1 	0 	3000 	-100 	100 	0 	3333 	-100 	100 	0 	3667 	-100 	100 	0 
1 	1 	1 	0 	3000 	-100 	100 	0 	3333 	-100 	100 	0 	3667 	-100 	100 	0 
2 	1 	1 	0 	3000 	-100 	100 	0 	3333 	-100 	100 	0 	3667 	-100 	100 	0 
3 	1 	1 	0 	3000 	-100 	100 	0 	3333 	-100 	100 	0 	3667 	-100 	100 	0 
4 	1 	1 	0 	3000 	-1139 	1139 	0 	3333 	-1139 	1139 	0 	3667 	-1139 	1139 	0 
4 	2 	1 	113903 	3000 	-1220 	1220 	0 	3333 	-1220 	1220 	0 	3667 	-1220 	1220 	0 
4 	3 	1 	121985 	3000 	-1692 	1692 	0 	3333 	-1692 	1692 	0 	3667 	-1692 	1692 	0 
4 	4 	1 	169208 	3000 	-2144 	2144 	0 	3333 	-2144 	2144 	0 	3667 	-2144 	2144 	0 
4 	5 	1 	214384 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
5 	1 	1 	0 	3000 	-3039 	3039 	0 	3333 	-3039 	3039 	0 	3667 	-3039 	3039 	0 
5 	2 	1 	303894 	3000 	-3180 	3180 	0 	3333 	-3180 	3180 	0 	3667 	-3180 	3180 	0 
5 	3 	1 	317954 	3000 	-3605 	3605 	0 	3333 	-3605 	3605 	0 	3667 	-3605 	3605 	0 
5 	4 	1 	360504 	3000 	-4059 	4059 	0 	3333 	-4059 	4059 	0 	3667 	-4059 	4059 	0 
5 	5 	1 	405853 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
6 	1 	1 	0 	3000 	-4415 	4415 	0 	3333 	-4415 	4415 	0 	3667 	-4415 	4415 	0 
6 	2 	1 	441521 	3000 	-4510 	4510 	0 	3333 	-4510 	4510 	0 	3667 	-4510 	4510 	0 
6 	3 	1 	451022 	3000 	-4570 	4570 	0 	3333 	-4570 	4570 	0 	3667 	-4570 	4570 	0 
6 	4 	1 	456987 	3000 	-4809 	4809 	0 	3333 	-4809 	4809 	0 	3667 	-4809 	4809 	0 
6 	5 	1 	480914 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
7 	1 	1 	0 	3000 	-5164 	5164 	0 	3333 	-5164 	5164 	0 	3667 	-5164 	5164 	0 
7 	2 	1 	516431 	3000 	-5181 	5181 	0 	3333 	-5181 	5181 	0 	3667 	-5181 	5181 	0 
7 	3 	1 	518058 	3000 	-5541 	5541 	0 	3333 	-5541 	5541 	0 	3667 	-5541 	5541 	0 
7 	4 	1 	554084 	3000 	-6207 	6207 	0 	3333 	-6207 	6207 	0 	3667 	-6207 	6207 	0 
7 	5 	1 	620712 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
8 	1 	1 	0 	3000 	-6210 	6210 	0 	3333 	-6210 	6210 	0 	3667 	-6210 	6210 	0 
8 	2 	1 	621032 	3000 	-6218 	6218 	0 	3333 	-6218 	6218 	0 	3667 	-6218 	6218 	0 
8 	3 	1 	621767 	3000 	-6657 	6657 	0 	3333 	-6657 	6657 	0 	3667 	-6657 	6657 	0 
8 	4 	1 	665700 	3000 	-6860 	6860 	0 	3333 	-6860 	6860 	0 	3667 	-6860 	6860 	0 
8 	5 	1 	685976 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
9 	1 	1 	0 	3000 	-10172 	10172 	0 	3333 	-10172 	10172 	0 	3667 	-10172 	10172 	0 
9 	2 	1 	1017185 	3000 	-10609 	10609 	0 	3333 	-10609 	10609 	0 	3667 	-10609 	10609 	0 
9 	3 	1 	1060947 	3000 	-11657 	11657 	0 	3333 	-11657 	11657 	0 	3667 	-11657 	11657 	0 
9 	4 	1 	1165674 	3000 	-11954 	11954 	0 	3333 	-11954 	11954 	0 	3667 	-11954 	11954 	0 
9 	5 	1 	1195440 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
10 	1 	1 	0 	3000 	-11963 	11963 	0 	3333 	-11963 	11963 	0 	3667 	-11963 	11963 	0 
10 	2 	1 	1196258 	3000 	-12092 	12092 	0 	3333 	-12092 	12092 	0 	3667 	-12092 	12092 	0 
10 	3 	1 	1209194 	3000 	-12158 	12158 	0 	3333 	-12158 	12158 	0 	3667 	-12158 	12158 	0 
10 	4 	1 	1215767 	3000 	-13443 	13443 	0 	3333 	-13443 	13443 	0 	3667 	-13443 	13443 	0 
10 	5 	1 	1344302 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
11 	1 	1 	0 	3000 	-13598 	13598 	0 	3333 	-13598 	13598 	0 	3667 	-13598 	13598 	0 
11 	2 	1 	1359761 	3000 	-13610 	13610 	0 	3333 	-13610 	13610 	0 	3667 	-13610 	13610 	0 
11 	3 	1 	1361001 	3000 	-14334 	14334 	0 	3333 	-14334 	14334 	0 	3667 	-14334 	14334 	0 
11 	4 	1 	1433394 	3000 	-15808 	15808 	0 	3333 	-15808 	15808 	0 	3667 	-15808 	15808 	0 
11 	5 	1 	1580769 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
12 	1 	1 	0 	3000 	-15912 	15912 	0 	3333 	-15912 	15912 	0 	3667 	-15912 	15912 	0 
12 	2 	1 	1591202 	3000 	-15927 	15927 	0 	3333 	-15927 	15927 	0 	3667 	-15927 	15927 	0 
12 	3 	1 	1592651 	3000 	-16970 	16970 	0 	3333 	-16970 	16970 	0 	3667 	-16970 	16970 	0 
12 	4 	1 	1697024 	3000 	-17960 	17960 	0 	3333 	-17960 	17960 	0 	3667 	-17960 	17960 	0 
12 	5 	1 	1795989 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
13 	1 	1 	0 	3000 	-26633 	26633 	0 	3333 	-26633 	26633 	0 	3667 	-26633 	26633 	0 
13 	2 	1 	2663262 	3000 	-27684 	27684 	0 	3333 	-27684 	27684 	0 	3667 	-27684 	27684 	0 
13 	3 	1 	2768403 	3000 	-30044 	30044 	0 	3333 	-30044 	30044 	0 	3667 	-30044 	30044 	0 
13 	4 	1 	3004449 	3000 	-32358 	32358 	0 	3333 	-32358 	32358 	0 	3667 	-32358 	32358 	0 
13 	5 	1 	3235802 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
14 	1 	1 	0 	3000 	-33581 	33581 	0 	3333 	-33581 	33581 	0 	3667 	-33581 	33581 	0 
14 	2 	1 	3358064 	3000 	-33898 	33898 	0 	3333 	-33898 	33898 	0 	3667 	-33898 	33898 	0 
14 	3 	1 	3389804 	3000 	-34048 	34048 	0 	3333 	-34048 	34048 	0 	3667 	-34048 	34048 	0 
14 	4 	1 	3404771 	3000 	-35563 	35563 	0 	3333 	-35563 	35563 	0 	3667 	-35563 	35563 	0 
14 	5 	1 	3556275 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
15 	1 	1 	0 	3000 	-35842 	35842 	0 	3333 	-35842 	35842 	0 	3667 	-35842 	35842 	0 
15 	2 	1 	3584183 	3000 	-35876 	35876 	0 	3333 	-35876 	35876 	0 	3667 	-35876 	35876 	0 
15 	3 	1 	3587585 	3000 	-37420 	37420 	0 	3333 	-37420 	37420 	0 	3667 	-37420 	37420 	0 
15 	4 	1 	3742008 	3000 	-39965 	39965 	0 	3333 	-39965 	39965 	0 	3667 	-39965 	39965 	0 
15 	5 	1 	3996531 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
16 	1 	1 	0 	3000 	-41381 	41381 	0 	3333 	-41381 	41381 	0 	3667 	-41381 	41381 	0 
16 	2 	1 	4138125 	3000 	-41420 	41420 	0 	3333 	-41420 	41420 	0 	3667 	-41420 	41420 	0 
16 	3 	1 	4142048 	3000 	-43914 	43914 	0 	3333 	-43914 	43914 	0 	3667 	-43914 	43914 	0 
16 	4 	1 	4391394 	3000 	-45229 	45229 	0 	3333 	-45229 	45229 	0 	3667 	-45229 	45229 	0 
16 	5 	1 	4522851 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
17 	1 	1 	0 	3000 	-70154 	70154 	0 	3333 	-70154 	70154 	0 	3667 	-70154 	70154 	0 
17 	2 	1 	7015448 	3000 	-72613 	72613 	0 	3333 	-72613 	72613 	0 	3667 	-72613 	72613 	0 
