活动ID（ID规则：共3位，第一位表示礼包类型<0为成长礼包，1为超值礼包>，第二位为世界科技等级，第三位根据玩家状态决定，1为后进玩家，2为正常玩家）	副键	有效标志（1读取该条数据，0不读）	商品形式（0表示走充值内购，非0则为隐形商城shopID：13）	商品ID（如果商品形式是0则填内购depositeID，如果商品形式填0元depositeID统计用）	可见状态限制（可以看到该条数据的限制）	可买状态限制（可以购买该条内容的限制）	次数限制ID（该条数据能购买的次数）	获得奖励（购买后获得的reward_cfg奖励）	界面显示组（界面显示的礼包组数）	商品名称（显示用，预览时的标题）	道具ID（商店中对应道具的ID，同时显示用）	角标签（右上角标签文本）	道具标签	原价	现价	显示开始（界面显示的开始时间）	持续时间	界面显示1（界面显示文本）	界面显示2	界面显示3	显示面板（0正常成长礼包，1超值礼包，9其他）	底图名字
[C][S]activityID	[C][S]sub_id	[C][S]valid	[C][S]shopID	[C][S]commodityID	[C]visibleLimitID	[C][S]buyLimtiID	[C][S]numLimitID	[C][S]rewardID	[C]itemNum	[C]Name	[C][S]ItemID	[C]discount	[C]type	[C]oldPrice	[C]nowPrice	[C]openTime	[C]leftTime	[C]title	[C]rule	[C]rule2	[C]Push	[C]BackImage
1	1	1	0	50	40051499	40051499	111	40000112	47	30元扣豪礼	322400202	折扣	超值	60	30	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	2	1	0	51	40051499	40051499	111	40000113	47	60元扣豪礼	322400203	折扣	超值	120	60	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	3	1	0	52	40051499	40051499	111	40000114	47	90元扣豪礼	322400204	折扣	超值	180	90	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	4	1	0	53	40051499	40051499	111	40000115	47	120元扣豪礼	322400205	折扣	超值	240	120	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	5	1	0	54	40051499	40051499	111	40000116	47	150元扣豪礼	322400206	折扣	超值	300	150	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	6	1	0	55	40051499	40051499	111	40000103	47	180元扣豪礼	322400207	折扣	超值	360	180	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	7	1	0	56	40051499	40051499	111	40000104	47	210元扣豪礼	322400208	折扣	超值	420	210	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	8	1	0	57	40051499	40051499	111	40000105	47	240元扣豪礼	322400209	折扣	超值	480	240	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	9	1	0	58	40051499	40051499	111	40000106	47	270元扣豪礼	322400210	折扣	超值	540	270	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	10	1	0	59	40051499	40051499	111	40000107	47	300元扣豪礼	322400202	折扣	超值	600	300	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	11	1	0	60	40051499	40051499	111	40000108	47	330元扣豪礼	322400203	折扣	超值	660	330	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	12	1	0	61	40051499	40051499	111	40000109	47	360元扣豪礼	322400204	折扣	超值	720	360	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	13	1	0	62	40051499	40051499	111	40000110	47	390元扣豪礼	322400205	折扣	超值	780	390	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	14	1	0	63	40051499	40051499	111	40000111	47	420元扣豪礼	322400206	折扣	超值	840	420	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	15	1	0	64	40051499	40051499	111	40000117	47	450元扣豪礼	322400207	折扣	超值	900	450	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	16	1	0	67	40051499	40051499	111	40000118	47	540元扣豪礼	322400208	折扣	超值	1080	540	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	17	1	0	68	40051499	40051499	111	40000119	47	570元扣豪礼	322400209	折扣	超值	1140	570	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	18	1	0	803	40051499	40051499	111	40000120	47	1190元扣豪礼	322400210	折扣	超值	2380	1190	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	19	1	0	70	40051499	40051499	111	40000121	47	1490元扣豪礼	322400202	折扣	超值	2980	1490	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	20	1	0	71	40051499	40051499	111	40000122	47	2090元扣豪礼	322400203	折扣	超值	4180	2090	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	21	1	0	72	40051499	40051499	111	40000123	47	2990元扣豪礼	322400204	折扣	超值	5980	2990	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	22	1	0	1001	40051499	40051499	111	40000124	47	红包60元宝	322400205	折扣	超值	60	30	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	23	1	0	1002	40051499	40051499	111	40000125	47	红包180元宝	322400206	折扣	超值	180	90	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	24	1	0	1003	40051499	40051499	111	40000126	47	红包300元宝	322400207	折扣	超值	300	150	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
