合成配方ID(1位类型(1合成系统，2运营活动,3兵符)，4位参数，2位流水)	有效标志位 0无效，1有效	个人次数限制ID	全局次数限制ID	时间限制ID	等级限制	境界限制	状态限制	材料类型数数量	材料ID1	材料需要数量1（兵符类的只能最多配一个）	材料ID2	材料需要数量2	材料ID3	材料需要数量3	材料ID4	材料需要数量4	材料ID5	材料需要数量5	材料ID6	材料需要数量6	材料ID7	材料需要数量7	材料ID8	材料需要数量8	材料ID9	材料需要数量9	材料ID10	材料需要数量10	货币类型数量	货币类型1	货币数量1	货币类型2	货币数量2	需要背包格数	掉落ID	其他参数1(服务器的这个字段：1代表检测背包，2代表兵符合成，3代表兵符需要完美品质，4代表兵符需要逆天品质)这个字段客户端和服务器的枚举不一致，蛋疼，术业有专攻，以后千万不要想着一个系统各处用	其他参数2	生成产物ID
[K][S][C]ID	0	[S][C]personalTriesLimit	[S][C]GlobalTriesLimit	[S][C]TimeLimit	[S][C]LevelLimit	[S][C]RealmLimit	[S][C]StateLimit	[S][C]MaterialCount	[S][C]Material_ID1	[S][C]Material_Num1	[S][C]Material_ID2	[S][C]Material_Num2	[S][C]Material_ID3	[S][C]Material_Num3	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S][C]CoinCount	[S][C]CoinType1	[S][C]CoinNum1	[S][C]CoinType2	[S][C]CoinNum2	[S]	[S]	[S][C]param1	[S][C]param2	[S][C]productID
3003001	1	0	0	0	1100	0	0	2	430200303	10	500103201	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10001	3	0	500113201
3003002	1	0	0	0	1081	0	0	2	430200301	10	500103202	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10002	3	0	500113202
3003003	1	0	0	0	1081	0	0	2	430200301	10	500103203	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10003	3	0	500113203
3003004	1	0	0	0	1081	0	0	2	430200302	10	500103204	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10004	3	0	500113204
3003005	1	0	0	0	1081	0	0	2	430200302	10	500103205	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10005	3	0	500113205
3003006	1	0	0	0	1090	0	0	2	430200304	10	500103206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10006	3	0	500113206
3003007	1	0	0	0	1081	0	0	2	430200304	10	500103207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10007	3	0	500113207
3003008	1	0	0	0	1081	0	0	2	430200304	10	500103208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10008	3	0	500113208
3003009	1	0	0	0	1090	0	0	2	430200304	10	500103209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10009	3	0	500113209
3003010	1	0	0	0	1081	0	0	2	430200304	10	500103210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10010	3	0	500113210
3003011	1	0	0	0	1090	0	0	2	430200304	10	500103211	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10011	3	0	500113211
3003012	1	0	0	0	1090	0	0	2	430200304	10	500103212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10012	3	0	500113212
3003013	1	0	0	0	1081	0	0	2	430200304	10	500103213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10013	3	0	500113213
3013001	1	0	0	0	1081	0	0	3	430201301	10	500113202	1	500113206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10014	4	0	500123201
3013002	1	0	0	0	1081	0	0	3	430201302	10	500113203	1	500113206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10015	4	0	500123202
3013003	1	0	0	0	1081	0	0	3	430201303	10	500113202	1	500113212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10016	4	0	500123203
3013004	1	0	0	0	1081	0	0	3	430201304	10	500113203	1	500113212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10017	4	0	500123204
3013005	1	0	0	0	1081	0	0	3	430201305	10	500113202	1	500113210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10018	4	0	500123205
3013006	1	0	0	0	1081	0	0	3	430201306	10	500113203	1	500113210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10019	4	0	500123206
3013007	1	0	0	0	1081	0	0	3	430201307	10	500113202	1	500113208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10020	4	0	500123207
3013008	1	0	0	0	1081	0	0	3	430201308	10	500113203	1	500113208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10021	4	0	500123208
3013009	1	0	0	0	1081	0	0	3	430201309	10	500113204	1	500113207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10022	4	0	500123209
3013010	1	0	0	0	1081	0	0	3	430201310	10	500113204	1	500113213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10023	4	0	500123210
3013011	1	0	0	0	1081	0	0	3	430201311	10	500113205	1	500113207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10024	4	0	500123211
3013012	1	0	0	0	1081	0	0	3	430201312	10	500113205	1	500113213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10025	4	0	500123212
3013013	1	0	0	0	1100	0	0	3	430201313	10	500113201	1	500113207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10026	4	0	500123213
3013014	1	0	0	0	1100	0	0	3	430201314	10	500113201	1	500113213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10027	4	0	500123214
3013015	1	0	0	0	1100	0	0	3	430201315	10	500113201	1	500113211	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10028	4	0	500123215
3013016	1	0	0	0	1100	0	0	3	430201316	10	500113201	1	500113209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10029	4	0	500123216
3004001	1	0	0	0	3140	0	0	2	430200403	15	500104201	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10030	3	0	500114201
3004002	1	0	0	0	3121	0	0	2	430200401	15	500104202	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10031	3	0	500114202
3004003	1	0	0	0	3121	0	0	2	430200401	15	500104203	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10032	3	0	500114203
3004004	1	0	0	0	3121	0	0	2	430200402	15	500104204	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10033	3	0	500114204
