道具ID(9位，4位表现分类+3位等级+2位流水；道具ID首位从3开始，由于道具和装备同一套规划，所以ID段划分。300000000~900000000之间为道具，卡牌为5开头。9为虚拟装备)	有效标志	道具名	表现分类，对应另外一张配置表，这里配的是表现分类ID，规则就是道具ID的前四位	颜色(0白（废弃不要用），1绿，2蓝，3紫，4橙，5青，6红，7粉)	背包位置(0普通道具背包，1碎片)	有效期，-1为无限期，大于0则为道具的存在时间，单位为秒	绑定方式(0不绑定，1获得绑定，2使用绑定)	消耗数量，每次使用道具消耗的数量，碎片类的在TIPS上显示就是合成的数量	叠加上限	出售货币（填0不可出售-出售价格必须为1、大于10000表示道具）	出售价格	等级限制下限	等级限制上限	境界限制下限	境界限制上限	无用字段（原来是次数限制，但已经改成走消耗系统了）	效果对象（0角色，1宠物）	效果类型（0无用，1事件，2drop型宝箱（客户端不预览，dropid+成就ID+是否播放表现），3永久属性，4经文碎片（自动使用），5获得灵宠，6获得招式，7获得法器，8获得血脉，9获得血脉精血，10灵宠灵元，11灵宠亲密度，12战斗力宝箱(掉落id+战力)，13次数限制，14成就触发，15使用技能，16称号，17藏宝图（事件ID、展示奖励ID、地点ID），18获得坐骑（参数1坐骑ID，参数2持续时间），19提升膜拜等级（叁数1物品使用要求的玩家光荣榜等级、叁数2物品使用后玩家光荣榜的等级），20获得学院DKP，21醒酒道具，22灵宠技能书，23获得组队经验加成状态（参数1：加成后的百分比(双倍就是200)，参数2：加成的时间：单位秒），24周月卡（参数1类型位域<月卡2+周卡1>，参数2持续时间<单位秒>，25情缘赏花道具(不能销毁），26reward型宝箱（客户端有预览，可以自动使用，参数1ID，参数2是否弹黑框），27修炼酒，28奖励多选，29时装激活，30限时时装，31喜帖，32红包参数1填祝福ID,33改名道具，34改性别道具，36地宫钥匙，37主播礼物--可能没用了）	效果参数1（类型为0则无用，事件ID，掉落ID，属性枚举，经文类别，成就ID下限）	效果参数2（类型为0则无用，技能等级，掉落无用，属性数值，事件无用，次数无用，称号无用，成就ID上限）	效果参数3（成就触发次数）	效果参数4（0标识此绑定继续走掉落规则决定是否绑定，1标识由服务器通用规则来决定是否绑定）	任选礼包展示（如果坐骑礼包、宠物礼包这种的选择类道具，这个地方配一个NPC_type来显示模型）	特殊消耗类型（0无特殊消耗，1对应消耗表ID）	特殊消耗参数1(0无用，1为对应消耗表的副ID)	状态限制ID(特殊消耗参数2)	地点限制ID(特殊消耗参数3)	删除方式(0无，1跳副本删除)	是否自动使用(0不自动，1为自动使用，需与掉落配合)	获得广播说明(位域，0不广播，1掉落拾取，2开宝箱,4制造广播，2^3~2^12(8184)世界科技1~10广播,2^13全世界广播,2^14当前地图广播,2^15本阵营广播,2^16上品广播,2^17极品广播,2^18帮派广播,2^19小队广播)	拍卖分类	摆摊价格	特殊标示位（位域，1该道具是否可以赠送）	读条类型	读条时间，毫秒	男图标前景ID（后面要改名成FontImageID_male）	女图标前景ID	男图标背景ID（后面要改名成BackImageID_male）	女图标背景ID	掉落图标ID	掉落特效ID	合成预览ID(根据职业不同配置不同，示例（六个职业）100111001|100111002|100111003|100111004|100111005|100111006)	道具描述	来源对象ID	掉落飞入特效ID	使用后触发脚本	掉落彰显状态限制（走状态限制表，即满足状态限制之后才会在掉落的时候彰显出来）	掉落彰显表现（1紫色光柱、2橙色光柱）	物品品质（0无，1魂，2神）	使用文字	标签类型(1可鉴定，2可合成，3可魂化，4可镶嵌）装备是默认为可装备的	道具阶级	UI飞入特效（0默认飞入特效，1稀有装备、2稀有碎片、3上古装备、4上古碎片、5其他）
[K][C][S]ID	0	[C][S]Name	[C][S]Expression	[C][S]Color	[C][S]BagType	[C][S]LifeTime	[C][S]BlindType	[C][S]ConsumeNum	[C][S]Durability	[C][S]SaleMoney	[C][S]Price	[C][S]LimitMinLevel	[C][S]LimitMaxLevel	[C][S]LimitMinRealm	[C][S]LimitMaxRealm	[C][S]UseTimeLimitID	[C][S]EffectTarget	[C][S]EffectType	[C][S]EffectParam1	[C][S]EffectParam2	[C][S]EffectParam3	[C][S]EffectParam4	[C][S]EffectParam5	[C][S]ConsumeType	[C][S]ConsumeParam1	[C][S]ConsumeParam2	[C][S]ConsumeParam3	[S]	[S]	[S]	[S]	[C][S]AuctionPriceID	[S]	[S]	[S]	[C]FontImageID	[C]FontImageID_female	[C]BackImageID	[C]BackImageID_female	[C]DropImageID	[C]DropEffectID	[C]SyntheticPreviewID	[C]Description	[C]SourceOID	[C]TraceEffectID	[C]script	[C]DropDecorateLimit	[C]DropDecorateLvl	[C]Quality	[C]UseHint	[C]FlagType	[C]Class	[C]UIFlyin
300110010	1	[未鉴定]一阶武器	3214	1	0	-1	0	1	999	5	120	1	7999	0	999	0	0	2	210011	2616	0	1	19999014	50710	1	0	0	0	0	0	100	300110010	0	0	0	0	0	item51_050	item51_050	0	1000062	0	未鉴定的一阶武器，需要消耗一定铜币进行鉴定后方可穿戴，可能获得普通、精粹品质。\n<color=#7fff94>鉴定消耗：100铜币</color>	300110010	0	0	0	0	0	鉴定	1	1	0
300110110	1	[未鉴定]一阶护甲	3214	1	0	-1	0	1	999	5	120	1	7999	0	999	0	0	2	210111	2616	0	1	19999015	50710	1	0	0	0	0	0	101	300110110	0	0	0	0	0	item51_051	item51_051	0	1000062	0	未鉴定的一阶护甲，需要消耗一定铜币进行鉴定后方可穿戴，可能获得普通、精粹品质。\n<color=#7fff94>鉴定消耗：100铜币</color>	300110110	0	0	0	0	0	鉴定	1	1	0
300110210	1	[未鉴定]一阶腰带	3214	1	0	-1	0	1	999	5	120	1	7999	0	999	0	0	2	210211	2616	0	1	19999016	50710	1	0	0	0	0	0	103	300110210	0	0	0	0	0	item51_052	item51_052	0	1000062	0	未鉴定的一阶腰带，需要消耗一定铜币进行鉴定后方可穿戴，可能获得普通、精粹品质。\n<color=#7fff94>鉴定消耗：100铜币</color>	300110210	0	0	0	0	0	鉴定	1	1	0
300110310	1	[未鉴定]一阶裤子	3214	1	0	-1	0	1	999	5	120	1	7999	0	999	0	0	2	210311	2616	0	1	19999017	50710	1	0	0	0	0	0	102	300110310	0	0	0	0	0	item51_053	item51_053	0	1000062	0	未鉴定的一阶裤裙，需要消耗一定铜币进行鉴定后方可穿戴，可能获得普通、精粹品质。\n<color=#7fff94>鉴定消耗：100铜币</color>	300110310	0	0	0	0	0	鉴定	1	1	0
300110410	1	[未鉴定]一阶护腕	3214	1	0	-1	0	1	999	5	100	1	7999	0	999	0	0	2	210411	2616	0	1	19999018	50710	1	0	0	0	0	0	106	300110410	0	0	0	0	0	item51_054	item51_054	0	1000062	0	未鉴定的一阶护腕，需要消耗一定铜币进行鉴定后方可穿戴，可能获得普通、精粹品质。\n<color=#7fff94>鉴定消耗：100铜币</color>	300110410	0	0	0	0	0	鉴定	1	1	0
300110510	1	[未鉴定]一阶项链	3214	1	0	-1	0	1	999	203	25	1	7999	0	999	0	0	2	210511	2616	0	1	19999019	50710	1	0	0	0	0	0	108	300110510	0	0	0	0	0	item51_055	item51_055	0	1000062	0	未鉴定的一阶项链，需要消耗一定铜币进行鉴定后方可穿戴，可能获得普通、精粹品质。\n<color=#7fff94>鉴定消耗：100铜币</color>	300110510	0	0	0	0	0	鉴定	1	1	0
300110610	1	[未鉴定]一阶戒指	3214	1	0	-1	0	1	999	203	25	1	7999	0	999	0	0	2	210611	2616	0	1	19999020	50710	1	0	0	0	0	0	109	300110610	0	0	0	0	0	item51_056	item51_056	0	1000062	0	未鉴定的一阶戒指，需要消耗一定铜币进行鉴定后方可穿戴，可能获得普通、精粹品质。\n<color=#7fff94>鉴定消耗：100铜币</color>	300110610	0	0	0	0	0	鉴定	1	1	0
300110710	1	[未鉴定]一阶护肩	3214	1	0	-1	0	1	999	5	100	1	7999	0	999	0	0	2	210711	2616	0	1	19999021	50710	1	0	0	0	0	0	105	300110710	0	0	0	0	0	item51_057	item51_057	0	1000062	0	未鉴定的一阶护肩，需要消耗一定铜币进行鉴定后方可穿戴，可能获得普通、精粹品质。\n<color=#7fff94>鉴定消耗：100铜币</color>	300110710	0	0	0	0	0	鉴定	1	1	0
300110810	1	[未鉴定]一阶帽子	3214	1	0	-1	0	1	999	5	100	1	7999	0	999	0	0	2	210811	2616	0	1	19999022	50710	1	0	0	0	0	0	104	300110810	0	0	0	0	0	item51_058	item51_058	0	1000062	0	未鉴定的一阶头饰，需要消耗一定铜币进行鉴定后方可穿戴，可能获得普通、精粹品质。\n<color=#7fff94>鉴定消耗：100铜币</color>	300110810	0	0	0	0	0	鉴定	1	1	0
