法器共鸣ID(流水号即可)	共鸣副ID(表示职业)	共鸣等级	有效标志位	magic_item_id_1法器ID1	magic_item_id_2法器ID2	magic_item_id_3法器ID3	magic_item_id_4法器ID4	magic_item_id_5法器ID5	attr_type1属性类型1	attr_value1属性值1	attr_type2属性类型2	attr_value2属性值2	attr_type3属性类型3	attr_value3属性值3	attr_type4属性类型4	attr_value4属性值4	增加战力值	共鸣名称
[K][C][S]ID	[K][C][S]second_id	[K][C][S]level	[S]	[C][S]Item_ID1	[C][S]Item_ID2	[C][S]Item_ID3	[C][S]Item_ID4	[C][S]Item_ID5	[C][S]Attr_Type1	[C][S]Attr_Value1	[C][S]Attr_Type2	[C][S]Attr_Value2	[C][S]Attr_Type3	[C][S]Attr_Value3	[C][S]Attr_Type4	[C][S]Attr_Value4	[S]	[C]MagicName
1	11	1	1	500203	500205	0	0	0	7	150	0	0	0	0	0	0	0	1级乾坤
1	11	2	1	500203	500205	0	0	0	7	158	0	0	0	0	0	0	0	2级乾坤
1	11	3	1	500203	500205	0	0	0	7	166	0	0	0	0	0	0	0	3级乾坤
1	11	4	1	500203	500205	0	0	0	7	174	0	0	0	0	0	0	0	4级乾坤
1	11	5	1	500203	500205	0	0	0	7	183	0	0	0	0	0	0	0	5级乾坤
1	11	6	1	500203	500205	0	0	0	7	192	0	0	0	0	0	0	0	6级乾坤
1	11	7	1	500203	500205	0	0	0	7	202	0	0	0	0	0	0	0	7级乾坤
1	11	8	1	500203	500205	0	0	0	7	212	0	0	0	0	0	0	0	8级乾坤
1	11	9	1	500203	500205	0	0	0	7	223	0	0	0	0	0	0	0	9级乾坤
1	11	10	1	500203	500205	0	0	0	7	234	0	0	0	0	0	0	0	10级乾坤
1	21	1	1	500203	500205	0	0	0	7	150	0	0	0	0	0	0	0	1级乾坤
1	21	2	1	500203	500205	0	0	0	7	158	0	0	0	0	0	0	0	2级乾坤
1	21	3	1	500203	500205	0	0	0	7	166	0	0	0	0	0	0	0	3级乾坤
1	21	4	1	500203	500205	0	0	0	7	174	0	0	0	0	0	0	0	4级乾坤
1	21	5	1	500203	500205	0	0	0	7	183	0	0	0	0	0	0	0	5级乾坤
1	21	6	1	500203	500205	0	0	0	7	192	0	0	0	0	0	0	0	6级乾坤
1	21	7	1	500203	500205	0	0	0	7	202	0	0	0	0	0	0	0	7级乾坤
1	21	8	1	500203	500205	0	0	0	7	212	0	0	0	0	0	0	0	8级乾坤
1	21	9	1	500203	500205	0	0	0	7	223	0	0	0	0	0	0	0	9级乾坤
