地图ID	地图类型(PVE为1，PVP为2，3离线竞技场-死了不黑屏）	"扩展功能（0不可用轻功，1是可用轻功，2可以上坐骑，4坐骑可以飞,8有经验衰减，16官员buff不生效，32是否可上交通坐骑,64是否根据固定的阵营关系计算PK关系，128灵兽是否出战，256是否允许队伍操作，512地图是否禁止祝福，1024是可用双人交互动作,2048原地复活是否无敌（可不配，客户端不处理，占用）"	是否为战场	世界地图位置	任务追踪切页类型（1有切页，0无切页）	切页初始页数(1任务、2组队、3玩法)	地图HUD类型;0未初始化状态，1多人和平地图，2多人对战地图，3单人地图，4MOBA地图	地图类型（0和平地图，1PK地图，2活动地图（需要处理强制阵营等），现在只有0有特殊处理，1和2都未处理，但是要配置）	左上角显示按钮规则(就是那三个按钮和灵兽头像的互斥规则了)	副本评分ID	该副本是否刷出篝火（0否，1是）	是否屏蔽自动战斗	"右下角默认显示-位域（单位：0显示技能按钮群,1显示主按钮群；二位：0显示?号，1屏蔽加号）"	进入副本是否默认自动战斗	副本次数限制ID	是否公共地图(1是，0不是)（处理1：若为0则进入打断挖宝状态）	同屏人数少	同屏人数中	同屏人数多	进入副本默认自动战斗延迟	"头顶显示(0不显示任何头衔,1帮派,2情侣,4称号,8阵营职位,16同帮派玩家血条特殊颜色显示)"	助战礼包奖励	助战礼包次数限制	是否为助战地图（0是不可助战地图、1是可助战地图）	血条显示(个位-0不显示，1怪物持续显示，2怪物进战显示；十位-0不显示，1角色持续显示，2角色进战显示)	客户端专用扩展字段（位域：0啥也没有，1显示修炼小提示，2待加……………………）	名字
[C]id	[C]map_type	[C]extend	[C]isBattleMap	[C]worldMapId	[C]toogleType	[C]toogleIndex	[C]hudMode	[C]fightType	[C]showLeftTop	[C]scoreID	[C]overfire	[C]noAutoFight	[C]mainPanelType	[C]autoStartAutoFight	[C]numLimit	[C]isPublic	[C]Displaynumber1	[C]Displaynumber2	[C]Displaynumber3	[C]autoFightDelay	[C]showIDTitle	[C]help_gift_reward	[C]rewardNumRestrictID	[C]isChangeHelpFightMap	[C]hudHpMode	[C]CommonAbility	None
10	1	1167	0	10	1	1	1	0	1	0	0	0	1	0	0	1	5	10	20	0	15	0	0	0	22	1	都神
11	1	1167	0	11	1	1	1	1	1	0	0	0	1	0	0	1	5	10	15	0	15	0	0	0	22	1	星月阁
13	1	1167	0	13	1	1	1	1	1	0	0	0	1	0	0	1	5	15	25	0	15	0	0	0	22	1	三合殿
14	1	1167	0	14	1	1	1	1	1	0	0	0	0	0	0	1	5	15	25	0	15	0	0	0	22	1	桃源村
15	1	1167	0	14	1	1	1	1	1	0	0	0	0	0	0	1	5	15	25	0	15	0	0	0	22	1	桃源村
21	1	362	0	21	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	22	1	[天策]领地
22	1	362	0	22	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	22	1	[圣王]领地
23	1	362	0	23	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	22	1	[修罗]领地
30	1	362	0	30	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	22	1	[夺旗]雪谷
111	1	1167	0	11	1	1	1	1	1	0	0	0	1	0	0	1	5	10	15	0	15	0	0	0	22	1	星月阁
113	1	1167	0	13	1	1	1	1	1	0	0	0	1	0	0	1	5	15	25	0	15	0	0	0	22	1	三合殿
114	1	1167	0	14	1	1	1	1	1	0	0	0	0	0	0	1	5	15	25	0	15	0	0	0	22	1	桃源村
211	1	1167	0	11	1	1	1	1	1	0	0	0	1	0	0	1	5	10	15	0	15	0	0	0	22	1	星月阁
213	1	1167	0	13	1	1	1	1	1	0	0	0	1	0	0	1	5	15	25	0	15	0	0	0	22	1	三合殿
214	1	1167	0	14	1	1	1	1	1	0	0	0	0	0	0	1	5	15	25	0	15	0	0	0	22	1	桃源村
301	1	1282	0	301	1	1	1	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	22	1	宝岛
302	1	1282	0	301	1	1	1	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	22	1	宝岛
303	1	1282	0	301	1	1	1	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	22	1	宝岛
304	1	834	0	30	11	3	2	2	1	0	0	0	1	0	0	1	5	10	20	0	25	0	0	0	12	1	外殿宝藏
305	1	834	0	301	1	1	2	1	1	0	0	0	0	0	0	1	5	10	20	0	15	0	0	0	22	1	神龙藏宝图
1001	1	128	0	14	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	圣教惨案
1011	1	128	0	14	0	0	3	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	桃源洞
1013	1	128	0	14	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	陆家村
1014	1	128	0	14	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	陆家村
1015	1	128	0	14	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	陆家村
1021	1	128	0	10	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	慕府
