地图天气ID	有效标志位	角色buff_ID1	角色buff_lvl1	角色buff_ID2	角色buff_lvl2	角色buff_ID3	角色buff_lvl3	宠物buff_ID1	宠物buff_lvl1	宠物buff_ID2	宠物buff_lvl2	宠物buff_ID3	宠物buff_lvl3	怪物buff_ID1	怪物buff_lvl1	怪物buff_ID2	怪物buff_lvl2	怪物buff_ID3	怪物buff_lvl3	备注（无该字段）
1	1	1030	1	0	0	0	0	1030	1	0	0	0	0	1070	1	0	0	0	0	天地异变1档压制
2	1	1031	1	0	0	0	0	1031	1	0	0	0	0	1071	1	0	0	0	0	天地异变2档压制
3	1	1032	1	0	0	0	0	1032	1	0	0	0	0	1072	1	0	0	0	0	天地异变3档压制
4	1	1033	1	0	0	0	0	1033	1	0	0	0	0	1073	1	0	0	0	0	天地异变4档压制
5	1	1034	1	0	0	0	0	1034	1	0	0	0	0	1074	1	0	0	0	0	天地异变5档压制
6	1	1051	1	0	0	0	0	1051	1	0	0	0	0	0	0	0	0	0	0	天地异变1档后进加成
7	1	1052	1	0	0	0	0	1052	1	0	0	0	0	0	0	0	0	0	0	天地异变2档后进加成
8	1	1053	1	0	0	0	0	1053	1	0	0	0	0	0	0	0	0	0	0	天地异变3档后进加成
9	1	1035	1	0	0	0	0	1035	1	0	0	0	0	1075	1	0	0	0	0	天地异变6档压制
10	1	1036	1	0	0	0	0	1036	1	0	0	0	0	1076	1	0	0	0	0	天地异变7档压制
11	1	1060	1	0	0	0	0	0	0	0	0	0	0	1061	1	0	0	0	0	转生本难度降低
12	1	1037	1	0	0	0	0	1037	1	0	0	0	0	1077	1	0	0	0	0	天地异变8档压制
13	1	1038	1	0	0	0	0	1038	1	0	0	0	0	1078	1	0	0	0	0	天地异变9档压制
14	1	1039	1	0	0	0	0	1039	1	0	0	0	0	1079	1	0	0	0	0	天地异变10档压制
15	1	1040	1	0	0	0	0	1040	1	0	0	0	0	1080	1	0	0	0	0	天地异变11档压制
16	1	1041	1	0	0	0	0	1041	1	0	0	0	0	1081	1	0	0	0	0	天地异变12档压制
17	1	1042	1	0	0	0	0	1042	1	0	0	0	0	1082	1	0	0	0	0	天地异变13档压制
18	1	1043	1	0	0	0	0	1043	1	0	0	0	0	1083	1	0	0	0	0	天地异变14档压制
19	1	1044	1	0	0	0	0	1044	1	0	0	0	0	1084	1	0	0	0	0	天地异变15档压制
20	1	1045	1	0	0	0	0	1045	1	0	0	0	0	1085	1	0	0	0	0	天地异变16档压制
21	1	1046	1	0	0	0	0	1046	1	0	0	0	0	1086	1	0	0	0	0	天地异变17档压制
22	1	1047	1	0	0	0	0	1047	1	0	0	0	0	1087	1	0	0	0	0	天地异变18档压制
23	1	1048	1	0	0	0	0	1048	1	0	0	0	0	1088	1	0	0	0	0	天地异变19档压制
24	1	1049	1	0	0	0	0	1049	1	0	0	0	0	1089	1	0	0	0	0	天地异变20档压制
