步骤ID（9位，7位AI主ID+1位AI条目+1位步骤序号）	VALID	行为优先级	行为类型（0放技能，2召黑户，3召白户，5跑到点，12删白户，14触发事件，15召群组，20删群组，22逃距离，23传送，24删黑户）	行为参数1	行为参数2	行为参数3	行为参数4	行为参数5	行为参数6	行为参数7	行为参数8	行为参数9	行为参数10	行为参数11	行为参数12	行为参数13	行为参数14	行为参数15	行为参数16	行为参数17	行为参数18	行为参数19	客户端脚本ID（其实是参数20）
server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server	server
101	1	1	0	2	21044	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
511	1	1	0	2	21085	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99980052
601	1	1	0	10	21024	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99980061
1701	1	1	0	0	21024	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
2001	1	1	0	0	21024	1	5000	21048	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	90011012
2101	1	1	2	4201000	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
2201	1	1	2	4201000	1	10	4285	4118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
2301	1	1	3	1100002	1100002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
2401	1	1	5	1803	1778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
2501	1	1	12	1100002	1100002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
2601	1	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
2701	1	1	15	320102001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
2801	1	1	20	320102001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
2901	1	1	22	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90011012
3001	1	1	2	9001502	1	10	1	2	0	0	20	2	30	3	40	4	0	0	0	0	0	0	0
3101	1	1	2	9001502	1	10	1	2	50	0	20	2	30	3	40	4	0	0	0	0	0	0	0
3201	1	1	2	9001502	1	10	1	2	0	50	20	2	30	3	40	4	0	0	0	0	0	0	0
3301	1	1	22	2	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3401	1	1	22	1	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3501	1	1	24	0	50	9001502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3601	1	1	24	2	50	9001502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3701	1	1	24	4	50	9001616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3801	1	1	23	0	1	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3901	1	1	23	2	2	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4001	1	1	23	10	2	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30430101	1	1	0	0	21354	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30430201	1	1	0	0	21355	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30430301	1	1	0	0	21356	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30430401	1	1	0	0	21359	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30430501	1	1	0	0	21357	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301100501	1	1	0	0	21010	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301100511	1	0	0	0	21050	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301101001	1	0	0	0	21043	1	5000	21046	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
301101011	1	3	0	0	21010	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301101021	1	0	0	0	21050	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301101301	1	0	14	30110007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301101302	1	1	14	30110010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301101311	1	3	14	30110011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301101321	1	0	0	0	21050	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301101401	1	0	14	30110004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301101501	1	0	14	30110008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301105001	1	0	0	0	21009	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301105011	1	0	0	0	21043	1	5000	21046	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
301105021	1	0	0	0	21010	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110101	1	0	0	0	21001	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110111	1	0	0	0	21049	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110121	1	0	0	0	21010	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110201	1	0	0	0	21003	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110301	1	0	0	0	21003	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110501	1	0	0	0	21025	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110511	1	0	0	0	21030	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110601	1	0	0	0	21042	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110701	1	0	0	0	21018	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110711	1	0	0	0	21023	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110801	1	0	0	0	21028	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110811	1	0	0	0	21039	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110901	1	1	0	0	1031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110911	1	0	0	0	1021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301110921	1	0	0	0	1011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111001	1	0	0	0	3031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111011	1	0	0	0	3011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111021	1	0	0	0	3021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111201	1	0	0	0	2031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111211	1	0	0	0	2021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111221	1	0	0	0	2011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111301	1	0	0	0	4011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111311	1	0	0	0	4021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111321	1	0	0	0	4031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
