资质ID	有效标志位	满时不降几率（单条，2条时，为该几率的一半）	区间1下限	区间1上限	区间1几率	区间1付费几率	步数	区间2下限	区间2上限	区间2几率	区间2付费几率	步数	区间3下限	区间3上限	区间3几率	区间3付费几率	步数	区间4下限	区间4上限	区间4几率	区间4付费几率	步数	区间5下限	区间5上限	区间5几率	区间5付费几率	步数	区间6下限	区间6上限	区间6几率	区间6付费几率	步数	区间7下限	区间7上限	区间7几率	区间7付费几率	步数	区间8下限	区间8上限	区间8几率	区间8付费几率	步数	区间9下限	区间9上限	区间9几率	区间9付费几率	步数	区间10下限	区间10上限	区间10几率	区间10付费几率	步数
[S][C]id	0	[S]	[S][C]minValue_1	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S][C]maxValue_10	[S]	[S]	[S]
100011	1	10000	561	561	0	0	1	561	561	0	0	1	561	561	0	0	1	561	561	0	0	3	561	561	10000	10000	4	561	561	0	0	6	561	561	0	0	6	561	561	0	0	8	561	561	0	0	8	561	561	0	0	10
100012	1	10000	648	648	0	0	1	648	648	0	0	1	648	648	0	0	1	648	648	0	0	3	648	648	10000	10000	4	648	648	0	0	6	648	648	0	0	6	648	648	0	0	8	648	648	0	0	8	648	648	0	0	10
100013	1	10000	660	660	0	0	1	660	660	0	0	1	660	660	0	0	1	660	660	0	0	3	660	660	10000	10000	4	660	660	0	0	6	660	660	0	0	6	660	660	0	0	8	660	660	0	0	8	660	660	0	0	10
100021	1	10000	660	660	0	0	1	660	660	0	0	1	660	660	0	0	1	660	660	0	0	3	660	660	10000	10000	4	660	660	0	0	6	660	660	0	0	6	660	660	0	0	8	660	660	0	0	8	660	660	0	0	10
100022	1	10000	540	540	0	0	1	540	540	0	0	1	540	540	0	0	1	540	540	0	0	3	540	540	10000	10000	4	540	540	0	0	6	540	540	0	0	6	540	540	0	0	8	540	540	0	0	8	540	540	0	0	10
100023	1	10000	600	600	0	0	1	600	600	0	0	1	600	600	0	0	1	600	600	0	0	3	600	600	10000	10000	4	600	600	0	0	6	600	600	0	0	6	600	600	0	0	8	600	600	0	0	8	600	600	0	0	10
100031	1	10000	561	561	0	0	1	561	561	0	0	1	561	561	0	0	1	561	561	0	0	3	561	561	10000	10000	4	561	561	0	0	6	561	561	0	0	6	561	561	0	0	8	561	561	0	0	8	561	561	0	0	10
100032	1	10000	648	648	0	0	1	648	648	0	0	1	648	648	0	0	1	648	648	0	0	3	648	648	10000	10000	4	648	648	0	0	6	648	648	0	0	6	648	648	0	0	8	648	648	0	0	8	648	648	0	0	10
100033	1	10000	660	660	0	0	1	660	660	0	0	1	660	660	0	0	1	660	660	0	0	3	660	660	10000	10000	4	660	660	0	0	6	660	660	0	0	6	660	660	0	0	8	660	660	0	0	8	660	660	0	0	10
