抽奖序号	世界科技	有效标志位	抽奖类型	道具ID	抽到的奖励数量	帮贡普抽	帮贡首抽概率	帮贡10连抽(必保池)概率	帮贡隐性必保池概率	绑元抽奖概率	绑元首抽概率	绑元10连抽(必保池)概率	绑元隐性必保池概率	状态限制ID	帮贡必保清除	绑元必保清除	广播范围	活动标识
主键	副键，每个世界科技下对应一个池（遣散的为四位数，1位世界科技加3位流水）	0	0是灵宠抽奖，1为灵宠遣散	道具的ID，如果是灵宠的话，也填道具ID吧，只是自动使用了	对应道具的数量	帮贡抽1次的池（几率）	帮贡首抽的池（几率）	帮贡10连抽的池（几率），也是帮贡必保的池，只是这个次数不对外	帮贡触发隐性必保时的池（几率，相对概率，万分比）	绑元抽1次的池（几率）	绑元首抽的池（几率）	绑元10连抽的池（几率）	绑元触发隐性必保时的池（几率，相对概率，万分比）	状态限制，在抽的时候，把不满足条件的先剔除出池子	抽到该道具时，是否清除帮贡的必保（0不清，1清10连抽的那个必保，2清10连抽必保及隐性必保）	抽到该道具时，是否清除绑元的必保（0不清，1清10连抽的那个必保，2清10连抽必保及隐性必保）	0不广播，1阵营，2全服	灵宠概率翻倍活动专用，0不是SS宠，1是
1	1001	1	0	410400001	1	10000	0	10000	0	0	0	0	0	0	0	0	0	0
1	1	1	0	410110001	1	1500	10000	1500	0	0	0	0	0	0	0	0	0	0
2	1	1	0	410110002	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
3	1	1	0	410110003	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
4	1	1	0	410110004	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
5	1	1	0	410120001	1	800	0	1000	0	1350	0	0	0	90009301	0	0	0	0
6	1	1	0	410120002	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
7	1	1	0	410120003	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
8	1	1	0	410120004	1	800	0	1000	0	1350	10000	0	0	0	0	0	0	0
9	1	1	0	410120005	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
10	1	1	0	410120006	1	800	0	1000	0	1350	0	0	0	90009306	0	0	0	0
11	1	1	0	410130001	1	100	0	200	0	500	0	0	0	0	0	0	0	0
12	1	1	0	410130002	1	100	0	200	0	500	0	0	0	0	0	0	0	0
13	1	1	0	410130003	1	100	0	200	0	500	0	0	0	0	0	0	0	0
14	1	1	0	410130004	1	100	0	200	0	500	0	0	0	90009204	0	0	0	0
15	1	1	0	410130005	1	100	0	200	0	500	0	0	0	90009205	0	0	0	0
16	1	1	0	410130006	1	100	0	200	0	500	0	0	0	0	0	0	0	0
17	1	1	0	410130007	1	100	0	200	0	500	0	0	0	0	0	0	0	0
18	1	1	0	410130008	1	100	0	200	0	500	0	0	0	0	0	0	0	0
19	1	1	0	410130009	1	100	0	200	0	500	0	0	0	90009209	0	0	0	0
20	1	1	0	410130010	1	100	0	200	0	500	0	0	0	90009210	0	0	0	0
21	1	1	0	410130011	1	100	0	200	0	500	0	0	0	90009211	0	0	0	0
22	1	1	0	410130012	1	100	0	200	0	500	0	0	0	90009212	0	0	0	0
23	1	1	0	410130013	1	100	0	200	0	500	0	0	0	90009213	0	0	0	0
24	1	1	0	410130014	1	100	0	200	0	500	0	0	0	90009214	0	0	0	0
25	1	1	0	410130015	1	100	0	200	0	500	0	0	0	90009215	0	0	0	0
26	1	1	0	410140001	1	0	0	0	0	0	0	0	0	0	2	2	1	0
27	1	1	0	410140002	1	0	0	0	0	50	0	1000	0	90009102	2	2	1	0
28	1	1	0	410140003	1	0	0	0	0	0	0	0	0	0	2	2	1	0
29	1	1	0	410140004	1	0	0	0	0	0	0	0	0	0	2	2	1	0
30	1	1	0	410140005	1	0	0	0	2000	50	0	1000	0	70007100	2	2	1	0
31	1	1	0	410140006	1	0	0	0	2000	50	0	1000	0	0	2	2	1	0
32	1	1	0	410140007	1	0	0	0	0	50	0	1000	0	90009107	2	2	1	0
33	1	1	0	410140008	1	0	0	0	0	50	0	0	0	0	2	2	1	0
34	1	1	0	410140009	1	0	0	0	0	0	0	0	0	0	2	2	1	0
35	1	1	0	410140010	1	0	0	0	0	50	0	1000	0	90009110	2	2	1	0
36	1	1	0	410140011	1	0	0	0	2000	50	0	1000	0	70007300	2	2	1	0
37	1	1	0	410140021	1	0	0	450	13500	150	0	2400	0	70007308	2	2	1	0
38	1	1	0	410140021	1	0	0	0	1500	50	0	800	0	70007301	2	2	1	0
39	1	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007304	2	2	1	0
40	1	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007305	2	2	1	0
41	1	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007306	2	2	1	0
42	1	1	0	410160001	1	0	0	0	0	0	0	0	0	0	2	2	2	1
43	1	1	0	410160002	1	0	0	0	0	10	0	0	1000	0	2	2	2	1
44	1	1	0	410160003	1	0	0	0	0	10	0	0	1000	0	2	2	2	1
45	1	1	0	410160004	1	0	0	0	0	0	0	0	0	70007100	2	2	2	1
46	1	1	0	410160005	1	0	0	0	0	0	0	0	0	70007200	2	2	2	1
47	1	1	0	410160006	1	0	0	0	0	0	0	0	0	0	2	2	2	1
48	1	1	0	410160007	1	0	0	0	0	10	0	0	1000	90009007	2	2	2	1
49	1	1	0	410160008	1	0	0	0	0	0	0	0	100	0	2	2	2	1
50	1	1	0	410160009	1	0	0	0	0	0	0	0	0	0	2	2	2	1
51	1	1	0	410160010	1	0	0	0	0	0	0	0	0	0	2	2	2	1
52	1	1	0	410160011	1	0	0	0	0	0	0	0	800	70000105	2	2	2	1
53	1	1	0	410160011	1	0	0	0	0	8	0	0	5000	40052805	2	2	2	1
54	1	1	0	410540001	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
55	1	1	0	410540002	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
56	1	1	0	410540003	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
57	1	1	0	410540004	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
58	1	1	0	410540005	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
59	1	1	0	410540006	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
60	1	1	0	410540007	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
61	1	1	0	410540008	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
62	1	1	0	410540009	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
63	1	1	0	410540010	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
64	1	1	0	410540011	1	100	0	0	0	100	0	0	0	90007033	0	0	0	0
65	1	1	0	410540021	1	100	0	0	0	100	0	0	0	90007033	0	0	0	0
66	1	1	0	410560001	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
67	1	1	0	410560002	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
68	1	1	0	410560003	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
69	1	1	0	410560004	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
70	1	1	0	410560005	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
71	1	1	0	410560006	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
72	1	1	0	410560007	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
73	1	1	0	410560008	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
74	1	1	0	410560009	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
75	1	1	0	410560010	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
76	1	1	0	410560011	1	0	0	100	0	100	0	0	0	90007033	0	0	0	0
77	1	1	0	410400001	2	2500	0	0	0	0	0	0	0	0	0	0	0	0
78	1	1	0	410400001	18	0	0	0	0	2000	0	0	0	0	0	0	0	0
79	1	1	0	410300000	1	100	0	0	0	0	0	0	0	0	0	0	0	0
80	1	1	0	410300000	1	0	0	0	0	1500	0	0	0	0	0	0	0	0
81	1	1	0	410900300	10	1500	0	0	0	0	0	0	0	0	0	0	0	0
82	1	1	0	410900300	50	0	0	0	0	1000	0	0	0	0	0	0	0	0
83	1	1	0	410900400	1	10	0	0	0	0	0	0	0	0	0	0	0	0
84	1	1	0	410900400	20	0	0	0	0	2000	0	0	0	0	0	0	0	0
1	2	1	0	410110001	1	1500	10000	1500	0	0	0	0	0	0	0	0	0	0
2	2	1	0	410110002	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
3	2	1	0	410110003	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
4	2	1	0	410110004	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
5	2	1	0	410120001	1	800	0	1000	0	1350	0	0	0	90009301	0	0	0	0
6	2	1	0	410120002	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
7	2	1	0	410120003	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
8	2	1	0	410120004	1	800	0	1000	0	1350	10000	0	0	0	0	0	0	0
9	2	1	0	410120005	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
10	2	1	0	410120006	1	800	0	1000	0	1350	0	0	0	90009306	0	0	0	0
11	2	1	0	410130001	1	100	0	200	0	500	0	0	0	0	0	0	0	0
12	2	1	0	410130002	1	100	0	200	0	500	0	0	0	0	0	0	0	0
13	2	1	0	410130003	1	100	0	200	0	500	0	0	0	0	0	0	0	0
14	2	1	0	410130004	1	100	0	200	0	500	0	0	0	90009204	0	0	0	0
15	2	1	0	410130005	1	100	0	200	0	500	0	0	0	90009205	0	0	0	0
16	2	1	0	410130006	1	100	0	200	0	500	0	0	0	0	0	0	0	0
17	2	1	0	410130007	1	100	0	200	0	500	0	0	0	0	0	0	0	0
18	2	1	0	410130008	1	100	0	200	0	500	0	0	0	0	0	0	0	0
19	2	1	0	410130009	1	100	0	200	0	500	0	0	0	90009209	0	0	0	0
20	2	1	0	410130010	1	100	0	200	0	500	0	0	0	90009210	0	0	0	0
21	2	1	0	410130011	1	100	0	200	0	500	0	0	0	90009211	0	0	0	0
22	2	1	0	410130012	1	100	0	200	0	500	0	0	0	90009212	0	0	0	0
23	2	1	0	410130013	1	100	0	200	0	500	0	0	0	90009213	0	0	0	0
24	2	1	0	410130014	1	100	0	200	0	500	0	0	0	90009214	0	0	0	0
25	2	1	0	410130015	1	100	0	200	0	500	0	0	0	90009215	0	0	0	0
26	2	1	0	410140001	1	0	0	0	0	0	0	0	0	0	2	2	1	0
27	2	1	0	410140002	1	0	0	0	0	50	0	1000	0	90009102	2	2	1	0
28	2	1	0	410140003	1	0	0	0	0	0	0	0	0	0	2	2	1	0
29	2	1	0	410140004	1	0	0	0	0	0	0	0	0	0	2	2	1	0
30	2	1	0	410140005	1	0	0	0	2000	50	0	1000	0	70007100	2	2	1	0
31	2	1	0	410140006	1	0	0	0	2000	50	0	1000	0	0	2	2	1	0
32	2	1	0	410140007	1	0	0	0	0	50	0	1000	0	90009107	2	2	1	0
33	2	1	0	410140008	1	0	0	0	0	50	0	0	0	0	2	2	1	0
34	2	1	0	410140009	1	0	0	0	0	0	0	0	0	0	2	2	1	0
35	2	1	0	410140010	1	0	0	0	0	50	0	1000	0	90009110	2	2	1	0
36	2	1	0	410140011	1	0	0	0	2000	50	0	1000	0	70007300	2	2	1	0
37	2	1	0	410140021	1	0	0	0	1500	50	0	800	0	70007301	2	2	1	0
38	2	1	0	410140021	1	0	0	450	13500	150	0	2400	0	70007308	2	2	1	0
39	2	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007304	2	2	1	0
40	2	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007305	2	2	1	0
41	2	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007306	2	2	1	0
42	2	1	0	410160001	1	0	0	0	0	0	0	0	0	0	2	2	2	1
43	2	1	0	410160002	1	0	0	0	0	10	0	0	1000	0	2	2	2	1
44	2	1	0	410160003	1	0	0	0	0	10	0	0	1000	0	2	2	2	1
45	2	1	0	410160004	1	0	0	0	0	0	0	0	0	70007100	2	2	2	1
46	2	1	0	410160005	1	0	0	0	0	0	0	0	0	70007200	2	2	2	1
47	2	1	0	410160006	1	0	0	0	0	0	0	0	0	0	2	2	2	1
48	2	1	0	410160007	1	0	0	0	0	10	0	0	1000	90009007	2	2	2	1
49	2	1	0	410160008	1	0	0	0	0	0	0	0	200	0	2	2	2	1
50	2	1	0	410160009	1	0	0	0	0	0	0	0	0	0	2	2	2	1
51	2	1	0	410160010	1	0	0	0	0	0	0	0	0	0	2	2	2	1
52	2	1	0	410160011	1	0	0	0	0	0	0	0	1000	70000105	2	2	2	1
53	2	1	0	410160011	1	0	0	0	0	8	0	0	5000	40052805	2	2	2	1
54	2	1	0	410540001	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
55	2	1	0	410540002	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
56	2	1	0	410540003	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
57	2	1	0	410540004	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
