灵宠的ID	有效标志位	名字	灵宠颜色，0白、1绿、2蓝C、3紫B、4橙A、5青、6红S、7黄SS（0~7）	职业，就只是用来算战斗力(111标准剑客，121高血，131高防，141高攻）	携带境界要求，0就是要求初境，其他的对应人物境界	携带灵宠类型，同类型的灵宠不可以带多个，主要为变异做的	初始境界	境界属性ID，对应partner_attr_cfg的主ID（1全能，2血，3防，4攻）	灵宠NPCID	灵宠头像(图标ID)	行为AI，服务器用的，以前灰哥写的行为AI	普攻ID（11001人近战，11002兽近程，11003人远程，11004兽远程）	普攻2	普攻3	普攻4	变异境界要求	变异灵宠ID	（洗髓）普通重铸消耗道具ID	（洗髓）普通重铸消耗道具数量	普通重铸变异几率	（洗髓）元宝重铸变异消耗（consumeID）	元宝重铸变异几率	天赋技能ID	天赋技能等级	天赋技能出现几率（普通重铸出现几率）	天赋技能出现几率（元宝重铸出现几率）	天赋技能普通重铸变异几率	天赋技能元宝重铸变异几率	变异天赋技能ID	变异天赋技能等级	技能1ID	技能1等级	技能1出现几率（普通重铸出现几率）	技能1出现几率（元宝重铸出现几率）	普通重铸变异几率	元宝重铸变异几率	变异技能1ID	变异技能1等级	技能2ID	技能2等级	技能2出现几率（普通重铸出现几率）	技能2出现几率（元宝重铸出现几率）	普通重铸变异几率	元宝重铸变异几率	变异技能2ID	变异技能2等级	技能3ID	技能3等级	技能3出现几率（普通重铸出现几率）	技能3出现几率（元宝重铸出现几率）	普通重铸变异几率	元宝重铸变异几率	变异技能3ID	变异技能3等级	技能4ID	技能4等级	技能4出现几率（普通重铸出现几率）	技能4出现几率（元宝重铸出现几率）	普通重铸变异几率	元宝重铸变异几率	变异技能4ID	变异技能4等级	缘分ID1	缘分ID2	缘分ID3	缘分ID4	缘分ID5	缘分ID6	灵宠环任务ID	擅长的经文任务类型	攻击资质ID	防御资质ID	生命资质ID	突破ID	可学习公共技能总数	遣散ID（对应抽卡的副键，1000以上的）	遣散奖励ID（遣散时必定获得的奖励，用来做兽魂的）	拥有时参与抽的几率	拥有时抽到对应道具ID	普通培养道具ID	普通培养数量	绑元洗消耗(consumeID)	类型(位域：1攻、2防、4血、8全能)	抽到重复时道具	抽到道具数量	升星ID	灵宠喊话ID(喊话ID，优先级低，字段先留着)	灵宠描述	来源	相机size（图鉴跟属性里模型站立高度不一样，所以乘以0.85，让属性里不会太高）	图鉴展示（拥有后才展示）	初始战力	招募排序科技1（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技2（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技3（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技4（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技5（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技6（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技7（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技8（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技9（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技10（999表示预览中不出现，1表示大概率，数值越小概率越大）	星级	预览状态限制	标签显示状态限制（0不做处理，不为0时判断状态限制ID是否通过，不通过则不管，通过则读后面两个字段→标签显示文本，标签颜色）	标签显示文字	标签颜色（1红2蓝3青4紫99灰）
[C][S]id	0	[C][S]name	[C][S]color	[S]	[C][S]needRealmLvl	[C][S]ownTypeID	[C][S]initRealmLvl	[C][S]realmAttrID	[C][S]npcTypeID	[C][S]icon	[S]svrAI	[C][S]normalSkillID1	[C][S]normalSkillID2	[C][S]normalSkillID3	[C][S]normalSkillID4	[C][S]mutateRealmLvl	[C][S]mutatePartnerID	[C][S]rebuildItemID	[C][S]rebuildItemNum	[C][S]rebuildRate	[C][S]rebuildConsumeID	[C][S]ingotRebuildRate	[C][S]geniusSkillID	[C][S]geniusSkillLvl	[C][S]geniusSkillRate	[C][S]geniusSkillRateEx	[C][S]mutateGeniusSkillRate	[C][S]mutateGeniusSkillRateEx	[C][S]mutateGeniusSkillID	[C][S]mutateGeniusSkillLvl	[C][S]skillID1	[C][S]skillLvl1	[C][S]skillRate1	[C][S]skillRateEx1	[C][S]skillMutateRate1	[C][S]skillMutateRateEx1	[C][S]mutateSkillID1	[C][S]mutateSkillLvl1	[C][S]skillID2	[C][S]skillLvl2	[C][S]skillRate2	[C][S]skillRateEx2	[C][S]skillMutateRate2	[C][S]skillMutateRateEx2	[C][S]mutateSkillID2	[C][S]mutateSkillLvl2	[C][S]skillID3	[C][S]skillLvl3	[C][S]skillRate3	[C][S]skillRateEx3	[C][S]skillMutateRate3	[C][S]skillMutateRateEx3	[C][S]mutateSkillID3	[C][S]mutateSkillLvl3	[C][S]skillID4	[C][S]skillLvl4	[C][S]skillRate4	[C][S]skillRateEx4	[C][S]skillMutateRate4	[C][S]skillMutateRateEx4	[C][S]mutateSkillID4	[C][S]mutateSkillLvl4	[C][S]relation1	[C][S]relation2	[C][S]relation3	[C][S]relation4	[C][S]relation5	[C][S]relation6	[C][S]taskCircleID	[C][S]goodAtDaozangType	[C][S]attackAptitudeID	[C][S]defenceAptitudeID	[C][S]hpAptitudeID	[C][S]enhanceID	[C][S]maxSkillNum	[C][S]dismissID	[C][S]dismissID	[S]新增	[S]新增	[C][S]fosterItemID	[C][S]fosterItemNum	[C][S]fosterConsumeID	[C][S]type	[C][S]exchangeID	[C][S]exchangeNum	[C][S]upstarID	[C]speakID	[C]desc	[C]produceScript	[C]modelScale	[C]isShow	[C]basePower	[C]illuSortID_1	[C]illuSortID_2	[C]illuSortID_3	[C]illuSortID_4	[C]illuSortID_5	[C]illuSortID_6	[C]illuSortID_7	[C]illuSortID_8	[C]illuSortID_9	[C]illuSortID_10	[C]star	[C]visibleLimitID	[C]Label_limit	[C]tagTitle	[C]Label_color
710000001	1	小蓝鱼	1	141	0	1	20	100001	9999001	partner00_101	char_ai_001	11002	0	0	0	9999	0	410600000	1	500	40501	1000	10201	1	10000	10000	0	0	0	0	31020	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	100011	100012	100013	100010	2	1001	30003611	0	410110001	410400001	2	40561	1	410900300	2	0	0	<color=#3f2a35>类型：</color><color=#625260>攻击-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>输出不差，生命不差，过渡用</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、攻、防位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合诗经类任务</color>\n<color=#9b835d>我的戟已经饥渴难耐了！！</color>	SourcePanel.Show(2,410110001)	0.8	1	100	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
710000002	1	异人	1	141	0	2	20	100001	9999002	partner00_102	char_ai_001	11002	0	0	0	9999	0	410600000	1	500	40501	1000	10201	1	10000	10000	0	0	0	0	32030	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	100021	100022	100023	100020	2	1001	30003611	0	410110002	410400001	2	40561	1	410900300	2	0	0	<color=#3f2a35>类型：</color><color=#625260>攻击-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>攻击型数值灵宠，放副阵吧</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议攻击位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合尚书类任务</color>\n<color=#9b835d>爱丽丝，还记得我吗，马特啊</color>	SourcePanel.Show(2,410110002)	0.9	1	100	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
710000003	1	小红鱼	1	141	0	3	20	100001	9999003	partner00_103	char_ai_001	11002	0	0	0	9999	0	410600000	1	500	40501	1000	10201	1	10000	10000	0	0	0	0	31020	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	100031	100032	100033	100030	2	1001	30003611	0	410110003	410400001	2	40561	1	410900300	2	0	0	<color=#3f2a35>类型：</color><color=#625260>攻击-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>攻击型数值灵宠，放副阵吧</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议攻击位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合礼记类任务</color>\n<color=#9b835d>咸鱼大翻身，蓝鱼穿花衣</color>	SourcePanel.Show(2,410110003)	0.8	1	100	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
710000004	1	魔蝠	1	131	0	4	20	100001	9999004	partner00_104	char_ai_001	11006	0	0	0	9999	0	410600000	1	500	40501	1000	10202	1	10000	10000	0	0	0	0	37050	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	100041	100042	100043	100040	2	1001	30003611	0	410110004	410400001	2	40561	2	410900300	2	0	0	<color=#3f2a35>类型：</color><color=#625260>防御-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>防御还行，过渡用</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、血、防位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合孟子类任务</color>\n<color=#9b835d>别老是说我的尾巴是偷隔壁老鼠的？</color>	SourcePanel.Show(2,410110004)	0.6	1	100	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
720000001	1	大树	2	141	0	5	20	100001	9999005	partner00_201	char_ai_001	11004	0	0	0	9999	0	410600000	2	500	40511	1000	10201	1	10000	10000	0	0	0	0	31010	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	200011	200012	200013	200010	2	1001	30003612	0	410120001	410400001	3	40562	1	410900300	10	0	0	<color=#3f2a35>类型：</color><color=#625260>攻击-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>攻击型灵宠，单体输出</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、攻击位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合论语类任务</color>\n<color=#9b835d>二五六，二五七，二八二九三十一，据说未来的时空中，有一个叫做大树的。。。</color>	SourcePanel.Show(2,410120001)	0.7	1	200	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
720000002	1	自然之灵	2	141	0	6	20	100001	9999006	partner00_202	char_ai_001	11004	0	0	0	9999	0	410600000	2	500	40511	1000	10201	1	10000	10000	0	0	0	0	33010	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	200021	200022	200023	200020	2	1001	30003612	0	410120002	410400001	3	40562	1	410900300	10	0	0	<color=#3f2a35>类型：</color><color=#625260>攻击-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>攻击型灵宠，减速目标</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、攻击位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合诗经类任务</color>\n<color=#9b835d>森林蕴含着神奇的自然力量！</color>	SourcePanel.Show(2,410120002)	1	1	200	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
720000003	1	熊妖	2	131	0	7	20	100001	9999007	partner00_203	char_ai_001	11006	0	0	0	9999	0	410600000	2	500	40511	1000	10202	1	10000	10000	0	0	0	0	37050	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	200031	200032	200033	200030	2	1001	30003612	0	410120003	410400001	3	40562	2	410900300	10	0	0	<color=#3f2a35>类型：</color><color=#625260>防御-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>防御型灵宠，嘲讽，坦克</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议防御相关阵位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合尚书类任务</color>\n<color=#9b835d>熊大熊二，老弟我回来啦</color>	SourcePanel.Show(2,410120003)	0.6	1	200	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
720000004	1	小狐仙	2	131	0	8	20	100001	9999008	partner00_204	char_ai_001	11006	0	0	0	9999	0	410600000	2	500	40511	1000	10202	1	10000	10000	0	0	0	0	36020	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	200041	200042	200043	200040	2	1001	30003612	0	410120004	410400001	3	40562	2	410900300	10	0	0	<color=#3f2a35>类型：</color><color=#625260>防御-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>防御型灵宠，增加主人</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议防御相关阵位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合礼记类任务</color>\n<color=#9b835d>主人，我还要……牛奶</color>	SourcePanel.Show(2,410120004)	1	1	200	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
720000005	1	小小荷	2	121	0	9	20	100001	9999009	partner00_205	char_ai_001	11003	0	0	0	9999	0	410600000	3	500	40512	1000	10203	1	10000	10000	0	0	0	0	37010	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	200051	200052	200053	200050	2	1001	30003612	0	410120005	410400001	3	40562	4	410900300	10	0	0	<color=#3f2a35>类型：</color><color=#625260>生命-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>生命型灵宠，回复自身</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议生命相关阵位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合周易类任务</color>\n<color=#9b835d>小小家俾女，菜蘑菇</color>	SourcePanel.Show(2,410120005)	0.8	1	200	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
