地点ID	副ID	有效值	地点类型(1地点限制，xyz，距离)	参数1	参数2	参数3	参数4	参数5	备注
pos_id	second_id	0	pos_type	param1	param2	param3	param4	param5	0
2101	1	1	1	21	1347	722	1367	50	领地信号弹
2201	1	1	1	22	1347	722	1367	50	领地信号弹
2301	1	1	1	23	1347	722	1367	50	领地信号弹
1101	1	1	1	13	4529	154	2454	50	收集桃花
1101	2	1	1	113	4529	154	2454	50	收集桃花
1101	3	1	1	213	4529	154	2454	50	收集桃花
1102	1	1	1	13	5034	253	2756	50	水桶
1102	2	1	1	113	5034	253	2756	50	水桶
1102	3	1	1	213	5034	253	2756	50	水桶
1103	1	1	1	11	1577	135	2363	50	装满的水桶
1103	2	1	1	111	1577	135	2363	50	装满的水桶
1103	3	1	1	211	1577	135	2363	50	装满的水桶
1001	1	1	1	11	1140	168	2393	50	打开异域
1001	2	1	1	111	1140	168	2393	50	打开异域
1001	3	1	1	211	1140	168	2393	50	打开异域
710001	1	1	1	7100	2191	9	1999	50	宝石短剑
710001	2	1	1	7200	2191	9	1999	50	宝石短剑
2102	1	1	1	14	4883	1536	4668	50	新手村引线
2102	2	1	1	114	4883	1536	4668	50	新手村引线
2102	3	1	1	214	4883	1536	4668	50	新手村引线
2202	1	1	1	22	1131	722	1754	50	领地引线
2302	1	1	1	23	1131	722	1754	50	领地引线
2103	1	1	1	10	7134	3137	6968	50	新手村爆竹a
2203	1	1	1	10	7334	3137	7159	50	新手村爆竹b
2303	1	1	1	10	7333	3137	6781	50	新手村爆竹c
2403	1	1	1	14	4027	1452	3193	50	新手村浇水
2403	2	1	1	114	4027	1452	3193	50	新手村浇水
2403	3	1	1	214	4027	1452	3193	50	新手村浇水
5900	1	1	1	7001	1580	135	2384	50	帮派神树
