#id	#可用	#类型（1单数出现，2偶数出现）	#出现几率（此题目在本类型中出现的几率）	#正确答案	#选项数量	#题目（文本信息或文本信息ID）	选项1（文本信息或文本信息ID）	选项2（文本信息或文本信息ID）	选项3（文本信息或文本信息ID）	选项4（文本信息或文本信息ID）
[K][C][S]id	valid	[C][S]type_id	[C][S]probability	[C][S]answer_id	[C][S]answer_num	[C][S]questionDesc	[C][S]answer_1	[C][S]answer_2	[C][S]answer_3	[C][S]answer_4
1	1	1	10000	1	2	怎样可以获得唯美灵宠魅惑狐妖？	非刀客职业首充	首充	0	0
2	1	1	10000	1	2	发现游戏BUG后该怎么做？	联系客服并反馈细节	先测试一下是否属实	0	0
3	1	1	10000	1	2	怎么打开小地图？	点击右上角那个框框	点击人物脚底	0	0
4	1	2	10000	2	2	主线任务要求达到多少多少级后该怎么办？	凉拌	参与支线和活动	0	0
5	1	2	10000	2	2	临时背包满了该怎么办？	花50绑元扩充	临时背包中取出物品	0	0
6	1	1	10000	1	2	提升等级最快的方法是什么？	参与主线、日常任务	挂机	0	0
7	1	2	10000	2	2	什么东西能提升人物等级？	铜币	经验	0	0
8	1	1	10000	1	2	什么东西能提升技能等级？	秘籍	经验	0	0
9	1	2	10000	1	2	以下哪个不全是坐骑？	黑毛羊驼、酒鬼葫芦	白帝、灵狐、雪兔	0	0
10	1	1	10000	1	2	获得第一只灵宠后应该干嘛？	选择出战	调戏一下	0	0
11	1	2	10000	1	2	武学里面有什么？	技能属性、符文选择	技能效果、技能遗忘	0	0
12	1	1	10000	2	2	灵宠遣散后有什么好处？	概率获得银元	概率获得灵宠币	0	0
13	1	1	10000	1	2	灵宠最高级别为？	SS	SB	0	0
14	1	2	10000	1	2	灵宠阵法有什么好处？	提高出战灵宠属性	提高出战灵宠智商	0	0
15	1	1	10000	1	2	C级灵宠最多同时拥有几个领悟技能？	2	3	0	0
16	1	2	10000	2	2	绑元可以用来干嘛？	买棒棒糖吃	绑元商店购买物品	0	0
17	1	1	10000	1	2	灵宠被遣散后会干嘛？	不再拥有	不听话	0	0
18	1	1	10000	1	2	用什么可以招募灵宠？	铜币、招募令	零食、甜甜圈	0	0
19	1	2	10000	1	2	外观不全包含哪些？	套装、武器、背包	坐骑、灵宝、武魂	0	0
20	1	1	10000	2	2	下面哪个不全是坐骑？	玄铁剑、灵狐、白帝	天山雪雕、天山老妖	0	0
21	1	2	10000	1	2	下面哪些不全是游戏中经文书籍里的？	周易、孟子、唐诗	论语、尚书、礼记	0	0
22	1	1	10000	1	2	经文主要获得哪些资源？	培养丹、铜币	残页、秘籍	0	0
23	1	2	10000	1	2	下面哪个不全是游戏中拥有的排行榜？	修为、击杀、战力	修为、魅力、帮派	0	0
