角色等级	有效标志位	军功点最大值	威望点最大值	荣誉点最大值	贡献点最大值	道藏任务最大上限	体力值最大上限
[K][C][S]role_level	[S]valid	[C][S]max_jungong	[C][S]max_weiwang	[C][S]max_honor	[C][S]max_offer	[C][S]max_daozang_task	[C][S]max_power
1	1	100000	100000	100000	100000	6	300
2	1	200000	200000	200000	200000	6	300
3	1	300000	300000	300000	300000	6	300
4	1	400000	400000	400000	400000	6	300
5	1	500000	500000	500000	500000	6	300
6	1	600000	600000	600000	600000	6	300
7	1	700000	700000	700000	700000	6	300
8	1	800000	800000	800000	800000	6	300
9	1	900000	900000	900000	900000	6	300
10	1	1000000	1000000	1000000	1000000	6	300
11	1	1100000	1100000	1100000	1100000	6	300
12	1	1200000	1200000	1200000	1200000	6	300
13	1	1300000	1300000	1300000	1300000	6	300
14	1	1400000	1400000	1400000	1400000	6	300
15	1	1500000	1500000	1500000	1500000	6	300
16	1	1600000	1600000	1600000	1600000	6	300
17	1	1700000	1700000	1700000	1700000	6	300
18	1	1800000	1800000	1800000	1800000	6	300
19	1	1900000	1900000	1900000	1900000	6	300
20	1	2000000	2000000	2000000	2000000	6	300
21	1	2100000	2100000	2100000	2100000	6	300
22	1	2200000	2200000	2200000	2200000	6	300
23	1	2300000	2300000	2300000	2300000	6	300
24	1	2400000	2400000	2400000	2400000	6	300
25	1	2500000	2500000	2500000	2500000	6	300
26	1	2600000	2600000	2600000	2600000	6	300
27	1	2700000	2700000	2700000	2700000	6	300
28	1	2800000	2800000	2800000	2800000	6	300
29	1	2900000	2900000	2900000	2900000	6	300
30	1	3000000	3000000	3000000	3000000	6	300
31	1	3100000	3100000	3100000	3100000	6	300
32	1	3200000	3200000	3200000	3200000	6	300
33	1	3300000	3300000	3300000	3300000	6	300
34	1	3400000	3400000	3400000	3400000	6	300
35	1	3500000	3500000	3500000	3500000	6	300
36	1	3600000	3600000	3600000	3600000	6	300
37	1	3700000	3700000	3700000	3700000	6	300
38	1	3800000	3800000	3800000	3800000	6	300
39	1	3900000	3900000	3900000	3900000	6	300
40	1	4000000	4000000	4000000	4000000	6	300
41	1	4100000	4100000	4100000	4100000	6	300
42	1	4200000	4200000	4200000	4200000	6	300
43	1	4300000	4300000	4300000	4300000	6	300
44	1	4400000	4400000	4400000	4400000	6	300
45	1	4500000	4500000	4500000	4500000	6	300
46	1	4600000	4600000	4600000	4600000	6	300
47	1	4700000	4700000	4700000	4700000	6	300
48	1	4800000	4800000	4800000	4800000	6	300
49	1	4900000	4900000	4900000	4900000	6	300
50	1	5000000	5000000	5000000	5000000	6	300
51	1	5100000	5100000	5100000	5100000	7	300
52	1	5200000	5200000	5200000	5200000	7	300
53	1	5300000	5300000	5300000	5300000	7	300
54	1	5400000	5400000	5400000	5400000	7	300
55	1	5500000	5500000	5500000	5500000	7	300
56	1	5600000	5600000	5600000	5600000	7	300
