任务环ID	任务环副键（表示第几环）	有效标志位	状态限制ID	任务类型（0单个任务，1池任务）	任务类型参数（任务ID，池iD）	奖励ID	次数限制	是否自动下发下一环	额外奖励ID	自动完成消耗	环任务名字	点击组队时触发的函数
[C][S]circle_id	[C][S]second_id	[C][S]valid	[C][S]state_id	[C][S]if_need_pool	[C][S]pool_id	[C][S]reward_id	[C][S]num_limit_id	[S]if_give_next_task	[C][S]reward_id2	[C][S]consume_id	[C]type_name	[C]teamClickFunc
1281	0	1	10500001	0	5701	10500101	2	1	0	0	帮派任务	0
1281	1	1	10500001	0	5702	10500102	2	1	0	0	帮派任务	0
1281	2	1	10500001	0	5703	10500103	2	1	0	0	帮派任务	0
1281	3	1	10500001	0	5704	10500104	2	1	0	0	帮派任务	0
1281	4	1	10500001	0	5705	10500105	2	1	0	0	帮派任务	0
1281	5	1	10500001	0	5706	10500106	2	1	0	0	帮派任务	0
1281	6	1	10500001	0	5707	10500107	2	1	0	0	帮派任务	0
1281	7	1	10500001	0	5708	10500108	2	1	0	0	帮派任务	0
1281	8	1	10500001	0	5709	10500109	2	1	0	0	帮派任务	0
1281	9	1	10500001	0	5710	10500110	2	0	10500120	0	帮派任务	0
1310	0	1	10520001	0	5204	10131001	8	1	0	20116	斩妖任务	TeamMainPanel.OpenPanel(0)
1310	1	1	10520001	0	5205	10131001	8	1	0	20116	斩妖任务	TeamMainPanel.OpenPanel(0)
1310	2	1	10520001	0	5206	10131001	8	1	0	20116	斩妖任务	TeamMainPanel.OpenPanel(0)
1310	3	1	10520001	0	5207	10131001	8	1	0	20116	斩妖任务	TeamMainPanel.OpenPanel(0)
1310	4	1	10520001	1	5230	10131001	8	1	0	20116	斩妖任务	TeamMainPanel.OpenPanel(0)
1310	5	1	10520001	1	5231	10131001	8	1	0	20116	斩妖任务	TeamMainPanel.OpenPanel(0)
1310	6	1	10520001	1	5232	10131001	8	1	0	20116	斩妖任务	TeamMainPanel.OpenPanel(0)
1310	7	1	10520001	1	5233	10131001	8	1	0	20116	斩妖任务	TeamMainPanel.OpenPanel(0)
1310	8	1	10520001	1	5234	10131001	8	1	0	20116	斩妖任务	TeamMainPanel.OpenPanel(0)
1310	9	1	10520001	0	5223	10131001	8	0	10131002	20116	斩妖任务	TeamMainPanel.OpenPanel(0)
5250	0	1	10525002	0	5251	10525101	49	1	0	0	伏魔任务	LogicScriptManager.TriggerScript(525001)
5250	1	1	10525001	0	5252	10525201	49	1	0	0	伏魔任务	LogicScriptManager.TriggerScript(525001)
