任务ID（1-1279为一次性任务）	有效标志位	子任务ID	任务类型（1正常模式，2客户端模式，指引、奇遇、全隐藏模式这几个待定）	任务模式（来源：1经文,2神树，3课程表，4剑池，5灵宠，6出国，7帮派工资，8帮派任务1，9帮派任务2，10帮派任务3，11帮派任务4，12帮派任务5，13修仙之路,14奇遇任务(指引型),15奇遇任务(选择型)，16师徒任务）	任务模式（时间：0一次性任务，1日常任务，2周常任务，3月常任务）	任务模式（接取来源-位域：0无，1NPC，2面板，4道具）	所属环ID	模式参数	领取任务状态限制表主键，填0则不会读取	消耗条件主键，填0则不会读取	奖励ID主键，填0则不会读取	任务名字	可接任务描述	已接任务描述	可交任务描述	整个任务描述	领取任务对白ID	提交任务对白ID	领取任务脚本ID	完成任务脚本ID	完成任务的模式：0表示或条件，1表示与条件（注意：如果是或条件的话，空条件类型的参数2要是1，否则会一接就完成的情况）	完成任务条件：（1杀怪，2通关副本，3完成成就，4境界要求，5诵读经文，6采集多少次，7是客户端采集，8获得道具，9完成次数限制，10装备加工，11技能加工，12由服务器通关客户端副本，13灵宠注入灵元几次，14提交名剑X次，15通关指定类型客户端副本X次<2为观灵阁，8是精英历练>，16获得经文残页X次，17等级提升，18参与指定类型副本，19每日通关封魔塔层数（重置也算）），20重铸卡牌（无用），21杀敌/助攻,22抽奖(参数1:1青铜,2白银,3黄金)，23悬赏（条件为0，进度为1），24好友个数（参数1：需要角色身上的好友数量，25客户端触发服务器进度，26帮派竞拍物品成功次数，27购买某个商店多少个物品  参数1：商店ID，28帮派分红多少元宝，29开启修炼，30打造装备，31灵宠招募，参数2次数，32升级宝石，参数2次数，33合成魂装，参数2次数，34精炼多少次，35卡牌重铸多少次，36卡牌洗练多少次，37灵宠培养，38灵宠重铸，39购买聚宝盆）	完成任务条件1参数1	完成任务条件1参数2	完成任务条件1参数3	任务条件1的描述	任务条件1触发的脚本	完成条件2	完成条件2参数1	完成条件2参数2	完成条件2参数3	完成条件2描述	完成条件2脚本	完成条件3	完成条件3参数1	完成条件3参数2	完成条件3参数3	完成条件3描述	完成条件3脚本	完成条件4	完成条件4参数1	完成条件4参数2	完成条件4参数3	完成条件4描述	完成条件4脚本	完成条件5	完成条件5参数1	完成条件5参数2	完成条件5参数3	完成条件5描述	完成条件5脚本	可重复次数（仅针对可循环任务）	接任务NPC（默认）	交任务NPC（默认）	接任务地图（默认公共地图及第一阵营）	交任务地图（默认公共地图及第一阵营）	任务预给奖励	任务回收ID（消耗ID）	状态限制ID（仅在这个状态内可提交）	任务类型(0主线，1支线，2日常，3课程表，4灵宠，5教院，6指引）	只能接一个任务	是否可放弃任务（0不可以，1可以）	师徒值邮件ID	奖励师德值	接任务NPCX坐标	接任务NPCY坐标	接任务NPCZ坐标	交任务NPCX坐标	交任务NPCY坐标	交任务NPCZ坐标	任务目标1npcid	任务目标1地图	任务目标1x	任务目标1y	任务目标1z	任务目标2npcid	任务目标2地图	任务目标2x	任务目标2y	任务目标2z	任务目标3npcid	任务目标3地图	任务目标3x	任务目标3y	任务目标3z	可提交时触发脚本ID	不自动去做	不自动去交	任务自动读秒（大于0的则为默认读秒时间，读秒仅用于自动领取任务和自动领取任务奖励，等于0则不自动读秒）	目标1寻路后触发脚本	目标2寻路后触发脚本	目标3寻路后触发脚本	任务显示优先级	是否显示特殊奖励	环任务脚本（仅用在环任务上，切记）	接任务NPC（阵营2）	接任务地图（第二阵营）	接任务NPCX坐标	接任务NPCY坐标	接任务NPCZ坐标	交任务NPC（阵营2）	交任务地图（第二阵营）	交任务NPCX坐标	交任务NPCY坐标	交任务NPCZ坐标	接任务NPC（阵营3）	接任务地图（第二阵营）	接任务NPCX坐标	接任务NPCY坐标	接任务NPCZ坐标	交任务NPC（阵营3）	交任务地图（第二阵营）	交任务NPCX坐标	交任务NPCY坐标	交任务NPCZ坐标	接任务上报	交任务上报
[C][S]id	[C][S]valid	[C][S]task_son_id	[C][S]task_mode	[C][S]from_type	[C][S]time_type	[C][S]get_type	[C][S]circle_id	[C][S]mode_parm5	[C][S]get_limit_id	[C][S]consume_id	[C][S]reward_id	[C][S]name	[C][S]get_target_str	[C][S]do_target_str	[C][S]finish_target_str	[C][S]desc	[C][S]get_dlg_id	[C][S]finish_dlg_id	[C][S]get_script_id	[C][S]finish_script_id	[C][S]target_mode	[C][S]targets1_type	[C][S]targets1_id	[C][S]targets1_num	[C][S]targets1_param	[C][S]targets1_str	[C][S]targets1_do_script	[C][S]targets2_type	[C][S]targets2_id	[C][S]targets2_num	[C][S]targets2_param	[C][S]targets2_str	[C][S]targets2_do_script	[C][S]targets3_type	[C][S]targets3_id	[C][S]targets3_num	[C][S]targets3_param	[C][S]targets3_str	[C][S]targets3_do_script	[C][S]targets4_type	[C][S]targets4_id	[C][S]targets4_num	[C][S]targets4_param	[C][S]targets4_str	[C][S]targets4_do_script	[C][S]targets5_type	[C][S]targets5_id	[C][S]targets5_num	[C][S]targets5_param	[C][S]targets5_str	[C][S]targets5_do_script	[C][S]repeat_time	[C][S]get_npc_type_id_0	[C][S]sub_npc_type_id_0	[C][S]get_map_id_0	[C][S]sub_map_id_0	[S]	[S]	[S]	[C][S]type	[C][S]task_show_one_type	[C][S]if_can_give_up	[S]master_mail_id	[S][C]add_master_value	[C]get_coordinate_x_0	[C]get_coordinate_y_0	[C]get_coordinate_z_0	[C]sub_coordinate_x_0	[C]sub_coordinate_y_0	[C]sub_coordinate_z_0	[C]targets1_npc	[C]targets1_map	[C]targets1_x	[C]targets1_y	[C]targets1_z	[C]targets2_npc	[C]targets2_map	[C]targets2_x	[C]targets2_y	[C]targets2_z	[C]targets3_npc	[C]targets3_map	[C]targets3_x	[C]targets3_y	[C]targets3_z	[C]finish_state_script	[C]notAutoDoTask	[C]notAutoFinishTask	[C]autoTime	[C]targets1_post_script	[C]targets2_post_script	[C]targets3_post_script	[C]sortPrior	[C]preShowReward	[C]circle_script	[C]get_npc_type_id_1	[C]get_map_id_1	[C]get_coordinate_x_1	[C]get_coordinate_y_1	[C]get_coordinate_z_1	[C]sub_npc_type_id_1	[C]sub_map_id_1	[C]sub_coordinate_x_1	[C]sub_coordinate_y_1	[C]sub_coordinate_z_1	[C]get_npc_type_id_2	[C]get_map_id_2	[C]get_coordinate_x_2	[C]get_coordinate_y_2	[C]get_coordinate_z_2	[C]sub_npc_type_id_2	[C]sub_map_id_2	[C]sub_coordinate_x_2	[C]sub_coordinate_y_2	[C]sub_coordinate_z_2	[C]get_report_id	[C]sub_report_id
1	1	3	1	0	0	0	0	0	0	0	10000101	长生再现	与师父对话	空	点击领取奖励	近日九星连珠异象再现，西方群魔异动，东方紫微星式微，师父推演一番后发现《长生诀》再次出现人间了。	0	0	102	0	0	0	0	0	0	获取《长生诀》信息	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011016	1011016	14	14	0	0	0	0	0	0	0	0	491.36	141.2	267.16	491.36	141.2	267.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	1011016	114	491.36	141.2	267.16	1011016	114	491.36	141.2	267.16	1011016	214	491.36	141.2	267.16	1011016	214	491.36	141.2	267.16	100100	100110
3	1	303	1	0	0	0	0	0	10000301	0	10000301	豆蔻之年	对话薇雪	空	点击领取奖励	这姑娘看样子也就二七妙龄，但见此女眉头紧锁，似乎有什么烦心事。	0	0	0	301	0	0	0	0	0	对话薇雪	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011020	0	14	0	0	0	0	0	0	0	0	0	0	0	469.18	145.2	316.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	0	0	0	0	0	1011020	114	469.18	145.2	316.96	0	0	0	0	0	1011020	214	469.18	145.2	316.96	100200	100210
303	1	18	1	0	0	0	0	0	10030301	0	10030301	桃源碧玉	与沐月露对话	空	点击领取奖励	这一袭彩衣，桃源女子竟如此媚人，上前向她打听一下消息吧。	0	303	0	0	0	0	0	0	0	与沐月露对话	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011124	0	14	0	0	0	0	0	0	0	0	0	0	0	441.47	145.23	318.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	0	0	0	0	0	1011124	114	441.47	145.23	318.46	0	0	0	0	0	1011124	214	441.47	145.23	318.46	100300	100310
18	1	2	1	0	0	0	0	0	10001801	0	10001801	灵田之水	去灵田浇水	空	点击领取奖励	村长听闻我给灵田浇水了，感叹一下古道热肠，之后让我帮忙给药店小掌柜送些药草过去。	0	0	0	202	1	6	1011122	1	0	去灵田浇水	LogicScriptManager.TriggerScript(1801)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011018	0	14	10001802	0	0	0	0	0	0	0	0	0	0	435.46	145.2	344.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	0	0	0	0	0	1011018	114	435.46	145.2	344.72	0	0	0	0	0	1011018	214	435.46	145.2	344.72	100400	100410
2	1	357	2	0	0	0	0	0	10000201	0	10000201	赠送灵草	与灵药小妹对话	空	点击领取奖励	灵药小妹拿到灵草后感激不尽，询问我的来意之后，便建议我去找一下九仙山道观首徒林夕蝶，或许她有什么线索。	0	0	0	0	1	1	10001	1	0	与灵药小妹对话	LogicScriptManager.TriggerScript(203)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011107	0	14	0	20117	0	0	0	0	0	0	0	0	0	462.92	145.1	342.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	0	0	0	0	0	1011107	114	462.92	145.1	342.32	0	0	0	0	0	1011107	214	462.92	145.1	342.32	100500	100510
357	1	347	1	0	0	0	0	0	10035701	0	10035701	缘定今生	与月老对话	空	点击领取奖励	慕府大婚宴请天下豪客，这月老在这广发请柬，看来这幕府很不简单。	0	34701	0	0	0	0	0	0	0	与月老对话	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011125	0	14	0	0	0	0	0	0	0	0	0	0	0	459.26	145.23	353.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	0	0	0	0	0	1011125	114	459.26	145.23	353.97	0	0	0	0	0	1011125	214	459.26	145.23	353.97	100600	100610
347	1	4	1	0	0	0	0	0	10034701	0	10034701	婚礼请柬	与月老对话	空	点击领取奖励	领取缘定今生的婚礼请柬，协助慕萧辰与俞霜完成婚礼。	0	0	0	33002	1	3	2551	1	0	领取婚礼请柬	LogicScriptManager.TriggerScript(34701)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011125	0	14	0	0	0	0	0	0	0	0	0	0	0	459.26	145.23	353.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	0	0	0	0	0	1011125	114	459.26	145.23	353.97	0	0	0	0	0	1011125	214	459.26	145.23	353.97	100700	100710
4	1	5	2	0	0	0	0	0	10000401	0	10000401	扶摇步法	与林夕蝶对话	空	点击领取奖励	这女子气度不凡，年年纪轻轻便有如此的养气功夫，不过他对我想知道的东西爱莫能助，或许他师父知道些什么。	0	0	0	0	1	1	10001	1	0	与林夕蝶对话	LogicScriptManager.TriggerScript(401)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011021	1011021	14	14	0	0	0	0	0	0	0	0	451.17	145.18	389.43	451.17	145.18	389.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	1011021	114	451.17	145.18	389.43	1011021	114	451.17	145.18	389.43	1011021	214	451.17	145.18	389.43	1011021	214	451.17	145.18	389.43	100800	100810
5	1	6	1	0	0	0	0	0	10000501	0	10000501	路见不平	救治伤者	空	点击领取奖励	这人在这如此偏远之处受伤，而且伤势不轻，听说九仙山道观观长医术高超，就送这人上山救治一下吧。	0	501	0	0	0	0	0	0	0	与伤者对话	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011027	1011027	14	14	0	0	0	0	0	0	0	0	419.5	147.9	472.2	419.5	147.9	472.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	1011027	114	419.5	147.9	472.2	1011027	114	419.5	147.9	472.2	1011027	214	419.5	147.9	472.2	1011027	214	419.5	147.9	472.2	100900	100910
