任务池ID	任务池副键	有效标志位	无用·状态限制ID（该字段没用，别自动多情了）	任务ID	随机到的概率（相对概率）	接取任务NPCtype_id	接取任务map_id（这类任务在可接或是可交时，会先跳到该地图再寻路到指定NPC）	池名字	描述	接任务坐标x	接任务坐标y	接任务坐标z	所属环id	任务类型(0主线，1支线，2日常，3课程表，4伙伴，5学院，6指引，7帮派工资，8帮派任务1，9帮派任务2，10帮派任务3，11帮派任务4，12帮派任务5,14奇遇任务(指引型),15奇遇任务(选择型)）
[C][S]pool_id	[C][S]second_id	[C][S]valid	[C][S]state_id	[C][S]task_id	[C][S]random_value	[C][S]get_npc_type_id	[C][S]get_map_id	[C]name	[C]desc	[C]get_coordinate_x	[C]get_coordinate_y	[C]get_coordinate_z	[C][S]circle_id	[C]type
5230	0	1	10520001	5208	3333	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5230	1	1	10520001	5209	3333	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5230	2	1	10520001	5210	3334	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5231	0	1	10520001	5211	3333	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5231	1	1	10520001	5212	3333	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5231	2	1	10520001	5213	3334	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5232	0	1	10520001	5214	3333	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5232	1	1	10520001	5215	3333	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5232	2	1	10520001	5216	3334	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5233	0	1	10520001	5217	3333	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5233	1	1	10520001	5218	3333	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5233	2	1	10520001	5219	3334	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5234	0	1	10520001	5220	3333	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5234	1	1	10520001	5221	3333	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5234	2	1	10520001	5222	3334	0	0	斩妖除魔	找军师参与斩妖除魔	0	0	0	1310	2
5581	0	1	10550101	5501	1666	0	0	[圣王宫]歼敌-阵营刺探中	(阵营刺探令中接/交有额外奖励)我方领地士兵临阵脱逃，已逃往圣王宫，你速前去追杀！	0	0	0	5507	2
5581	1	1	10551401	5514	1666	0	0	[修罗殿]歼敌-阵营刺探中	(阵营刺探令中接/交有额外奖励)我方领地士兵临阵脱逃，已逃往修罗殿，你速前去追杀！	0	0	0	5507	2
5581	2	1	10552101	5521	1666	0	0	[天策府]歼敌-阵营刺探中	(阵营刺探令中接/交有额外奖励)我方领地士兵临阵脱逃，已逃往天策府，你速前去追杀！	0	0	0	5507	2
5582	0	1	10550201	5502	1666	0	0	[圣王宫]机关-阵营刺探中	(阵营刺探令中接/交有额外奖励)前去破坏圣王宫的城防机关，地点已被我方斥候标记出来，你直接去便可。	0	0	0	5507	2
5582	1	1	10551501	5515	1666	0	0	[修罗殿]机关-阵营刺探中	(阵营刺探令中接/交有额外奖励)前去破坏修罗殿的城防机关，地点已被我方斥候标记出来，你直接去便可。	0	0	0	5507	2
5582	2	1	10552201	5522	1666	0	0	[天策府]机关-阵营刺探中	(阵营刺探令中接/交有额外奖励)前去破坏天策府的城防机关，地点已被我方斥候标记出来，你直接去便可。	0	0	0	5507	2
5583	0	1	10550301	5503	1666	0	0	[圣王宫]信号-阵营刺探中	(阵营刺探令中接/交有额外奖励)若已破坏了城防机关，前去圣王宫城门外，放出信号烟，我们大军便可长驱直入！	0	0	0	5507	2
5583	1	1	10551601	5516	1666	0	0	[修罗殿]信号-阵营刺探中	(阵营刺探令中接/交有额外奖励)若已破坏了城防机关，前去修罗殿城门外，放出信号烟，我们大军便可长驱直入！	0	0	0	5507	2
5583	2	1	10552301	5523	1666	0	0	[天策府]信号-阵营刺探中	(阵营刺探令中接/交有额外奖励)若已破坏了城防机关，前去天策府城门外，放出信号烟，我们大军便可长驱直入！	0	0	0	5507	2
5584	0	1	10550401	5504	1666	0	0	[修罗殿]歼敌-阵营刺探中	(阵营刺探令中接/交有额外奖励)我方领地士兵临阵脱逃，已逃往修罗殿，你速前去追杀！	0	0	0	5508	2
5584	1	1	10551101	5511	1666	0	0	[天策府]歼敌-阵营刺探中	(阵营刺探令中接/交有额外奖励)我方领地士兵临阵脱逃，已逃往天策府，你速前去追杀！	0	0	0	5508	2
5584	2	1	10552401	5524	1666	0	0	[圣王宫]歼敌-阵营刺探中	(阵营刺探令中接/交有额外奖励)我方领地士兵临阵脱逃，已逃往圣王宫，你速前去追杀！	0	0	0	5508	2
5585	0	1	10550501	5505	1666	0	0	[修罗殿]机关-阵营刺探中	(阵营刺探令中接/交有额外奖励)前去破坏修罗殿的城防机关，地点已被我方斥候标记出来，你直接去便可。	0	0	0	5508	2
5585	1	1	10551201	5512	1666	0	0	[天策府]机关-阵营刺探中	(阵营刺探令中接/交有额外奖励)前去破坏天策府的城防机关，地点已被我方斥候标记出来，你直接去便可。	0	0	0	5508	2
5585	2	1	10552501	5525	1666	0	0	[圣王宫]机关-阵营刺探中	(阵营刺探令中接/交有额外奖励)前去破坏圣王宫的城防机关，地点已被我方斥候标记出来，你直接去便可。	0	0	0	5508	2
5586	0	1	10550601	5506	1666	0	0	[修罗殿]信号-阵营刺探中	(阵营刺探令中接/交有额外奖励)若已破坏了城防机关，前去修罗殿城门外，放出信号烟，我们大军便可长驱直入！	0	0	0	5508	2
5586	1	1	10551301	5513	1666	0	0	[天策府]信号-阵营刺探中	(阵营刺探令中接/交有额外奖励)若已破坏了城防机关，前去天策府城门外，放出信号烟，我们大军便可长驱直入！	0	0	0	5508	2
5586	2	1	10552601	5526	1666	0	0	[圣王宫]信号-阵营刺探中	(阵营刺探令中接/交有额外奖励)若已破坏了城防机关，前去圣王宫城门外，放出信号烟，我们大军便可长驱直入！	0	0	0	5508	2
5961	0	1	0	5900	5000	0	0	帮派-打探情报	与帮派主管对话	0	0	0	5900	8
5962	0	1	0	5910	5000	0	0	帮派-清除野怪	清除15名大唐逃兵	0	0	0	5910	9
5962	1	1	0	5911	5000	0	0	帮派-清除野怪	清除15名魔灵	0	0	0	5911	9
5962	2	1	0	5912	5000	0	0	帮派-清除野怪	清除15名魔族暗刺	0	0	0	5912	9
5962	3	1	0	5913	5000	0	0	帮派-清除野怪	清除15名敌军斥候	0	0	0	5913	9
5962	4	1	0	5914	5000	0	0	帮派-清除野怪	清除15名敌军斥候	0	0	0	5914	9
5962	5	1	0	5915	5000	0	0	帮派-清除野怪	清除15名敌军斥候	0	0	0	5915	9
5962	6	1	0	5916	5000	0	0	帮派-清除野怪	击败肆虐妖狼	0	0	0	5916	9
5962	7	1	0	5917	5000	0	0	帮派-清除野怪	击败肆虐妖狼	0	0	0	5917	9
5962	8	1	0	5918	5000	0	0	帮派-清除野怪	击败肆虐妖狼	0	0	0	5918	9
5962	9	1	0	5919	5000	0	0	帮派-清除野怪	击败凶残巨兽	0	0	0	5919	9
5962	10	1	0	5950	5000	0	0	帮派-清除野怪	消灭8个宝岛[翠凝甲虫]	0	0	0	5950	9
5962	11	1	0	5951	5000	0	0	帮派-清除野怪	消灭8个宝岛[单垂耳兔]	0	0	0	5951	9
5962	12	1	0	5952	5000	0	0	帮派-清除野怪	消灭8个宝岛[折伞松鼠]	0	0	0	5952	9
5962	13	1	0	5953	5000	0	0	帮派-清除野怪	消灭8个宝岛[萝卜兔]	0	0	0	5953	9
5962	14	1	0	5954	5000	0	0	帮派-清除野怪	消灭8个宝岛[妖猩猩]	0	0	0	5954	9
5962	15	1	0	5955	5000	0	0	帮派-清除野怪	消灭8个宝岛[金元猪]	0	0	0	5955	9
5963	0	1	0	5920	5000	0	0	帮派-收集材料	收集1块雪谷冰晶	0	0	0	5920	10
5963	1	1	0	5921	5000	0	0	帮派-收集材料	收集1块雪谷冰晶	0	0	0	5921	10
5963	2	1	0	5922	5000	0	0	帮派-收集材料	收集1块雪谷冰晶	0	0	0	5922	10
5963	3	1	0	5923	5000	0	0	帮派-收集材料	收集1块散落的桃晶	0	0	0	5923	10
5963	4	1	0	5924	5000	0	0	帮派-收集材料	收集1块遗失的书籍	0	0	0	5924	10
5963	5	1	0	5925	5000	0	0	帮派-收集材料	收集1块灵草	0	0	0	5925	10
5963	6	1	0	5926	5000	0	0	帮派-收集材料	收集1块龙之魂灵	0	0	0	5926	10
5963	7	1	0	5927	5000	0	0	帮派-收集材料	收集1块上古灵芝	0	0	0	5927	10
5963	8	1	0	5928	5000	0	0	帮派-收集材料	收集1遗落的陶罐	0	0	0	5928	10
5963	9	1	0	5929	5000	0	0	帮派-收集材料	收集1小星燧草	0	0	0	5929	10
5965	0	1	0	5941	5000	0	0	帮派-天材地宝	提交1个[蛟龙麟]	0	0	0	5941	12
5965	1	1	0	5942	5000	0	0	帮派-天材地宝	提交1个[金蚕丝]	0	0	0	5942	12
5965	2	1	0	5943	5000	0	0	帮派-天材地宝	提交1个[夫诸皮]	0	0	0	5943	12
5965	3	1	0	5944	5000	0	0	帮派-天材地宝	提交1个[旋龟甲]	0	0	0	5944	12
5965	4	1	0	5945	5000	0	0	帮派-天材地宝	提交1个[紫金矿]	0	0	0	5945	12
5965	5	1	0	5946	5000	0	0	帮派-天材地宝	提交1个[赤金矿]	0	0	0	5946	12
5965	6	1	0	5947	5000	0	0	帮派-天材地宝	提交1个[青金矿]	0	0	0	5947	12
5965	7	1	0	5948	5000	0	0	帮派-天材地宝	提交1个[白金矿]	0	0	0	5948	12
5964	0	1	0	6000	5000	0	0	帮派-添砖加瓦	上交1个[砖瓦]材料	0	0	0	0	11
4100	0	1	0	4101	5000	0	0	[奇]探索奇遇	天降奇缘，请跟随指引探索奇遇	0	0	0	0	15
4100	1	1	0	4102	5000	0	0	[奇]探索奇遇	天降奇缘，请跟随指引探索奇遇	0	0	0	0	15
4100	2	1	0	4103	5000	0	0	[奇]探索奇遇	天降奇缘，请跟随指引探索奇遇	0	0	0	0	15
4100	3	1	0	4104	5000	0	0	[奇]探索奇遇	天降奇缘，请跟随指引探索奇遇	0	0	0	0	15
4100	4	1	0	4105	5000	0	0	[奇]探索奇遇	天降奇缘，请跟随指引探索奇遇	0	0	0	0	15
4100	5	1	0	4106	5000	0	0	[奇]探索奇遇	天降奇缘，请跟随指引探索奇遇	0	0	0	0	15
4200	0	1	0	4201	5000	0	0	[奇]石壁感悟	天降奇缘，请做出你的选择	0	0	0	0	15
4200	1	1	0	4202	5000	0	0	[奇]天材地宝	天降奇缘，请做出你的选择	0	0	0	0	15
4200	2	1	91000701	4203	5000	0	0	[奇]上古妖兽	天降奇缘，请做出你的选择	0	0	0	0	15
4200	3	1	91000702	4204	5000	0	0	[奇]上古妖兽	天降奇缘，请做出你的选择	0	0	0	0	15
4200	4	1	91000703	4205	5000	0	0	[奇]上古妖兽	天降奇缘，请做出你的选择	0	0	0	0	15
4200	5	1	91000704	4206	5000	0	0	[奇]上古妖兽	天降奇缘，请做出你的选择	0	0	0	0	15
4200	6	1	91000705	4207	5000	0	0	[奇]上古妖兽	天降奇缘，请做出你的选择	0	0	0	0	15
4200	7	1	91000706	4208	5000	0	0	[奇]上古妖兽	天降奇缘，请做出你的选择	0	0	0	0	15
4200	8	1	91000707	4209	5000	0	0	[奇]上古妖兽	天降奇缘，请做出你的选择	0	0	0	0	15
4200	9	1	91000708	4210	5000	0	0	[奇]上古妖兽	天降奇缘，请做出你的选择	0	0	0	0	15
4200	10	1	91000701	4211	5000	0	0	[奇]讨伐妖道	天降奇缘，请做出你的选择	0	0	0	0	15
4200	11	1	91000702	4212	5000	0	0	[奇]讨伐妖道	天降奇缘，请做出你的选择	0	0	0	0	15
4200	12	1	91000703	4213	5000	0	0	[奇]讨伐妖道	天降奇缘，请做出你的选择	0	0	0	0	15
4200	13	1	91000704	4214	5000	0	0	[奇]讨伐妖道	天降奇缘，请做出你的选择	0	0	0	0	15
4200	14	1	91000705	4215	5000	0	0	[奇]讨伐妖道	天降奇缘，请做出你的选择	0	0	0	0	15
4200	15	1	91000706	4216	5000	0	0	[奇]讨伐妖道	天降奇缘，请做出你的选择	0	0	0	0	15
4200	16	1	91000707	4217	5000	0	0	[奇]讨伐妖道	天降奇缘，请做出你的选择	0	0	0	0	15
4200	17	1	91000708	4218	5000	0	0	[奇]讨伐妖道	天降奇缘，请做出你的选择	0	0	0	0	15
4200	18	1	91000701	4219	5000	0	0	[奇]装神弄鬼	天降奇缘，请做出你的选择	0	0	0	0	15
4200	19	1	91000702	4220	5000	0	0	[奇]装神弄鬼	天降奇缘，请做出你的选择	0	0	0	0	15
4200	20	1	91000703	4221	5000	0	0	[奇]装神弄鬼	天降奇缘，请做出你的选择	0	0	0	0	15
4200	21	1	91000704	4222	5000	0	0	[奇]装神弄鬼	天降奇缘，请做出你的选择	0	0	0	0	15
4200	22	1	91000705	4223	5000	0	0	[奇]装神弄鬼	天降奇缘，请做出你的选择	0	0	0	0	15
4200	23	1	91000706	4224	5000	0	0	[奇]装神弄鬼	天降奇缘，请做出你的选择	0	0	0	0	15
4200	24	1	91000707	4225	5000	0	0	[奇]装神弄鬼	天降奇缘，请做出你的选择	0	0	0	0	15
4200	25	1	91000708	4226	5000	0	0	[奇]装神弄鬼	天降奇缘，请做出你的选择	0	0	0	0	15
4200	26	1	0	4227	5000	0	0	[奇]梁上君子	天降奇缘，请做出你的选择	0	0	0	0	15
4200	27	1	91000701	4228	5000	0	0	[奇]天地灵石	天降奇缘，请做出你的选择	0	0	0	0	15
4200	28	1	91000702	4229	5000	0	0	[奇]天地灵石	天降奇缘，请做出你的选择	0	0	0	0	15
4200	29	1	91000703	4230	5000	0	0	[奇]天地灵石	天降奇缘，请做出你的选择	0	0	0	0	15
4200	30	1	91000704	4231	5000	0	0	[奇]天地灵石	天降奇缘，请做出你的选择	0	0	0	0	15
4200	31	1	91000705	4232	5000	0	0	[奇]天地灵石	天降奇缘，请做出你的选择	0	0	0	0	15
4200	32	1	91000706	4233	5000	0	0	[奇]天地灵石	天降奇缘，请做出你的选择	0	0	0	0	15
4200	33	1	91000707	4234	5000	0	0	[奇]天地灵石	天降奇缘，请做出你的选择	0	0	0	0	15
4200	34	1	91000708	4235	5000	0	0	[奇]天地灵石	天降奇缘，请做出你的选择	0	0	0	0	15
4200	35	1	91000701	4236	5000	0	0	[奇]玄铁之精	天降奇缘，请做出你的选择	0	0	0	0	15
4200	36	1	91000702	4237	5000	0	0	[奇]玄铁之精	天降奇缘，请做出你的选择	0	0	0	0	15
4200	37	1	91000703	4238	5000	0	0	[奇]玄铁之精	天降奇缘，请做出你的选择	0	0	0	0	15
4200	38	1	91000704	4239	5000	0	0	[奇]玄铁之精	天降奇缘，请做出你的选择	0	0	0	0	15
4200	39	1	91000705	4240	5000	0	0	[奇]玄铁之精	天降奇缘，请做出你的选择	0	0	0	0	15
4200	40	1	91000706	4241	5000	0	0	[奇]玄铁之精	天降奇缘，请做出你的选择	0	0	0	0	15
4200	41	1	91000707	4242	5000	0	0	[奇]玄铁之精	天降奇缘，请做出你的选择	0	0	0	0	15
4200	42	1	91000708	4243	5000	0	0	[奇]玄铁之精	天降奇缘，请做出你的选择	0	0	0	0	15
4200	43	1	91000701	4244	5000	0	0	[奇]鬼话连篇	天降奇缘，请做出你的选择	0	0	0	0	15
4200	44	1	91000702	4245	5000	0	0	[奇]鬼话连篇	天降奇缘，请做出你的选择	0	0	0	0	15
4200	45	1	91000703	4246	5000	0	0	[奇]鬼话连篇	天降奇缘，请做出你的选择	0	0	0	0	15
4200	46	1	91000704	4247	5000	0	0	[奇]鬼话连篇	天降奇缘，请做出你的选择	0	0	0	0	15
4200	47	1	91000705	4248	5000	0	0	[奇]鬼话连篇	天降奇缘，请做出你的选择	0	0	0	0	15
4200	48	1	91000706	4249	5000	0	0	[奇]鬼话连篇	天降奇缘，请做出你的选择	0	0	0	0	15
4200	49	1	91000707	4250	5000	0	0	[奇]鬼话连篇	天降奇缘，请做出你的选择	0	0	0	0	15
4200	50	1	91000708	4251	5000	0	0	[奇]鬼话连篇	天降奇缘，请做出你的选择	0	0	0	0	15
4200	51	1	91000701	4252	5000	0	0	[奇]上古宝书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	52	1	91000702	4253	5000	0	0	[奇]上古宝书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	53	1	91000703	4254	5000	0	0	[奇]上古宝书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	54	1	91000704	4255	5000	0	0	[奇]上古宝书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	55	1	91000705	4256	5000	0	0	[奇]上古宝书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	56	1	91000706	4257	5000	0	0	[奇]上古宝书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	57	1	91000707	4258	5000	0	0	[奇]上古宝书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	58	1	91000708	4259	5000	0	0	[奇]上古宝书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	59	1	91000701	4260	5000	0	0	[奇]旷世奇兵	天降奇缘，请做出你的选择	0	0	0	0	15
4200	60	1	91000702	4261	5000	0	0	[奇]旷世奇兵	天降奇缘，请做出你的选择	0	0	0	0	15
4200	61	1	91000703	4262	5000	0	0	[奇]旷世奇兵	天降奇缘，请做出你的选择	0	0	0	0	15
4200	62	1	91000704	4263	5000	0	0	[奇]旷世奇兵	天降奇缘，请做出你的选择	0	0	0	0	15
4200	63	1	91000705	4264	5000	0	0	[奇]旷世奇兵	天降奇缘，请做出你的选择	0	0	0	0	15
4200	64	1	91000706	4265	5000	0	0	[奇]旷世奇兵	天降奇缘，请做出你的选择	0	0	0	0	15
4200	65	1	91000707	4266	5000	0	0	[奇]旷世奇兵	天降奇缘，请做出你的选择	0	0	0	0	15
4200	66	1	91000708	4267	5000	0	0	[奇]旷世奇兵	天降奇缘，请做出你的选择	0	0	0	0	15
4200	67	1	91000701	4268	5000	0	0	[奇]喵喵拳师	天降奇缘，请做出你的选择	0	0	0	0	15
4200	68	1	91000702	4269	5000	0	0	[奇]喵喵拳师	天降奇缘，请做出你的选择	0	0	0	0	15
4200	69	1	91000703	4270	5000	0	0	[奇]喵喵拳师	天降奇缘，请做出你的选择	0	0	0	0	15
4200	70	1	91000704	4271	5000	0	0	[奇]喵喵拳师	天降奇缘，请做出你的选择	0	0	0	0	15
4200	71	1	91000705	4272	5000	0	0	[奇]喵喵拳师	天降奇缘，请做出你的选择	0	0	0	0	15
4200	72	1	91000706	4273	5000	0	0	[奇]喵喵拳师	天降奇缘，请做出你的选择	0	0	0	0	15
4200	73	1	91000707	4274	5000	0	0	[奇]喵喵拳师	天降奇缘，请做出你的选择	0	0	0	0	15
4200	74	1	91000708	4275	5000	0	0	[奇]喵喵拳师	天降奇缘，请做出你的选择	0	0	0	0	15
4200	75	1	91000701	4276	5000	0	0	[奇]有字天书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	76	1	91000702	4277	5000	0	0	[奇]有字天书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	77	1	91000703	4278	5000	0	0	[奇]有字天书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	78	1	91000704	4279	5000	0	0	[奇]有字天书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	79	1	91000705	4280	5000	0	0	[奇]有字天书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	80	1	91000706	4281	5000	0	0	[奇]有字天书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	81	1	91000707	4282	5000	0	0	[奇]有字天书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	82	1	91000708	4283	5000	0	0	[奇]有字天书	天降奇缘，请做出你的选择	0	0	0	0	15
4200	83	1	91000701	4284	5000	0	0	[奇]诡异童谣	天降奇缘，请做出你的选择	0	0	0	0	15
4200	84	1	91000702	4285	5000	0	0	[奇]诡异童谣	天降奇缘，请做出你的选择	0	0	0	0	15
4200	85	1	91000703	4286	5000	0	0	[奇]诡异童谣	天降奇缘，请做出你的选择	0	0	0	0	15
4200	86	1	91000704	4287	5000	0	0	[奇]诡异童谣	天降奇缘，请做出你的选择	0	0	0	0	15
4200	87	1	91000705	4288	5000	0	0	[奇]诡异童谣	天降奇缘，请做出你的选择	0	0	0	0	15
4200	88	1	91000706	4289	5000	0	0	[奇]诡异童谣	天降奇缘，请做出你的选择	0	0	0	0	15
4200	89	1	91000707	4290	5000	0	0	[奇]诡异童谣	天降奇缘，请做出你的选择	0	0	0	0	15
4200	90	1	91000708	4291	5000	0	0	[奇]诡异童谣	天降奇缘，请做出你的选择	0	0	0	0	15
4200	91	1	91000701	4292	5000	0	0	[奇]狂神铠甲	天降奇缘，请做出你的选择	0	0	0	0	15
4200	92	1	91000702	4293	5000	0	0	[奇]狂神铠甲	天降奇缘，请做出你的选择	0	0	0	0	15
4200	93	1	91000703	4294	5000	0	0	[奇]狂神铠甲	天降奇缘，请做出你的选择	0	0	0	0	15
4200	94	1	91000704	4295	5000	0	0	[奇]狂神铠甲	天降奇缘，请做出你的选择	0	0	0	0	15
4200	95	1	91000705	4296	5000	0	0	[奇]狂神铠甲	天降奇缘，请做出你的选择	0	0	0	0	15
4200	96	1	91000706	4297	5000	0	0	[奇]狂神铠甲	天降奇缘，请做出你的选择	0	0	0	0	15
4200	97	1	91000707	4298	5000	0	0	[奇]狂神铠甲	天降奇缘，请做出你的选择	0	0	0	0	15
4200	98	1	91000708	4299	5000	0	0	[奇]狂神铠甲	天降奇缘，请做出你的选择	0	0	0	0	15
4300	0	1	0	4300	5000	0	0	[奇]楚氏奇人	天降奇缘，请做出你的选择	0	0	0	0	15
4300	1	1	0	4301	5000	0	0	[奇]时空虫洞	天降奇缘，请做出你的选择	0	0	0	0	15
4300	2	1	91000701	4302	5000	0	0	[奇]别有洞天	天降奇缘，请做出你的选择	0	0	0	0	15
4300	3	1	91000702	4303	5000	0	0	[奇]别有洞天	天降奇缘，请做出你的选择	0	0	0	0	15
4300	4	1	91000703	4304	5000	0	0	[奇]别有洞天	天降奇缘，请做出你的选择	0	0	0	0	15
4300	5	1	91000704	4305	5000	0	0	[奇]别有洞天	天降奇缘，请做出你的选择	0	0	0	0	15
4300	6	1	91000705	4306	5000	0	0	[奇]别有洞天	天降奇缘，请做出你的选择	0	0	0	0	15
4300	7	1	91000706	4307	5000	0	0	[奇]别有洞天	天降奇缘，请做出你的选择	0	0	0	0	15
4300	8	1	91000707	4308	5000	0	0	[奇]别有洞天	天降奇缘，请做出你的选择	0	0	0	0	15
4300	9	1	91000708	4309	5000	0	0	[奇]别有洞天	天降奇缘，请做出你的选择	0	0	0	0	15
4300	10	1	91000701	4310	5000	0	0	[奇]开路建桥	天降奇缘，请做出你的选择	0	0	0	0	15
4300	11	1	91000702	4311	5000	0	0	[奇]开路建桥	天降奇缘，请做出你的选择	0	0	0	0	15
4300	12	1	91000703	4312	5000	0	0	[奇]开路建桥	天降奇缘，请做出你的选择	0	0	0	0	15
4300	13	1	91000704	4313	5000	0	0	[奇]开路建桥	天降奇缘，请做出你的选择	0	0	0	0	15
4300	14	1	91000705	4314	5000	0	0	[奇]开路建桥	天降奇缘，请做出你的选择	0	0	0	0	15
