队伍目标类型	有效值	目标地图ID	队伍最大人数	状态限制	消耗ID	时间限制ID	队长消耗ID	是否可匹配	好友度在开启前加还是后加（0开启，1副本结束）	这个队伍目标增加的好友度（100点对应客户端1点）	是否需要同阵营	玩家这个副本的助战礼包的奖励次数限制ID	备注
aim_cfg	0	map_id	max_team_num	state_limit_id	consume_id	time_limit_id	leader_consume_id	if_can_wait_compare		relation_value	if_need_same_camp	role_help_gift_restrict	0
0	1	0	5	0	0	0	0	0	0	0	0	0	无目标/挂机
13901	1	3401	5	20340101	30205	0	0	1	1	1500	0	141	鬼王陵
13902	1	3402	5	20340201	30205	0	0	1	1	1500	0	141	鬼王陵
13903	1	3403	5	20340301	30205	0	0	1	1	1500	0	141	鬼王陵
13904	1	3404	5	20340401	30205	0	0	1	1	1500	0	141	鬼王陵
13905	1	3405	5	20340501	30205	0	0	1	1	1500	0	141	鬼王陵
13906	1	3406	5	20340601	30205	0	0	1	1	1500	0	141	鬼王陵
13907	1	3407	5	20340701	30205	0	0	1	1	1500	0	141	鬼王陵
13908	1	3408	5	20340801	30205	0	0	1	1	1500	0	141	鬼王陵
13909	1	3409	5	20340901	30205	0	0	1	1	1500	0	141	鬼王陵
13910	1	3410	5	20341001	30205	0	0	1	1	1500	0	141	鬼王陵
20701	1	3011	5	20301101	30201	0	0	1	1	1500	0	139	归墟
20702	1	3012	5	20301201	30201	0	0	1	1	1500	0	139	归墟
20703	1	3013	5	20301301	30201	0	0	1	1	1500	0	139	归墟
20704	1	3014	5	20301401	30201	0	0	1	1	1500	0	139	归墟
20705	1	3015	5	20301501	30201	0	0	1	1	1500	0	139	归墟
20706	1	3016	5	20301601	30201	0	0	1	1	1500	0	139	归墟
20707	1	3017	5	20301701	30201	0	0	1	1	1500	0	139	归墟
20708	1	3018	5	20301801	30201	0	0	1	1	1500	0	139	归墟
20709	1	3019	5	20301901	30201	0	0	1	1	1500	0	139	归墟
20710	1	3020	5	20302001	30201	0	0	1	1	1500	0	139	归墟
32701	1	3101	5	20310101	30204	0	0	1	1	1500	0	140	秘境
32702	1	3102	5	20310201	30204	0	0	1	1	1500	0	140	秘境
32703	1	3103	5	20310301	30204	0	0	1	1	1500	0	140	秘境
32704	1	3104	5	20310401	30204	0	0	1	1	1500	0	140	秘境
32705	1	3105	5	20310501	30204	0	0	1	1	1500	0	140	秘境
32706	1	3106	5	20310601	30204	0	0	1	1	1500	0	140	秘境
32707	1	3107	5	20310701	30204	0	0	1	1	1500	0	140	秘境
32708	1	3108	5	20310801	30204	0	0	1	1	1500	0	140	秘境
32709	1	3109	5	20310901	30204	0	0	1	1	1500	0	140	秘境
32710	1	3110	5	20311001	30204	0	0	1	1	1500	0	140	秘境
44301	1	3501	5	20430102	0	0	0	1	1	2000	0	0	世界材料
52301	1	7100	5	0	0	0	0	1	1	2000	0	0	驱逐年兽
52302	1	7101	5	0	0	0	0	1	1	2000	0	0	驱逐年兽
52303	1	7102	5	0	0	0	0	1	1	2000	0	0	驱逐年兽
52304	1	7103	5	0	0	0	0	1	1	2000	0	0	驱逐年兽
52305	1	7104	5	0	0	0	0	1	1	2000	0	0	驱逐年兽
52306	1	7105	5	0	0	0	0	1	1	2000	0	0	驱逐年兽
52307	1	7106	5	0	0	0	0	1	1	2000	0	0	驱逐年兽
60801	1	3201	5	20320101	31102	0	30301	0	1	2000	0	0	驭灵墓-经验
60802	1	3202	5	20320201	31110	0	30304	0	1	2000	0	0	驭灵墓-晶石
60803	1	3204	5	20320302	31111	0	30305	0	1	2000	0	0	驭灵墓-灵元
74001	1	13	2	20001301	0	0	0	0	0	2000	0	0	赏花
74401	1	3601	5	0	0	0	0	0	1	2000	0	0	三九雷劫
74402	1	3602	5	0	0	0	0	0	1	2000	0	0	三九雷劫
74403	1	3603	5	0	0	0	0	0	1	2000	0	0	三九雷劫
74404	1	3604	5	0	0	0	0	0	1	2000	0	0	三九雷劫
74405	1	3605	5	0	0	0	0	0	1	2000	0	0	三九雷劫
74406	1	3606	5	0	0	0	0	0	1	2000	0	0	三九雷劫
74407	1	3607	5	0	0	0	0	0	1	2000	0	0	三九雷劫
74408	1	3608	5	0	0	0	0	0	1	2000	0	0	三九雷劫
74409	1	3609	5	0	0	0	0	0	1	2000	0	0	三九雷劫
75101	1	21	5	90001097	0	0	0	0	0	0	1	0	野外修炼
75102	1	22	5	90001098	0	0	0	0	0	0	1	0	野外修炼
75103	1	23	5	90001099	0	0	0	0	0	0	1	0	野外修炼
75201	1	3910	2	41000002	30701	0	0	0	1	2000	1	0	夫妻双修
75202	1	3911	2	41000004	30702	0	0	0	1	2000	1	0	夫妻踏浪
