1位类型(0特殊，1活动，2运营，3任务，4由活动ID控制的动营活动（id暂定不能超过200个，定之前与vic沟通），8000000~8999999为科技周天限制，9000000~9999999为开服时间限制)+4位参数+2位流水，type_id	有效标志位	serial(与或关系，0或1与)	time_type（副键）	周限制位域(2进制位域，第一位是星期天)week_limit_begin	周限制止（暂无用）week_limit_end	月限制起（科技运转周天：限制科技几开始）month_limit_begin	月限制止（科技运转周天：限制科技几结束）month_limit_end	日限制起，开服：距离开服时间多少天起（开服当天算第0天）（科技运转周天：限制科技几运转第几天开始）day_limit_begin	日限制止，开服：距离开服时间多少天止（开服当天算第0天）（科技运转周天：限制科技几运转第几天结束）day_limit_end	秒限制起，开服：每日的秒限制起second_limit_begin	秒限制止，开服：每日的秒限制止second_limit_end	描述文本，这个是无用字段，无论什么时候放在最后面就行了	映射活动IDrelated_xl_activity_id	"开服天数限制起(开服当天为第1天,填0则此限制无效），24小时过天"	开服天数限制止	世界科技下限	世界科技上限	大区活动错开（0不错开，1代表大区ID%2==0，2代表大区ID%2==1）暂时先错开巨兽和观碑	映射活动状态（填1表示开启，填0表示屏蔽）	阶段1起始时间	阶段1结束时间	阶段2起始时间	阶段2结束时间	阶段3起始时间	阶段3结束时间	阶段4起始时间	阶段4结束时间	阶段5起始时间	阶段5结束时间	映射活动客户端专用(改这个要txt打开)IDrelated_xl_activity_id_client
[S][C]time_type	0	[C][S]serial	[C][S]second_id	[C][S]week_limit_begin	[C][S]week_limit_end	[C][S]month_limit_begin	[C][S]month_limit_end	[C][S]day_limit_begin	[C][S]day_limit_end	[C][S]second_limit_begin	[C][S]second_limit_end	0	[C][S]related_xl_activity_id	[S][C]min_start_svr_day_	[S][C]max_start_svr_day_	[S][C]world_lvl_low	[S][C]world_lvl_high	[S][C]serverLimit	[S][C]open_mode	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[C]related_xl_activity_id_client
1000101	1	0	1	1111111	0	0	0	0	0	73200	73680	周园精英刷新	0	0	9999	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0
1000101	1	0	2	1111111	0	0	0	0	0	74400	74880	周园精英刷新	0	0	9999	0	10	2	1	0	0	0	0	0	0	0	0	0	0	0
1000102	1	0	1	1111111	0	0	0	0	0	73200	74400	周园BOSS刷新活动开启	0	0	9999	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0
1000102	1	0	2	1111111	0	0	0	0	0	74400	75600	周园BOSS刷新活动开启	0	0	9999	0	10	2	1	0	0	0	0	0	0	0	0	0	0	0
1000103	1	0	1	1111111	0	0	0	0	0	73680	74280	周园BOSS刷新	0	0	9999	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0
1000103	1	0	2	1111111	0	0	0	0	0	74880	75480	周园BOSS刷新	0	0	9999	0	10	2	1	0	0	0	0	0	0	0	0	0	0	0
1000104	1	0	1	1111111	0	0	0	0	0	73980	74400	新周园大BOSS刷新	0	0	9999	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0
1000104	1	0	2	1111111	0	0	0	0	0	75180	75600	新周园大BOSS刷新	0	0	9999	0	10	2	1	0	0	0	0	0	0	0	0	0	0	0
1000105	1	0	1	1111111	0	0	0	0	0	74340	74400	新周园BOSS广播	0	0	9999	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0
1000105	1	0	2	1111111	0	0	0	0	0	75540	75600	新周园BOSS广播	0	0	9999	0	10	2	1	0	0	0	0	0	0	0	0	0	0	0
1000106	1	0	1	1111111	0	0	0	0	0	73980	74400	周园BOSS.debuff撤销时间	0	0	9999	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0
1000106	1	0	2	1111111	0	0	0	0	0	75180	75600	周园BOSS.debuff撤销时间	0	0	9999	0	10	2	1	0	0	0	0	0	0	0	0	0	0	0
1000201	1	0	1	1111111	0	0	0	0	0	76800	79200	（武比）控制活动时间的时间限制ID	85	1	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000201	1	0	2	1111111	0	0	0	0	0	76800	79200	（武比）控制活动时间的时间限制ID	85	3	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000201	1	0	3	1010000	0	0	0	0	0	76800	79200	（武比）控制活动时间的时间限制ID	85	5	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000202	1	0	1	1010000	0	0	0	0	0	0	86400	（武比）每日必做的显示时间限制	85	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000203	1	0	1	1010000	0	0	0	0	0	76800	79200	（武比）准备阶段篝火时间	85	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000204	1	0	1	1010	0	0	0	0	0	76800	79200	（仙侣PK）准备阶段篝火时间	94	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000301	1	0	1	10101	0	0	0	0	0	50400	52200	五人战场每日进入限制	87	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000301	1	0	2	10101	0	0	0	0	0	61200	63000	五人战场每日进入限制	87	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000301	1	0	3	1101010	0	0	0	0	0	1800	3600	五人战场每日进入限制	87	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000311	1	0	1	10101	0	0	0	0	0	0	86400	五人战场每日必做	87	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000321	1	0	1	10101	0	0	0	0	0	50400	52200	五人战场每日进入限制（韩国）	26	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1000321	1	0	2	10101	0	0	0	0	0	61200	63000	五人战场每日进入限制（韩国）	26	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1000321	1	0	3	10101	0	0	0	0	0	1800	3600	五人战场每日进入限制（韩国）	26	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1000302	1	0	1	1101010	0	0	0	0	0	50400	52200	夺宝奇兵每日进入限制	88	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1000302	1	0	2	1101010	0	0	0	0	0	61200	63000	夺宝奇兵每日进入限制	88	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
