传送ID	有效值	速度	地图ID	X坐标	Y坐标	地图ID	X坐标	Y坐标	地图ID	X坐标	Y坐标	传送类型	限制类型	限制数据	无	无	无	无	检测状态	备注
1001	1	50	10	5098	6925	10	5098	6925	10	5098	6925	1	0	0	0	0	0	0	0	无
1002	1	50	10	7142	5942	10	7142	5942	10	7142	5942	1	0	0	0	0	0	0	0	副本正常回跳点
1101	1	50	11	1637	2466	11	1637	2466	11	1637	2466	1	0	0	0	0	0	0	0	无
1301	1	50	13	404.73	30.714	13	404.73	30.714	13	404.73	30.714	1	0	0	0	0	0	0	0	无
1401	1	50	14	1959	2309	14	1959	2309	14	1959	2309	1	0	0	0	0	0	0	0	新手村异常回跳点
2101	1	50	21	838	1389	22	838	1389	23	838	1389	1	0	0	0	0	0	0	0	无
2201	1	50	21	838	1389	22	838	1389	23	838	1389	1	0	0	0	0	0	0	0	无
2301	1	50	21	838	1389	22	838	1389	23	838	1389	1	0	0	0	0	0	0	0	无
3001	1	50	30	1851	2399	30	2888	4321	30	3999	2414	1	0	0	0	0	0	0	0	天策领地过来
3002	1	50	30	2450	2681	30	3253	4153	30	4146	2671	1	0	0	0	0	0	0	0	圣王领地过来
3003	1	50	30	2450	2681	30	3253	4153	30	4146	2671	1	0	0	0	0	0	0	0	修罗领地过来
3004	1	50	30	2193	2747	30	2193	2747	30	2193	2747	1	0	0	0	0	0	0	0	天策秘道出来
3005	1	50	30	3174	3856	30	3174	3856	30	3174	3856	1	0	0	0	0	0	0	0	圣王秘道出来
3006	1	50	30	3561	2470	30	3561	2470	30	3561	2470	1	0	0	0	0	0	0	0	修罗秘道出来
3007	1	50	30	5068	4009	30	5068	4009	30	5068	4009	1	0	0	0	0	0	0	0	天策潜入秘道
3008	1	50	30	5582	4910	30	5582	4910	30	5582	4910	1	0	0	0	0	0	0	0	圣王潜入秘道
3009	1	50	30	6153	3991	30	6153	3991	30	6153	3991	1	0	0	0	0	0	0	0	修罗潜入秘道
11101	1	50	111	1637	2466	111	1637	2466	111	1637	2466	1	0	0	0	0	0	0	0	无
11301	1	50	113	4030	1899	113	4030	1899	113	4030	1899	1	0	0	0	0	0	0	0	备用圣王阵营的三合殿跳转（已删除）
11401	1	50	114	1959	2309	114	1959	2309	114	1959	2309	1	0	0	0	0	0	0	0	新手村异常回跳点
21101	1	50	211	1637	2466	211	1637	2466	211	1637	2466	1	0	0	0	0	0	0	0	无
21301	1	50	213	4030	1899	213	4030	1899	213	4030	1899	1	0	0	0	0	0	0	0	备用修罗阵营的三合殿跳转（已删除）
21401	1	50	214	1959	2309	214	1959	2309	214	1959	2309	1	0	0	0	0	0	0	0	新手村异常回跳点
30101	1	50	301	4132	5114	301	4132	5114	301	4132	5114	1	0	0	0	0	0	0	0	无
30102	1	50	301	4241	5172	302	4241	5172	303	4241	5172	1	0	0	0	0	0	0	0	无
30103	1	50	301	4252	5144	302	4252	5144	303	4252	5144	1	0	0	0	0	0	0	0	无
30104	1	50	301	4251	5110	302	4251	5110	303	4251	5110	1	0	0	0	0	0	0	0	无
30105	1	50	301	4246	5077	302	4246	5077	303	4246	5077	1	0	0	0	0	0	0	0	无
30201	1	50	302	4132	5114	302	4132	5114	302	4132	5114	1	0	0	0	0	0	0	0	无
30301	1	50	303	4132	5114	303	4132	5114	303	4132	5114	1	0	0	0	0	0	0	0	无
30401	1	50	304	23124	19969	304	25782	19967	304	24461	21535	1	0	0	0	0	0	0	0	无
30402	1	50	304	29511	20396	304	29511	20396	304	29511	20396	1	0	0	0	0	0	0	0	无
30501	1	50	305	792	289	305	457	624	305	792	953	1	0	0	0	0	0	0	0	无
30502	1	50	305	791	623	305	791	623	305	791	623	1	0	0	0	0	0	0	0	无
330101	1	50	3031	926	605	3031	926	605	3031	926	605	1	0	0	0	0	0	0	0	无
301101	1	50	3011	3711	2168	3011	3711	2168	3011	3711	2168	1	0	0	0	0	0	0	0	无
301201	1	50	3012	559	1355	3012	559	1355	3012	559	1355	1	0	0	0	0	0	0	0	无
301301	1	50	3013	2902	2110	3013	2902	2110	3013	2902	2110	1	0	0	0	0	0	0	0	无
301401	1	50	3014	582	603	3014	582	603	3014	582	603	1	0	0	0	0	0	0	0	无
301501	1	50	3015	3711	2168	3015	3711	2168	3015	3711	2168	1	0	0	0	0	0	0	0	无
301601	1	50	3016	559	1355	3016	559	1355	3016	559	1355	1	0	0	0	0	0	0	0	无
301701	1	50	3017	2902	2110	3017	2902	2110	3017	2902	2110	1	0	0	0	0	0	0	0	无
301801	1	50	3018	582	603	3018	582	603	3018	582	603	1	0	0	0	0	0	0	0	无
301901	1	50	3019	3711	2168	3019	3711	2168	3019	3711	2168	1	0	0	0	0	0	0	0	无
310101	1	50	3101	2357	2387	3101	2357	2387	3101	2357	2387	1	0	0	0	0	0	0	0	无
310201	1	50	3102	1793	1219	3102	1793	1219	3102	1793	1219	1	0	0	0	0	0	0	0	无
310301	1	50	3103	3435	1065	3103	3435	1065	3103	3435	1065	1	0	0	0	0	0	0	0	无
310401	1	50	3104	1016	2263	3104	1016	2263	3104	1016	2263	1	0	0	0	0	0	0	0	无
310501	1	50	3105	2357	2387	3105	2357	2387	3105	2357	2387	1	0	0	0	0	0	0	0	无
310601	1	50	3106	2357	2387	3106	2357	2387	3106	2357	2387	1	0	0	0	0	0	0	0	无
310701	1	50	3107	2357	2387	3107	2357	2387	3107	2357	2387	1	0	0	0	0	0	0	0	无
310801	1	50	3108	2357	2387	3108	2357	2387	3108	2357	2387	1	0	0	0	0	0	0	0	无
320101	1	50	3201	3176	751	3201	3176	751	3201	3176	751	1	0	0	0	0	0	0	0	无
320201	1	50	3202	792	817	3202	792	817	3202	792	817	1	0	0	0	0	0	0	0	无
320301	1	50	3203	602	765	3203	602	765	3203	602	765	1	0	0	0	0	0	0	0	无
320401	1	50	3204	602	765	3204	602	765	3204	602	765	1	0	0	0	0	0	0	0	无
340101	1	50	3401	3702	1246	3401	3702	1246	3401	3702	1246	1	0	0	0	0	0	0	0	无
340201	1	50	3402	3702	1246	3402	3702	1246	3402	3702	1246	1	0	0	0	0	0	0	0	无
340301	1	50	3403	3702	1246	3403	3702	1246	3403	3702	1246	1	0	0	0	0	0	0	0	无
340401	1	50	3404	3702	1246	3404	3702	1246	3404	3702	1246	1	0	0	0	0	0	0	0	无
340501	1	50	3405	3702	1246	3405	3702	1246	3405	3702	1246	1	0	0	0	0	0	0	0	无
340601	1	50	3406	3702	1246	3406	3702	1246	3406	3702	1246	1	0	0	0	0	0	0	0	无
340701	1	50	3407	3702	1246	3407	3702	1246	3407	3702	1246	1	0	0	0	0	0	0	0	无
340801	1	50	3408	3702	1246	3408	3702	1246	3408	3702	1246	1	0	0	0	0	0	0	0	无
350101	1	50	3501	575	794	3501	575	794	3501	575	794	1	0	0	0	0	0	0	0	无
360101	1	50	3601	707	616	3601	707	616	3601	707	616	1	0	0	0	0	0	0	0	无
360201	1	50	3602	707	616	3602	707	616	3602	707	616	1	0	0	0	0	0	0	0	无
360301	1	50	3603	707	616	3603	707	616	3603	707	616	1	0	0	0	0	0	0	0	无
360401	1	50	3604	707	616	3604	707	616	3604	707	616	1	0	0	0	0	0	0	0	无
360501	1	50	3605	707	616	3605	707	616	3605	707	616	1	0	0	0	0	0	0	0	无
360601	1	50	3606	707	616	3606	707	616	3606	707	616	1	0	0	0	0	0	0	0	无
360701	1	50	3607	707	616	3607	707	616	3607	707	616	1	0	0	0	0	0	0	0	无
390101	1	50	3901	413	905	3901	413	905	3901	413	905	1	0	0	0	0	0	0	0	无
391001	1	50	3910	1143	1000	3910	1143	1000	3910	1143	1000	1	0	0	0	0	0	0	0	无
391002	1	50	3910	1269	1000	3910	1269	1000	3910	1269	1000	1	0	0	0	0	0	0	0	无
391101	1	50	3911	1242	1967	3910	1242	1967	3910	1242	1967	1	0	0	0	0	0	0	0	无
392001	1	50	3920	434	593	3920	434	593	3920	434	593	1	0	0	0	0	0	0	0	无
393001	1	50	3930	1046	2037	3930	1046	2037	3930	1046	2037	1	0	0	0	0	0	0	0	师徒副本进入点
393101	1	50	3931	1046	2037	3931	1046	2037	3931	1046	2037	1	0	0	0	0	0	0	0	师徒副本进入点
393201	1	50	3932	1046	2037	3932	1046	2037	3932	1046	2037	1	0	0	0	0	0	0	0	师徒副本进入点
393301	1	50	3933	1046	2037	3933	1046	2037	3933	1046	2037	1	0	0	0	0	0	0	0	师徒副本进入点
393401	1	50	3934	1046	2037	3934	1046	2037	3934	1046	2037	1	0	0	0	0	0	0	0	师徒副本进入点
393501	1	50	3935	1046	2037	3935	1046	2037	3935	1046	2037	1	0	0	0	0	0	0	0	师徒副本进入点
393601	1	50	3936	1046	2037	3936	1046	2037	3936	1046	2037	1	0	0	0	0	0	0	0	师徒副本进入点
393701	1	50	3937	1046	2037	3937	1046	2037	3937	1046	2037	1	0	0	0	0	0	0	0	师徒副本进入点
