VIP等级	有效标志	所需积分	礼包reward_id	礼包原价	礼包折扣价	礼包购买次数限制id	提升VIP触发广播	VIP礼包购买限制	主预览ID（对应商城的预览表，整体缩放根据这个预览ID里的来）	额外预览ID1	额外预览ID2	额外预览ID3	特权说明（需要支持颜色、换行、超链接）
[K][C][S]Lvl	[S]Valid	[C][S]NeedPoint	[C][S]RewardId	[C][S]OldPrice	[C][S]NewPrice	[C][S]RewardLimitId	[C][S]common_notice_id	[C][S]charState	[C][S]previewItemId	[C][S]addViewID1	[C][S]addViewID2	[C][S]addViewID3	[C][S]PrivilegeDesc
0	1	0	40509000	150	0	369	0	90000507	0	0	0	0	\n开启经文任务<color=#7900ff>直接完成</color>功能\n开启宝石<color=#7900ff>元宝升级</color>功能\n开启灵宠<color=#7900ff>元宝培养</color>功能\n每天能通过摇钱树付费<color=#7900ff>摇宝20次</color>\n每日可元宝快速完成诵读<color=#7900ff>3</color>次
1	1	300	40509001	290	50	380	0	0	0	0	0	0	\n开启白银转盘<color=#7900ff>重抽</color>功能\n开启青铜转盘<color=#7900ff>重抽</color>功能\n开启归墟奖励<color=#7900ff>元宝刷新</color>功能\n开启<color=#7900ff>每日礼包</color>购买资格\n每天能通过摇钱树付费<color=#7900ff>摇宝30次</color>
2	1	1500	40509002	450	150	381	0	0	0	0	0	0	\n每天能通过摇钱树付费<color=#7900ff>摇宝40次</color>\n每日可购买白银钥匙<color=#7900ff>4</color>次\n每日公共地图可原地复活<color=#7900ff>8</color>次\n每日可使用竞技丹<color=#7900ff>2</color>次
3	1	3500	40509003	960	300	382	10005003	0	320400301	0	0	0	\n每天能通过摇钱树付费<color=#7900ff>摇宝50次</color>\n每日可购买白银钥匙<color=#7900ff>5</color>次\n每日可元宝获得经文任务<color=#7900ff>10</color>次\n每日可元宝快速完成诵读<color=#7900ff>10</color>次
4	1	7000	40509004	1500	600	383	10005004	0	320600200	0	0	0	\n每日可帮派捐献<color=#7900ff>20</color>次\n每天能通过摇钱树付费<color=#7900ff>摇宝70次</color>\n每日可购买白银钥匙<color=#7900ff>6</color>次\n每日公共地图可原地复活<color=#7900ff>12</color>次\n
5	1	15000	40509005	1500	800	384	10005005	0	320500401	0	0	0	\n上古遗迹每日进入次数<color=#7900ff>+1</color>\n每天能通过摇钱树付费<color=#7900ff>摇宝80次</color>\n每日可购买白银钥匙<color=#7900ff>7</color>次\n
6	1	30000	40509006	2900	1500	385	10005006	0	320600300	0	0	0	\n每天能通过摇钱树付费<color=#7900ff>摇宝100次</color>\n每日可购买白银钥匙<color=#7900ff>8</color>次\n每日公共地图可原地复活<color=#7900ff>15</color>次
7	1	50000	40509007	5500	3000	386	10005007	0	320400201	0	0	0	\n每天能通过摇钱树付费<color=#7900ff>摇宝110次</color>\n每日可购买白银钥匙<color=#7900ff>9</color>次\n每日可元宝获得经文任务<color=#7900ff>15</color>次\n每日可元宝快速完成诵读<color=#7900ff>20</color>次
8	1	75000	40509008	9900	5000	387	10005008	0	410540009	0	0	0	\n每日可帮派捐献<color=#7900ff>25</color>次\n每天能通过摇钱树付费<color=#7900ff>摇宝120次</color>\n每日可购买白银钥匙<color=#7900ff>10</color>次\n每日公共地图可原地复活<color=#7900ff>20</color>次\n
9	1	150000	40509009	11000	6000	388	10005009	0	320500301	0	0	0	\n每天能通过摇钱树付费<color=#7900ff>摇宝140次</color>\n每日可购买白银钥匙<color=#7900ff>11</color>次\n
10	1	300000	40509010	22000	12000	389	10005010	0	410560007	0	0	0	\n每天能通过摇钱树付费<color=#7900ff>摇宝150次</color>\n每日可购买白银钥匙<color=#7900ff>12</color>次\n每日公共地图可原地复活<color=#7900ff>30</color>次\n每日可使用竞技丹<color=#7900ff>5</color>次
11	1	500000	40509011	27000	15000	370	10005011	0	0	0	0	0	\n每天能通过摇钱树付费<color=#7900ff>摇宝160次</color>\n每日可购买白银钥匙<color=#7900ff>13</color>次\n每日可元宝获得经文任务<color=#7900ff>20</color>次\n每日可元宝快速完成诵读<color=#7900ff>30</color>次
12	1	750000	40509012	51000	30000	371	10005012	0	0	0	0	0	\n每日可帮派捐献<color=#7900ff>30</color>次\n每天能通过摇钱树付费<color=#7900ff>摇宝180次</color>\n每日可购买白银钥匙<color=#7900ff>14</color>次\n每日公共地图可原地复活<color=#7900ff>40</color>次\n
13	1	1000000	40509013	45000	30000	372	10005013	0	0	0	0	0	\n每天能通过摇钱树付费<color=#7900ff>摇宝190次</color>\n每日可购买白银钥匙<color=#7900ff>15</color>次\n
14	1	1500000	40509014	85000	30000	373	10005014	0	0	0	0	0	\n每天能通过摇钱树付费<color=#7900ff>摇宝200次</color>\n每日可购买白银钥匙<color=#7900ff>17</color>次\n每日公共地图可原地复活<color=#7900ff>50</color>次
