修为等级	职业	有效标记	修为名称	升级所需星辉	升级所需等级	升级所需成就点	升级所需成就ID1	升级所需成就ID2	升级所需成就ID3	升级所需成就ID4	需要突破的副本	突破消耗	战斗力要求	属性类型1	属性值1	属性类型2	属性值2	属性类型3	属性值3	属性类型4	属性值4	可储存最大星辉	增加战力值	科技加成	战力打折科技	打折后战力要求	条件脚本1	条件脚本2	条件脚本3	条件脚本4	面板底图(已废弃)
[K][C][S]lvl	[K][C][S]pro	[S]valid	[C][S]name	[C][S]needRealm	[C][S]needLevel	[C][S]needAcmPoint	[C][S]needAc1	[C][S]needAc2	[C][S]needAc3	[C][S]needAc4	[C][S]needCopy	[C][S]consumeId	[C][S]needFighting	[C][S]attrType1	[C][S]attrValue1	[C][S]attrType2	[C][S]attrValue2	[C][S]attrType3	[C][S]attrValue3	[C][S]attrType4	[C][S]attrValue4	[C][S]maxRealm	[C][S]client_add_fighting	[C][S]WorldScienceLvlExchange	[C][S]NormalWorldLvl	[C][S]SpecialNeedFighting	[C]AcmScript1	[C]AcmScript2	[C]AcmScript3	[C]AcmScript4	[C]backImg
0	11	1	炼体	0	0	0	0	0	0	0	0	0	8000	65	0	66	0	72	0	0	0	0	0	0	0	0	nil	nil	nil	nil	realm_Back_1
1	11	1	筑基	0	0	0	0	0	0	0	0	0	22000	65	105	66	210	72	11900	0	0	0	1463	0	0	0	nil	nil	nil	nil	realm_Back_1
2	11	1	虚丹	0	0	0	0	0	0	0	0	90101	50000	65	219	66	412	72	23363	0	0	0	2897	0	0	0	nil	nil	nil	nil	realm_Back_1
3	11	1	金丹	0	0	0	0	0	0	0	0	90101	102000	65	342	66	631	72	35963	0	0	0	4817	0	2	91800	nil	nil	nil	nil	realm_Back_1
4	11	1	婴变	0	0	0	0	0	0	0	0	90101	163200	65	482	66	876	72	49788	0	0	0	6695	0	3	146880	nil	nil	nil	nil	realm_Back_1
5	11	1	元婴	0	0	0	0	0	0	0	0	90101	266000	65	631	66	1139	72	65013	0	0	0	9950	0	3	239400	nil	nil	nil	nil	realm_Back_2
6	11	1	凝液	0	0	0	0	0	0	0	0	90101	399960	65	815	66	1454	72	83038	0	0	0	12733	0	4	359964	nil	nil	nil	nil	realm_Back_2
7	11	1	炼虚	0	0	0	0	0	0	0	0	90101	550000	65	1025	66	1822	72	104301	0	0	0	17853	0	4	495000	nil	nil	nil	nil	realm_Back_2
8	11	1	化神	0	0	0	0	0	0	0	0	90101	860000	65	1279	66	2260	72	129326	0	0	0	27580	0	5	774000	nil	nil	nil	nil	realm_Back_2
9	11	1	合体	0	0	0	0	0	0	0	0	90101	1128800	65	1577	66	2777	72	158901	0	0	0	33916	0	5	1015920	nil	nil	nil	nil	realm_Back_2
10	11	1	小乘	0	0	0	0	0	0	0	0	90101	1801608	65	1927	66	3390	72	193814	0	0	0	52617	0	6	1621447	nil	nil	nil	nil	realm_Back_2
11	11	1	大乘	0	0	0	0	0	0	0	0	90101	2566340	65	2339	66	4108	72	234939	0	0	0	63793	0	6	2309706	nil	nil	nil	nil	realm_Back_2
12	11	1	渡劫	0	0	0	0	0	0	0	0	90101	3250268	65	2829	66	4957	72	283502	0	0	0	103166	0	7	2925241	nil	nil	nil	nil	realm_Back_2
13	11	1	飞升	0	0	0	0	0	0	0	0	90101	4276160	65	3407	66	5964	72	340815	0	0	0	124115	0	7	3848544	nil	nil	nil	nil	realm_Back_2
14	11	1	化真	0	0	0	0	0	0	0	0	90101	5542264	65	4090	66	7146	72	408453	0	0	0	200716	0	8	4988037	nil	nil	nil	nil	realm_Back_2
15	11	1	大罗	0	0	0	0	0	0	0	0	90101	7441420	65	4887	66	8546	72	488253	0	0	0	239947	0	8	6697278	nil	nil	nil	nil	realm_Back_2
16	11	1	太乙	0	0	0	0	0	0	0	0	90101	9366980	65	5832	66	10191	72	582403	0	0	0	386703	0	0	0	nil	nil	nil	nil	realm_Back_2
17	11	1	入灭	0	0	0	0	0	0	0	0	90101	12255320	65	6944	66	12134	72	693528	0	0	0	460454	0	0	0	nil	nil	nil	nil	realm_Back_2
18	11	1	悟虚	0	0	0	0	0	0	0	0	90101	16836736	65	8257	66	14427	72	824603	0	0	0	646030	0	0	0	nil	nil	nil	nil	realm_Back_2
19	11	1	超脱	0	0	0	0	0	0	0	0	90101	23708860	65	9806	66	17131	72	979303	0	0	0	905275	0	0	0	nil	nil	nil	nil	realm_Back_2
20	11	1	合道	0	0	0	0	0	0	0	0	90101	-1	65	11635	66	20325	72	1161828	0	0	0	1267383	0	0	0	nil	nil	nil	nil	realm_Back_2
0	21	1	炼体	0	0	0	0	0	0	0	0	0	8000	65	0	66	0	72	0	0	0	0	0	0	0	0	nil	nil	nil	nil	realm_Back_1
1	21	1	筑基	0	0	0	0	0	0	0	0	0	22000	65	105	66	210	72	13090	0	0	0	1463	0	0	0	nil	nil	nil	nil	realm_Back_1
2	21	1	虚丹	0	0	0	0	0	0	0	0	90101	50000	65	219	66	412	72	25699	0	0	0	2897	0	0	0	nil	nil	nil	nil	realm_Back_1
3	21	1	金丹	0	0	0	0	0	0	0	0	90101	102000	65	342	66	631	72	39559	0	0	0	4817	0	2	91800	nil	nil	nil	nil	realm_Back_1
4	21	1	婴变	0	0	0	0	0	0	0	0	90101	163200	65	482	66	876	72	54766	0	0	0	6695	0	3	146880	nil	nil	nil	nil	realm_Back_1
5	21	1	元婴	0	0	0	0	0	0	0	0	90101	266000	65	631	66	1139	72	71514	0	0	0	9950	0	3	239400	nil	nil	nil	nil	realm_Back_2
6	21	1	凝液	0	0	0	0	0	0	0	0	90101	399960	65	815	66	1454	72	91341	0	0	0	12733	0	4	359964	nil	nil	nil	nil	realm_Back_2
7	21	1	炼虚	0	0	0	0	0	0	0	0	90101	550000	65	1025	66	1822	72	114731	0	0	0	17853	0	4	495000	nil	nil	nil	nil	realm_Back_2
8	21	1	化神	0	0	0	0	0	0	0	0	90101	860000	65	1279	66	2260	72	142258	0	0	0	27580	0	5	774000	nil	nil	nil	nil	realm_Back_2
9	21	1	合体	0	0	0	0	0	0	0	0	90101	1128800	65	1577	66	2777	72	174791	0	0	0	33916	0	5	1015920	nil	nil	nil	nil	realm_Back_2
10	21	1	小乘	0	0	0	0	0	0	0	0	90101	1801608	65	1927	66	3390	72	213195	0	0	0	52617	0	6	1621447	nil	nil	nil	nil	realm_Back_2
11	21	1	大乘	0	0	0	0	0	0	0	0	90101	2566340	65	2339	66	4108	72	258432	0	0	0	63793	0	6	2309706	nil	nil	nil	nil	realm_Back_2
12	21	1	渡劫	0	0	0	0	0	0	0	0	90101	3250268	65	2829	66	4957	72	311852	0	0	0	103166	0	7	2925241	nil	nil	nil	nil	realm_Back_2
13	21	1	飞升	0	0	0	0	0	0	0	0	90101	4276160	65	3407	66	5964	72	374896	0	0	0	124115	0	7	3848544	nil	nil	nil	nil	realm_Back_2
14	21	1	化真	0	0	0	0	0	0	0	0	90101	5542264	65	4090	66	7146	72	449298	0	0	0	200716	0	8	4988037	nil	nil	nil	nil	realm_Back_2
15	21	1	大罗	0	0	0	0	0	0	0	0	90101	7441420	65	4887	66	8546	72	537078	0	0	0	239947	0	8	6697278	nil	nil	nil	nil	realm_Back_2
16	21	1	太乙	0	0	0	0	0	0	0	0	90101	9366980	65	5832	66	10191	72	640643	0	0	0	386703	0	0	0	nil	nil	nil	nil	realm_Back_2
17	21	1	入灭	0	0	0	0	0	0	0	0	90101	12255320	65	6944	66	12134	72	762880	0	0	0	460454	0	0	0	nil	nil	nil	nil	realm_Back_2
18	21	1	悟虚	0	0	0	0	0	0	0	0	90101	16836736	65	8257	66	14427	72	907063	0	0	0	646030	0	0	0	nil	nil	nil	nil	realm_Back_2
19	21	1	超脱	0	0	0	0	0	0	0	0	90101	23708860	65	9806	66	17131	72	1077233	0	0	0	905275	0	0	0	nil	nil	nil	nil	realm_Back_2
20	21	1	合道	0	0	0	0	0	0	0	0	90101	-1	65	11635	66	20325	72	1278010	0	0	0	1267383	0	0	0	nil	nil	nil	nil	realm_Back_2
0	31	1	炼体	0	0	0	0	0	0	0	0	0	8000	65	0	66	0	72	0	0	0	0	0	0	0	0	nil	nil	nil	nil	realm_Back_1
1	31	1	筑基	0	0	0	0	0	0	0	0	0	22000	65	105	66	210	72	14280	0	0	0	1463	0	0	0	nil	nil	nil	nil	realm_Back_1
2	31	1	虚丹	0	0	0	0	0	0	0	0	90101	50000	65	219	66	412	72	28035	0	0	0	2897	0	0	0	nil	nil	nil	nil	realm_Back_1
3	31	1	金丹	0	0	0	0	0	0	0	0	90101	102000	65	342	66	631	72	43155	0	0	0	4817	0	2	91800	nil	nil	nil	nil	realm_Back_1
4	31	1	婴变	0	0	0	0	0	0	0	0	90101	163200	65	482	66	876	72	59745	0	0	0	6695	0	3	146880	nil	nil	nil	nil	realm_Back_1
5	31	1	元婴	0	0	0	0	0	0	0	0	90101	266000	65	631	66	1139	72	78015	0	0	0	9950	0	3	239400	nil	nil	nil	nil	realm_Back_2
6	31	1	凝液	0	0	0	0	0	0	0	0	90101	399960	65	815	66	1454	72	99645	0	0	0	12733	0	4	359964	nil	nil	nil	nil	realm_Back_2
7	31	1	炼虚	0	0	0	0	0	0	0	0	90101	550000	65	1025	66	1822	72	125161	0	0	0	17853	0	4	495000	nil	nil	nil	nil	realm_Back_2
8	31	1	化神	0	0	0	0	0	0	0	0	90101	860000	65	1279	66	2260	72	155191	0	0	0	27580	0	5	774000	nil	nil	nil	nil	realm_Back_2
9	31	1	合体	0	0	0	0	0	0	0	0	90101	1128800	65	1577	66	2777	72	190681	0	0	0	33916	0	5	1015920	nil	nil	nil	nil	realm_Back_2
10	31	1	小乘	0	0	0	0	0	0	0	0	90101	1801608	65	1927	66	3390	72	232576	0	0	0	52617	0	6	1621447	nil	nil	nil	nil	realm_Back_2
11	31	1	大乘	0	0	0	0	0	0	0	0	90101	2566340	65	2339	66	4108	72	281926	0	0	0	63793	0	6	2309706	nil	nil	nil	nil	realm_Back_2
12	31	1	渡劫	0	0	0	0	0	0	0	0	90101	3250268	65	2829	66	4957	72	340202	0	0	0	103166	0	7	2925241	nil	nil	nil	nil	realm_Back_2
13	31	1	飞升	0	0	0	0	0	0	0	0	90101	4276160	65	3407	66	5964	72	408978	0	0	0	124115	0	7	3848544	nil	nil	nil	nil	realm_Back_2
14	31	1	化真	0	0	0	0	0	0	0	0	90101	5542264	65	4090	66	7146	72	490143	0	0	0	200716	0	8	4988037	nil	nil	nil	nil	realm_Back_2
15	31	1	大罗	0	0	0	0	0	0	0	0	90101	7441420	65	4887	66	8546	72	585903	0	0	0	239947	0	8	6697278	nil	nil	nil	nil	realm_Back_2
16	31	1	太乙	0	0	0	0	0	0	0	0	90101	9366980	65	5832	66	10191	72	698883	0	0	0	386703	0	0	0	nil	nil	nil	nil	realm_Back_2
17	31	1	入灭	0	0	0	0	0	0	0	0	90101	12255320	65	6944	66	12134	72	832233	0	0	0	460454	0	0	0	nil	nil	nil	nil	realm_Back_2
18	31	1	悟虚	0	0	0	0	0	0	0	0	90101	16836736	65	8257	66	14427	72	989523	0	0	0	646030	0	0	0	nil	nil	nil	nil	realm_Back_2
19	31	1	超脱	0	0	0	0	0	0	0	0	90101	23708860	65	9806	66	17131	72	1175163	0	0	0	905275	0	0	0	nil	nil	nil	nil	realm_Back_2
20	31	1	合道	0	0	0	0	0	0	0	0	90101	-1	65	11635	66	20325	72	1394193	0	0	0	1267383	0	0	0	nil	nil	nil	nil	realm_Back_2
0	41	1	炼体	0	0	0	0	0	0	0	0	0	8000	65	0	66	0	72	0	0	0	0	0	0	0	0	nil	nil	nil	nil	realm_Back_1
1	41	1	筑基	0	0	0	0	0	0	0	0	0	22000	65	105	66	210	72	11900	0	0	0	1463	0	0	0	nil	nil	nil	nil	realm_Back_1
2	41	1	虚丹	0	0	0	0	0	0	0	0	90101	50000	65	219	66	412	72	23363	0	0	0	2897	0	0	0	nil	nil	nil	nil	realm_Back_1
