道具ID-通用（这张表积分库和拍卖库共用）	有效标志位-通用	积分价格-积分库	单次加价值-积分库	叠加上限-通用	超时时间-积分库	职位限制（0非法数据、1帮主、2副帮主、4院监、8天书堂主、16百草堂主、32白虎堂主、64万宝堂主、128精英帮众、256正式帮众、512预科帮众）-积分库	拍卖元宝底价-拍卖库	拍卖元宝单次加价-拍卖库	拍卖元宝一口价-拍卖库	货币类型（204元宝205绑元）	世界拍卖元宝底价-拍卖库	世界拍卖单次加价	世界拍卖一口价	世界拍卖第一分类	世界拍卖第二分类	世界拍卖货币类型	物品被黑几率	活动1来源显示（夺旗，1胜负2攻旗3守旗）	活动2来源显示（暂无）	活动3来源显示（巨兽，1胜负2兽将3兽王）	活动4来源显示（攻城战，暂不区分来源）
[C][S]ID	[S]Valid	[C][S]Base	[C][S]Bid	[S]Durability	[S]Timeout	[S]position_limit	[S]	[C][S]addPrice	[C][S]fixedPrice	[C][S]CoinType	[S]	[C][S]WorldAddPrice	[C][S]WorldFixedPrice	[C][S]WorldType	[C][S]WorldSecType	[C][S]WorldCoinType	[S]	[C]Act1	[C]Act2	[C]Act3	[C]Act4
300120420	1	0	0	1	1800	0	30	4	70	205	38	5	86	2	0	205	10000	2	0	2	1
300120720	1	0	0	1	1800	0	30	4	70	205	38	5	86	2	0	205	10000	2	0	2	1
300120820	1	0	0	1	1800	0	30	4	70	205	38	5	86	2	0	205	10000	2	0	2	1
300120920	1	0	0	1	1800	0	30	4	70	205	38	5	86	2	0	205	10000	2	0	2	1
300120430	1	0	0	1	1800	0	110	13	240	205	138	17	306	2	0	205	10000	2	0	2	1
300120730	1	0	0	1	1800	0	110	13	240	205	138	17	306	2	0	205	10000	2	0	2	1
300120830	1	0	0	1	1800	0	110	13	240	205	138	17	306	2	0	205	10000	2	0	2	1
300120930	1	0	0	1	1800	0	110	13	240	205	138	17	306	2	0	205	10000	2	0	2	1
300120440	1	0	0	1	1800	0	200	24	440	205	250	30	550	2	0	205	10000	2	0	2	1
300120740	1	0	0	1	1800	0	200	24	440	205	250	30	550	2	0	205	10000	2	0	2	1
300120840	1	0	0	1	1800	0	200	24	440	205	250	30	550	2	0	205	10000	2	0	2	1
300120940	1	0	0	1	1800	0	200	24	440	205	250	30	550	2	0	205	10000	2	0	2	1
300120450	1	0	0	1	1800	0	400	48	880	205	500	60	1100	2	0	205	10000	2	0	2	1
300120750	1	0	0	1	1800	0	400	48	880	205	500	60	1100	2	0	205	10000	2	0	2	1
300120850	1	0	0	1	1800	0	400	48	880	205	500	60	1100	2	0	205	10000	2	0	2	1
300120950	1	0	0	1	1800	0	400	48	880	205	500	60	1100	2	0	205	10000	2	0	2	1
300120460	1	0	0	1	1800	0	600	72	1320	205	750	90	1650	2	0	205	10000	2	0	2	1
300120760	1	0	0	1	1800	0	600	72	1320	205	750	90	1650	2	0	205	10000	2	0	2	1
300120860	1	0	0	1	1800	0	600	72	1320	205	750	90	1650	2	0	205	10000	2	0	2	1
300120960	1	0	0	1	1800	0	600	72	1320	205	750	90	1650	2	0	205	10000	2	0	2	1
300120470	1	0	0	1	1800	0	980	118	2160	205	1225	148	2700	2	0	205	10000	2	0	2	1
300120770	1	0	0	1	1800	0	980	118	2160	205	1225	148	2700	2	0	205	10000	2	0	2	1
300120870	1	0	0	1	1800	0	980	118	2160	205	1225	148	2700	2	0	205	10000	2	0	2	1
300120970	1	0	0	1	1800	0	980	118	2160	205	1225	148	2700	2	0	205	10000	2	0	2	1
300120480	1	0	0	1	1800	0	1400	168	3080	205	1750	210	3850	2	0	205	10000	2	0	2	1
300120780	1	0	0	1	1800	0	1400	168	3080	205	1750	210	3850	2	0	205	10000	2	0	2	1
300120880	1	0	0	1	1800	0	1400	168	3080	205	1750	210	3850	2	0	205	10000	2	0	2	1
300120980	1	0	0	1	1800	0	1400	168	3080	205	1750	210	3850	2	0	205	10000	2	0	2	1
300120490	1	0	0	1	1800	0	2000	240	4400	205	2500	300	5500	2	0	205	10000	2	0	2	1
300120790	1	0	0	1	1800	0	2000	240	4400	205	2500	300	5500	2	0	205	10000	2	0	2	1
300120890	1	0	0	1	1800	0	2000	240	4400	205	2500	300	5500	2	0	205	10000	2	0	2	1
300120990	1	0	0	1	1800	0	2000	240	4400	205	2500	300	5500	2	0	205	10000	2	0	2	1
300130420	1	0	0	1	1800	0	150	18	330	204	188	23	416	2	0	204	8000	2	0	2	1
300130720	1	0	0	1	1800	0	150	18	330	204	188	23	416	2	0	204	8000	2	0	2	1
300130820	1	0	0	1	1800	0	150	18	330	204	188	23	416	2	0	204	8000	2	0	2	1
