序列号	道具ID	消耗类型(货币、2道具、3consume)	货币ID	价格	状态限制	生成概率1	生成概率2	生成概率3	生成概率4	生成数量1	生成数量2	生成数量3	生成数量4	触发成就ID	商品名称	境界备注
[K][C][S]id	[C][S]ItemId	[C][S]CostType	[C][S]CoinId	[C][S]Price	[C][S]showLimt	[S]gen_probability_1	[S]gen_probability_2	[S]gen_probability_3	[S]gen_probability_4	[S]gen_sl_1	[S]gen_sl_2	[S]gen_sl_3	[S]gen_sl_4	[S]role_acm_id	没用	没用
1	400130102	1	5	300	80003001	1000	0	0	0	1	1	1	1	700	1级燎原石	限剑，筑基1~筑基4
2	400130103	1	5	300	80003002	1000	0	0	0	1	1	1	1	0	1级炼体石	筑基1~筑基4
3	400130104	1	5	300	80003003	1000	0	0	0	1	1	1	1	0	1级心眼石	筑基1~筑基4
4	400130105	1	5	300	80003004	1000	0	0	0	1	1	1	1	0	1级瞬影石	限灵，筑基1~筑基4
5	400130106	1	5	300	80003005	1000	0	0	0	1	1	1	1	0	1级斩铁石	筑基1~筑基4
6	400130107	1	5	300	80003006	1000	0	0	0	1	1	1	1	0	1级守御石	限刀，筑基1~筑基4
7	400130108	1	5	300	80003007	1000	0	0	0	1	1	1	1	0	1级雷动石	限弓，筑基1~筑基4
8	400130109	1	5	300	80003008	1000	0	0	0	1	1	1	1	0	1级冥思石	筑基1~筑基4
9	420200301	1	5	5000	80003009	0	0	0	1000000	3	3	3	3	0	[法晶]玲珑矿石	筑基1~元婴4
10	400500520	1	5	1000	80003010	0	0	0	100000	1	1	1	1	0	[图纸]蓝色项链魂装	成就2102未达成
11	400500620	1	5	1000	80003011	0	0	0	10000	1	1	1	1	0	[图纸]蓝色戒指魂装	成就2103未达成
12	422190100	1	5	500	80003012	0	0	0	100	3	3	3	3	0	《长生诀》	成就1104未达成
13	300701001	1	5	700	80003013	0	0	0	10	3	3	3	3	0	荣誉令	筑基1~筑基4
14	322100002	1	5	700	80003014	0	0	0	1	3	3	3	3	0	[抽奖]白银钥匙	筑基1~筑基4
15	400130102	1	5	300	80003015	1000	0	0	0	2	2	2	2	0	1级燎原石	限剑，金丹1~金丹4
16	400130103	1	5	300	80003016	1000	0	0	0	2	2	2	2	0	1级炼体石	金丹1~金丹4
17	400130104	1	5	300	80003017	1000	0	0	0	2	2	2	2	0	1级心眼石	金丹1~金丹4
