建筑ID	等级	有效标示	消耗类型（0帮派经验，1货币，2道具）	消耗参数1	消耗参数2	消耗类型（1货币，2道具）	消耗参数1	消耗参数2	灵元金钱库大小（只针对于2天书、3百草有效）	每日皇族下发的灵元金钱（只针对于2天书、3百草有效）	升级增加帮派人数上限（只对1教务处有效）	提升帮派成员观碑玩法收益	提升帮派离线观碑收益	提升帮派帮派任务收益	提升帮派宝库收益	提升帮派成员攻防收益	提升帮派成员攻防能力	提升帮派仓库大小（只对5万宝有效）	提升帮派秘库大小（只对5万宝有效）	升级限制	精英成员数量	升级消耗天地异变控制系数	堂口描述字段	堂口描述字段	堂口描述字段
[K][C][S]ID	[K][C][S]Lvl	[S]	[C][S]type1	[C][S]id1	[C][S]num1	[C][S]type2	[C][S]id2	[C][S]num2	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[S]	[C][S]OpenLimit	[C][S]EliteNum	[C][S]upValue	[C]Desc1	[C]Desc2	[C]Desc3
1	1	1	0	0	400000	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	35	1001	主殿等级代表帮派等级，当前为<color=#7e00ff>1级</color>。其他建筑可升级至<color=#7e00ff>1级</color>	最大正式帮众人数<color=#7e00ff>+0</color>。当前为<color=#7e00ff>80人</color>	<color=#7e00ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+1</color>
1	2	1	0	0	600000	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	36	1001	主殿等级代表帮派等级，当前为<color=#7e00ff>2级</color>。其他建筑可升级至<color=#7e00ff>2级</color>	最大正式帮众人数<color=#7e00ff>+1</color>。当前为<color=#7e00ff>81人</color>	<color=#7e01ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+2</color>
1	3	1	0	0	800000	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	36	1001	主殿等级代表帮派等级，当前为<color=#7e00ff>3级</color>。其他建筑可升级至<color=#7e00ff>3级</color>	最大正式帮众人数<color=#7e00ff>+2</color>。当前为<color=#7e00ff>82人</color>	<color=#7e02ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+3</color>
1	4	1	0	0	1000000	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	37	1002	主殿等级代表帮派等级，当前为<color=#7e00ff>4级</color>。其他建筑可升级至<color=#7e00ff>4级</color>	最大正式帮众人数<color=#7e00ff>+3</color>。当前为<color=#7e00ff>83人</color>	<color=#7e03ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+4</color>
1	5	1	0	0	1200000	0	0	0	0	0	44	0	0	0	0	0	0	0	0	30004201	37	1002	主殿等级代表帮派等级，当前为<color=#7e00ff>5级</color>。其他建筑可升级至<color=#7e00ff>5级</color>	最大正式帮众人数<color=#7e00ff>+4</color>。当前为<color=#7e00ff>84人</color>	<color=#7e04ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+5</color>
1	6	1	0	0	1440000	0	0	0	0	0	45	0	0	0	0	0	0	0	0	30004201	38	1002	主殿等级代表帮派等级，当前为<color=#7e00ff>6级</color>。其他建筑可升级至<color=#7e00ff>6级</color>	最大正式帮众人数<color=#7e00ff>+5</color>。当前为<color=#7e00ff>85人</color>	<color=#7e05ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+6</color>
1	7	1	0	0	1680000	0	0	0	0	0	46	0	0	0	0	0	0	0	0	30004201	38	1003	主殿等级代表帮派等级，当前为<color=#7e00ff>7级</color>。其他建筑可升级至<color=#7e00ff>7级</color>	最大正式帮众人数<color=#7e00ff>+6</color>。当前为<color=#7e00ff>86人</color>	<color=#7e06ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+7</color>
1	8	1	0	0	1920000	0	0	0	0	0	47	0	0	0	0	0	0	0	0	30004202	39	1003	主殿等级代表帮派等级，当前为<color=#7e00ff>8级</color>。其他建筑可升级至<color=#7e00ff>8级</color>	最大正式帮众人数<color=#7e00ff>+7</color>。当前为<color=#7e00ff>87人</color>	<color=#7e07ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+8</color>
1	9	1	0	0	2520000	0	0	0	0	0	48	0	0	0	0	0	0	0	0	30004202	39	1003	主殿等级代表帮派等级，当前为<color=#7e00ff>9级</color>。其他建筑可升级至<color=#7e00ff>9级</color>	最大正式帮众人数<color=#7e00ff>+8</color>。当前为<color=#7e00ff>88人</color>	<color=#7e08ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+9</color>
1	10	1	0	0	3120000	0	0	0	0	0	49	0	0	0	0	0	0	0	0	30004202	40	1004	主殿等级代表帮派等级，当前为<color=#7e00ff>10级</color>。其他建筑可升级至<color=#7e00ff>10级</color>	最大正式帮众人数<color=#7e00ff>+9</color>。当前为<color=#7e00ff>89人</color>	<color=#7e09ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+10</color>
1	11	1	0	0	3720000	0	0	0	0	0	50	0	0	0	0	0	0	0	0	30004203	41	1004	主殿等级代表帮派等级，当前为<color=#7e00ff>11级</color>。其他建筑可升级至<color=#7e00ff>11级</color>	最大正式帮众人数<color=#7e00ff>+10</color>。当前为<color=#7e00ff>90人</color>	<color=#7e10ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+11</color>
1	12	1	0	0	5320000	0	0	0	0	0	51	0	0	0	0	0	0	0	0	30004203	42	1004	主殿等级代表帮派等级，当前为<color=#7e00ff>12级</color>。其他建筑可升级至<color=#7e00ff>12级</color>	最大正式帮众人数<color=#7e00ff>+11</color>。当前为<color=#7e00ff>91人</color>	<color=#7e11ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+12</color>
1	13	1	0	0	6920000	0	0	0	0	0	52	0	0	0	0	0	0	0	0	30004203	43	1005	主殿等级代表帮派等级，当前为<color=#7e00ff>13级</color>。其他建筑可升级至<color=#7e00ff>13级</color>	最大正式帮众人数<color=#7e00ff>+12</color>。当前为<color=#7e00ff>92人</color>	<color=#7e12ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+13</color>
1	14	1	0	0	8520000	0	0	0	0	0	53	0	0	0	0	0	0	0	0	30004204	44	1005	主殿等级代表帮派等级，当前为<color=#7e00ff>14级</color>。其他建筑可升级至<color=#7e00ff>14级</color>	最大正式帮众人数<color=#7e00ff>+13</color>。当前为<color=#7e00ff>93人</color>	<color=#7e13ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+14</color>
1	15	1	0	0	10120000	0	0	0	0	0	54	0	0	0	0	0	0	0	0	30004204	45	1006	主殿等级代表帮派等级，当前为<color=#7e00ff>15级</color>。其他建筑可升级至<color=#7e00ff>15级</color>	最大正式帮众人数<color=#7e00ff>+14</color>。当前为<color=#7e00ff>94人</color>	<color=#7e14ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+15</color>
1	16	1	0	0	11720000	0	0	0	0	0	55	0	0	0	0	0	0	0	0	30004204	46	1006	主殿等级代表帮派等级，当前为<color=#7e00ff>16级</color>。其他建筑可升级至<color=#7e00ff>16级</color>	最大正式帮众人数<color=#7e00ff>+15</color>。当前为<color=#7e00ff>95人</color>	<color=#7e15ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+16</color>
1	17	1	0	0	13320000	0	0	0	0	0	56	0	0	0	0	0	0	0	0	30004205	47	1007	主殿等级代表帮派等级，当前为<color=#7e00ff>17级</color>。其他建筑可升级至<color=#7e00ff>17级</color>	最大正式帮众人数<color=#7e00ff>+16</color>。当前为<color=#7e00ff>96人</color>	<color=#7e16ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+17</color>
1	18	1	0	0	14920000	0	0	0	0	0	57	0	0	0	0	0	0	0	0	30004205	48	1007	主殿等级代表帮派等级，当前为<color=#7e00ff>18级</color>。其他建筑可升级至<color=#7e00ff>18级</color>	最大正式帮众人数<color=#7e00ff>+17</color>。当前为<color=#7e00ff>97人</color>	<color=#7e17ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+18</color>
1	19	1	0	0	16520000	0	0	0	0	0	58	0	0	0	0	0	0	0	0	30004205	49	1008	主殿等级代表帮派等级，当前为<color=#7e00ff>19级</color>。其他建筑可升级至<color=#7e00ff>19级</color>	最大正式帮众人数<color=#7e00ff>+18</color>。当前为<color=#7e00ff>98人</color>	<color=#7e18ff>升级主殿</color>可以提升帮派等级，最大正式帮众人数<color=#7e00ff>+19</color>
1	20	1	0	0	-1	0	0	0	0	0	59	0	0	0	0	0	0	0	0	-1	50	1008	主殿等级代表帮派等级，当前为<color=#7e00ff>20级</color>。其他建筑可升级至<color=#7e00ff>20级</color>	最大正式帮众人数<color=#7e00ff>+19</color>。当前为<color=#7e00ff>99人</color>	当前已达到最高主殿等级
2	1	1	0	0	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至4级：强化石、培养丹可购买数量增加
2	2	1	0	0	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至4级：强化石、培养丹可购买数量增加
2	3	1	0	0	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至4级：强化石、培养丹可购买数量增加
2	4	1	0	0	250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至7级：强化石、培养丹可购买数量增加
2	5	1	0	0	300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004201	0	1002	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至7级：强化石、培养丹可购买数量增加
2	6	1	0	0	360000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004201	0	1002	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至7级：强化石、培养丹可购买数量增加
2	7	1	0	0	420000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004201	0	1003	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至10级：强化石、培养丹可购买数量增加
2	8	1	0	0	480000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004202	0	1003	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至10级：强化石、培养丹可购买数量增加
2	9	1	0	0	630000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004202	0	1003	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至10级：强化石、培养丹可购买数量增加
2	10	1	0	0	780000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004202	0	1004	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至13级：强化石、培养丹可购买数量增加
