大境界主键1	小境界主键2	门派职业限制(0通用职业，11昆仑，21琉璃，31乾坤，41凤鸣)	有效标识位	大境界名字	属性池ID	激活消耗ID	重铸消耗ID	付费重铸消耗ID	激活状态限制ID	奖励额外技能等级（累计值）	特殊效果描述说明1	特殊效果描述说明2	宝石位置横坐标	宝石位置纵坐标
[K][C][S]Index1st	[K][C][S]Index2nd	[K][C][S]Profession	[C][S]valid	[C][S]Name1st	[C][S]AttrPoolID	[C][S]CostID	[C][S]RebuildCostId	[C][S]PaidRebuildCostId	[C][S]LimitID	[C][S]ExtraSkillLvl	[C][S]SpecialDesc1	[C][S]SpecialDesc2	[C]PosX	[C]PosY
1	1	11	1	灵师	67011011	111011	115011	116011	70007001	0	0	0	150	180
1	2	11	1	灵师	67011012	111012	115012	116012	70007001	1	普攻等级<color=#00ab37>+1</color>	0	-16.3	160
1	3	11	1	灵师	67011013	111013	115013	116013	70007001	1	天剑技能等级上限<color=#00ab37>+5</color>	0	-157.3	75.7
1	4	11	1	灵师	67011014	111014	115014	116014	70007001	1	0	0	-108.3	-56.1
1	5	11	1	灵师	67011015	111015	115015	116015	70007001	3	普攻等级<color=#00ab37>+2</color>	0	-19.2	-160.9
1	6	11	1	灵师	67011016	111016	115016	116016	70007001	3	御风技能等级上限<color=#00ab37>+5</color>	0	145.9	-174.1
2	1	11	1	真人	67011021	111021	115021	116021	70007002	3	0	0	-201.4	-141.1
2	2	11	1	真人	67011022	111022	115022	116022	70007002	4	普攻等级<color=#00ab37>+1</color>	0	-111.6	-37.4
2	3	11	1	真人	67011023	111023	115023	116023	70007002	4	神剑技能等级上限<color=#00ab37>+5</color>	0	-57.2	137.1
2	4	11	1	真人	67011024	111024	115024	116024	70007002	4	0	0	98.6	49.9
2	5	11	1	真人	67011025	111025	115025	116025	70007002	5	普攻等级<color=#00ab37>+1</color>	0	167.3	-35
2	6	11	1	真人	67011026	111026	115026	116026	70007002	5	霜龙技能等级上限<color=#00ab37>+5</color>	0	184.8	-154.8
3	1	11	1	散仙	67011031	111031	115031	116031	70007003	5	0	0	-113.6	186.8
3	2	11	1	散仙	67011032	111032	115032	116032	70007003	6	普攻等级<color=#00ab37>+1</color>	0	-94.2	72.8
3	3	11	1	散仙	67011033	111033	115033	116033	70007003	6	天剑技能等级上限<color=#00ab37>+5</color>	0	-106.4	-59.2
3	4	11	1	散仙	67011034	111034	115034	116034	70007003	6	0	0	-157.4	-191.4
3	5	11	1	散仙	67011035	111035	115035	116035	70007003	8	普攻等级<color=#00ab37>+2</color>	0	43.9	-96.5
3	6	11	1	散仙	67011036	111036	115036	116036	70007003	8	御风技能等级上限<color=#00ab37>+5</color>	0	184.8	-154.8
4	1	11	1	真仙	67011041	111041	115041	116041	70007004	8	0	0	159.3	146.4
4	2	11	1	真仙	67011042	111042	115042	116042	70007004	9	普攻等级<color=#00ab37>+1</color>	0	26.73	64.7
4	3	11	1	真仙	67011043	111043	115043	116043	70007004	9	神剑技能等级上限<color=#00ab37>+5</color>	0	96.2	-59.1
4	4	11	1	真仙	67011044	111044	115044	116044	70007004	9	0	0	131.7	-174
4	5	11	1	真仙	67011045	111045	115045	116045	70007004	10	普攻等级<color=#00ab37>+1</color>	0	-177.5	-160.9
4	6	11	1	真仙	67011046	111046	115046	116046	70007004	10	霜龙技能等级上限<color=#00ab37>+5</color>	0	-105.4	-29.2
5	1	11	1	上仙	67011051	111051	115051	116051	70007005	10	0	0	159.3	146.4
5	2	11	1	上仙	67011052	111052	115052	116052	70007005	11	普攻等级<color=#00ab37>+1</color>	0	125.6	7.5
5	3	11	1	上仙	67011053	111053	115053	116053	70007005	11	天剑技能等级上限<color=#00ab37>+5</color>	0	68.9	-112.5
5	4	11	1	上仙	67011054	111054	115054	116054	70007005	11	0	0	-32.2	-173.5
5	5	11	1	上仙	67011055	111055	115055	116055	70007005	13	普攻等级<color=#00ab37>+2</color>	0	-135	-88.6
5	6	11	1	上仙	67011056	111056	115056	116056	70007005	13	御风技能等级上限<color=#00ab37>+5</color>	0	-160.5	52.7
6	1	11	1	金仙	67011061	111061	115061	116061	70007006	13	0	0	-174.7	146.4
6	2	11	1	金仙	67011062	111062	115062	116062	70007006	14	普攻等级<color=#00ab37>+1</color>	0	-46.8	81.8
6	3	11	1	金仙	67011063	111063	115063	116063	70007006	14	神剑技能等级上限<color=#00ab37>+5</color>	0	88.5	128.7
6	4	11	1	金仙	67011064	111064	115064	116064	70007006	14	0	0	179.9	-0.48
6	5	11	1	金仙	67011065	111065	115065	116065	70007006	15	普攻等级<color=#00ab37>+1</color>	0	34.3	-107.4
6	6	11	1	金仙	67011066	111066	115066	116066	70007006	15	霜龙技能等级上限<color=#00ab37>+5</color>	0	-143.4	-144.02
7	1	11	1	天君	67011071	111071	115071	116071	70007007	15	0	0	-110.9	141.4
7	2	11	1	天君	67011072	111072	115072	116072	70007007	16	普攻等级<color=#00ab37>+1</color>	0	61.5	158.3
7	3	11	1	天君	67011073	111073	115073	116073	70007007	16	天剑技能等级上限<color=#00ab37>+5</color>	0	164.4	16.5
