道具ID	兵甲坊等级	有效值	装备品阶	概率1	概率2	概率3	道具1	道具2	道具3	帮贡消耗	基础稀缺分数（每次打造增加这个积分的1~3倍）	基础上古分数（每次打造增加这个积分的1~3倍）	需要的稀缺分数	需要的上古分数
[C][S]ItemID	[C][S]BuildingLevel	[C][S]Valid	[C][S]Quality	[C][S]Probability1	[C][S]Probability2	[C][S]Probability3	[C][S]get_item_id1	[C][S]get_item_id2	[C][S]get_item_id3	[C][S]Cost	[S]base_good_score	[S]base_perfect_score	[S]need_good_score	[S]need_perfect_score
1100120	1	1	2	50	40	10	300110020	300120020	300130020	2880	288	288	1440	5760
1100120	2	1	2	50	40	10	300110020	300120020	300130020	2780	278	278	1390	5560
1100120	3	1	2	50	40	10	300110020	300120020	300130020	2680	268	268	1340	5360
1100120	4	1	2	50	40	10	300110020	300120020	300130020	2580	258	258	1290	5160
1100120	5	1	2	50	40	10	300110020	300120020	300130020	2480	248	248	1240	4960
1100120	6	1	2	50	40	10	300110020	300120020	300130020	2380	238	238	1190	4760
1100120	7	1	2	50	40	10	300110020	300120020	300130020	2280	228	228	1140	4560
1100120	8	1	2	50	40	10	300110020	300120020	300130020	2180	218	218	1090	4360
1100120	9	1	2	50	40	10	300110020	300120020	300130020	2080	208	208	1040	4160
1100120	10	1	2	50	40	10	300110020	300120020	300130020	1980	198	198	990	3960
1100120	11	1	2	50	40	10	300110020	300120020	300130020	1880	188	188	940	3760
1100120	12	1	2	50	40	10	300110020	300120020	300130020	1780	178	178	890	3560
1100120	13	1	2	50	40	10	300110020	300120020	300130020	1680	168	168	840	3360
1100120	14	1	2	50	40	10	300110020	300120020	300130020	1580	158	158	790	3160
1100120	15	1	2	50	40	10	300110020	300120020	300130020	1480	148	148	740	2960
1100120	16	1	2	50	40	10	300110020	300120020	300130020	1380	138	138	690	2760
1100120	17	1	2	50	40	10	300110020	300120020	300130020	1280	128	128	640	2560
1100120	18	1	2	50	40	10	300110020	300120020	300130020	1180	118	118	590	2360
1100120	19	1	2	50	40	10	300110020	300120020	300130020	1080	108	108	540	2160
1100120	20	1	2	50	40	10	300110020	300120020	300130020	980	98	98	490	1960
1100130	1	1	3	57	35	8	300110030	300140030	300150030	4680	468	468	2674	11700
1100130	2	1	3	57	35	8	300110030	300140030	300150030	4520	452	452	2583	11300
1100130	3	1	3	57	35	8	300110030	300140030	300150030	4360	436	436	2491	10900
1100130	4	1	3	57	35	8	300110030	300140030	300150030	4200	420	420	2400	10500
1100130	5	1	3	57	35	8	300110030	300140030	300150030	4040	404	404	2309	10100
1100130	6	1	3	57	35	8	300110030	300140030	300150030	3880	388	388	2217	9700
1100130	7	1	3	57	35	8	300110030	300140030	300150030	3720	372	372	2126	9300
1100130	8	1	3	57	35	8	300110030	300140030	300150030	3560	356	356	2034	8900
1100130	9	1	3	57	35	8	300110030	300140030	300150030	3400	340	340	1943	8500
1100130	10	1	3	57	35	8	300110030	300140030	300150030	3240	324	324	1851	8100
1100130	11	1	3	57	35	8	300110030	300140030	300150030	3080	308	308	1760	7700
1100130	12	1	3	57	35	8	300110030	300140030	300150030	2920	292	292	1669	7300
1100130	13	1	3	57	35	8	300110030	300140030	300150030	2760	276	276	1577	6900
1100130	14	1	3	57	35	8	300110030	300140030	300150030	2600	260	260	1486	6500
1100130	15	1	3	57	35	8	300110030	300140030	300150030	2440	244	244	1394	6100
1100130	16	1	3	57	35	8	300110030	300140030	300150030	2280	228	228	1303	5700
1100130	17	1	3	57	35	8	300110030	300140030	300150030	2120	212	212	1211	5300
1100130	18	1	3	57	35	8	300110030	300140030	300150030	1960	196	196	1120	4900
1100130	19	1	3	57	35	8	300110030	300140030	300150030	1800	180	180	1029	4500
1100130	20	1	3	57	35	8	300110030	300140030	300150030	1640	164	164	937	4100
1100140	1	1	4	57	35	8	300110040	300140040	300150040	6120	612	612	3497	15300
1100140	2	1	4	57	35	8	300110040	300140040	300150040	5920	592	592	3383	14800
1100140	3	1	4	57	35	8	300110040	300140040	300150040	5720	572	572	3269	14300
1100140	4	1	4	57	35	8	300110040	300140040	300150040	5520	552	552	3154	13800
1100140	5	1	4	57	35	8	300110040	300140040	300150040	5320	532	532	3040	13300
1100140	6	1	4	57	35	8	300110040	300140040	300150040	5120	512	512	2926	12800
1100140	7	1	4	57	35	8	300110040	300140040	300150040	4920	492	492	2811	12300
1100140	8	1	4	57	35	8	300110040	300140040	300150040	4720	472	472	2697	11800
1100140	9	1	4	57	35	8	300110040	300140040	300150040	4520	452	452	2583	11300
1100140	10	1	4	57	35	8	300110040	300140040	300150040	4320	432	432	2469	10800
1100140	11	1	4	57	35	8	300110040	300140040	300150040	4120	412	412	2354	10300
1100140	12	1	4	57	35	8	300110040	300140040	300150040	3920	392	392	2240	9800
1100140	13	1	4	57	35	8	300110040	300140040	300150040	3720	372	372	2126	9300
1100140	14	1	4	57	35	8	300110040	300140040	300150040	3520	352	352	2011	8800
1100140	15	1	4	57	35	8	300110040	300140040	300150040	3320	332	332	1897	8300
1100140	16	1	4	57	35	8	300110040	300140040	300150040	3120	312	312	1783	7800
1100140	17	1	4	57	35	8	300110040	300140040	300150040	2920	292	292	1669	7300
1100140	18	1	4	57	35	8	300110040	300140040	300150040	2720	272	272	1554	6800
1100140	19	1	4	57	35	8	300110040	300140040	300150040	2520	252	252	1440	6300
1100140	20	1	4	57	35	8	300110040	300140040	300150040	2320	232	232	1326	5800
1100150	1	1	5	57	35	8	300110050	300140050	300150050	9120	912	912	5211	22800
1100150	2	1	5	57	35	8	300110050	300140050	300150050	8820	882	882	5040	22050
1100150	3	1	5	57	35	8	300110050	300140050	300150050	8520	852	852	4869	21300
1100150	4	1	5	57	35	8	300110050	300140050	300150050	8220	822	822	4697	20550
1100150	5	1	5	57	35	8	300110050	300140050	300150050	7920	792	792	4526	19800
1100150	6	1	5	57	35	8	300110050	300140050	300150050	7620	762	762	4354	19050
1100150	7	1	5	57	35	8	300110050	300140050	300150050	7320	732	732	4183	18300
1100150	8	1	5	57	35	8	300110050	300140050	300150050	7020	702	702	4011	17550
1100150	9	1	5	57	35	8	300110050	300140050	300150050	6720	672	672	3840	16800
