职业/万分比	一级属性枚举	标志位	命中	躲避	暴击	暴防	暴击倍率	格挡	穿透	伤害基数	减伤基数	物理攻击	物理防御	真元攻击	真元防御	最大生命	最大真元	破招	专注
11	1	1	0	0	0	0	0	0	0	0	0	15000	15000	15000	15000	30000	0	0	0
11	2	1	0	0	0	0	0	0	0	0	0	0	0	15000	15000	0	0	0	0
11	3	1	0	0	0	0	0	0	0	0	0	0	15000	0	15000	30000	0	0	0
11	4	1	0	0	0	0	0	0	0	0	0	15000	15000	0	0	0	0	0	0
21	1	1	0	0	0	0	0	0	0	0	0	15000	15000	0	0	0	0	0	0
21	2	1	0	0	0	0	0	0	0	0	0	15000	15000	15000	15000	30000	0	0	0
21	3	1	0	0	0	0	0	0	0	0	0	0	0	15000	15000	0	0	0	0
21	4	1	0	0	0	0	0	0	0	0	0	0	15000	0	15000	30000	0	0	0
31	1	1	0	0	0	0	0	0	0	0	0	0	15000	0	15000	30000	0	0	0
31	2	1	0	0	0	0	0	0	0	0	0	0	0	15000	15000	0	0	0	0
31	3	1	0	0	0	0	0	0	0	0	0	15000	15000	0		0	0	0	0
31	4	1	0	0	0	0	0	0	0	0	0	15000	15000	15000	15000	30000	0	0	0
41	1	1	0	0	0	0	0	0	0	0	0	15000	15000	0	0	0	0	0	0
41	2	1	0	0	0	0	0	0	0	0	0	0	0	15000	15000	0	0	0	0
41	3	1	0	0	0	0	0	0	0	0	0	15000	15000	15000	15000	30000	0	0	0
41	4	1	0	0	0	0	0	0	0	0	0	0	15000	0	15000	30000	0	0	0
