ID（1位分类（1装备，2道具，3符印），2位部位，2位颜色，1位流水）	品质（普通道具0，魂道具1，下品装备0，上品装备1，极品装备2，无符印0，天符印1，地符印2，人符印3）	有效标志位	价格1（世界科技1）	价格2（世界科技2）	价格3（世界科技3）	价格4（世界科技4）	价格5（世界科技5）	价格6（世界科技6）	价格7（世界科技7）	价格8（世界科技8）	价格9（世界科技9）	价格10（世界科技10）
[K][C][S]id	[K][C][S]quality	[C][S]valid	[C][S]price_1	[C][S]price_2	[C][S]price_3	[C][S]price_4	[C][S]price_5	[C][S]price_6	[C][S]price_7	[C][S]price_8	[C][S]price_9	[C][S]price_10
300110010	0	1	8	8	8	8	8	8	8	8	8	8
300110110	0	1	8	8	8	8	8	8	8	8	8	8
300110210	0	1	8	8	8	8	8	8	8	8	8	8
300110310	0	1	8	8	8	8	8	8	8	8	8	8
300110410	0	1	8	8	8	8	8	8	8	8	8	8
300110510	0	1	8	8	8	8	8	8	8	8	8	8
300110610	0	1	8	8	8	8	8	8	8	8	8	8
300110710	0	1	8	8	8	8	8	8	8	8	8	8
300110810	0	1	8	8	8	8	8	8	8	8	8	8
300110910	0	1	8	8	8	8	8	8	8	8	8	8
300110020	0	1	10	10	10	10	10	10	10	10	10	10
300110120	0	1	10	10	10	10	10	10	10	10	10	10
300110220	0	1	10	10	10	10	10	10	10	10	10	10
300110320	0	1	10	10	10	10	10	10	10	10	10	10
300110420	0	1	10	10	10	10	10	10	10	10	10	10
300110520	0	1	10	10	10	10	10	10	10	10	10	10
300110620	0	1	10	10	10	10	10	10	10	10	10	10
300110720	0	1	10	10	10	10	10	10	10	10	10	10
300110820	0	1	10	10	10	10	10	10	10	10	10	10
300110920	0	1	10	10	10	10	10	10	10	10	10	10
300110030	0	1	12	12	12	12	12	12	12	12	12	12
300110130	0	1	12	12	12	12	12	12	12	12	12	12
300110230	0	1	12	12	12	12	12	12	12	12	12	12
300110330	0	1	12	12	12	12	12	12	12	12	12	12
300110430	0	1	12	12	12	12	12	12	12	12	12	12
300110530	0	1	12	12	12	12	12	12	12	12	12	12
300110630	0	1	12	12	12	12	12	12	12	12	12	12
300110730	0	1	12	12	12	12	12	12	12	12	12	12
300110830	0	1	12	12	12	12	12	12	12	12	12	12
300110930	0	1	12	12	12	12	12	12	12	12	12	12
300110040	0	1	14	14	14	14	14	14	14	14	14	14
300110140	0	1	14	14	14	14	14	14	14	14	14	14
300110240	0	1	14	14	14	14	14	14	14	14	14	14
300110340	0	1	14	14	14	14	14	14	14	14	14	14
300110440	0	1	14	14	14	14	14	14	14	14	14	14
300110540	0	1	14	14	14	14	14	14	14	14	14	14
300110640	0	1	14	14	14	14	14	14	14	14	14	14
300110740	0	1	14	14	14	14	14	14	14	14	14	14
300110840	0	1	14	14	14	14	14	14	14	14	14	14
300110940	0	1	14	14	14	14	14	14	14	14	14	14
300110050	0	1	16	16	16	16	16	16	16	16	16	16
300110150	0	1	16	16	16	16	16	16	16	16	16	16
300110250	0	1	16	16	16	16	16	16	16	16	16	16
300110350	0	1	16	16	16	16	16	16	16	16	16	16
