生成物ID	有效标志位	消耗物ID	消耗物数量	消耗货币ID	消耗货币数量
[K][C][S]gen_id	0	[C][S]cost_item_id1	[C][S]cost_item_num1	[C][S]cost_coin_id1	[C][S]cost_coin_num1
400400104	1	400400103	4	203	100000
400400103	1	400400102	4	203	27000
400400102	1	400400101	4	203	5600
400400101	1	400400100	4	203	1800
402500009	1	402500008	2	203	128000
402500008	1	402500007	2	203	64000
402500007	1	402500006	2	203	32000
402500006	1	402500005	2	203	16000
402500005	1	402500004	2	203	8000
402500004	1	402500003	2	203	4000
402500003	1	402500002	2	203	2000
402500002	1	402500001	2	203	1000
402510009	1	402510008	2	203	128000
402510008	1	402510007	2	203	64000
402510007	1	402510006	2	203	32000
402510006	1	402510005	2	203	16000
402510005	1	402510004	2	203	8000
402510004	1	402510003	2	203	4000
402510003	1	402510002	2	203	2000
402510002	1	402510001	2	203	1000
430500401	1	430500301	2	0	0
430500402	1	430500302	2	0	0
430500403	1	430500303	2	0	0
430500601	1	430500401	2	0	0
430500602	1	430500402	2	0	0
430500603	1	430500403	2	0	0
