祝福ID(祝福的ID，部分行为指定四位ID，其余的ID命名规则：祝福编号1~N+两位子类型+三位流水号；1等级，2装备(强化01、魂装02、精炼03、重铸04、品质05)，3闲置编号，4副本（长生碑01，封魔塔02），5闲置，6灵宠，7转生，8经文，9武学，10排行榜，11符印，12好友数量，13坐骑，14活动（赏花01），15充值，16红包)	有效标志	祝福名称（这个祝福的文字名称）	发送对象（1发送到好友，2发送到帮派成员，3好友和帮派都发送）	普通奖励（普通祝福的奖励ID）	绑元奖励（使用绑元祝福的奖励ID）	被普通祝福奖励（被普通祝福奖励获得的奖励ID）	被绑元祝福奖励（被绑元祝福奖励获得的奖励ID）	通关塔层（通关层数）	红包数额	红包个数	祝福能触发的次数上限（次数限制ID）	触发祝福的时间间隔（时间，单位：秒）	祝福红包说明（祝福面板中的文字描述）	收到祝福说明（玩家收到祝福后再聊天信息里收到的提示）
[C][S]Bless_ID	[S]valid	[C][S]Bless_name	[C][S]Object	[C][S]L_Reward_ID	[C][S]S_Reward_ID	[C][S]CL_Reward_ID	[C][S]CS_Reward_ID	[C][S]Floor	[C][S]RedPacketMoney	[C][S]RedPacketNum	[S]BlessNum	[S]BlessCD	[C]Explain	[C]Message
1001	0	帮派祝福	2	40070201	40070103	40070112	40070114	0	0	0	0	60	欢迎<color=#00baff>%s</color>加入帮派，赶快送上您的祝福吧！	恭喜加入帮派，帮派成员「%s」送上一份祝福
2001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	60	10	0	0	完成首充	恭喜获得首充礼包，帮派成员「%s」送上一份祝福
3001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	100	10	0	0	购买白银周卡	恭喜激活白银周卡，帮派成员「%s」送上一份祝福
3002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	200	20	0	0	购买黄金月卡	恭喜激活黄金月卡，帮派成员「%s」送上一份祝福
4001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	400	20	0	0	购买成长基金	恭喜激活成长基金，帮派成员「%s」送上一份祝福
4002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	500	20	0	0	购买登录基金	恭喜激活登录基金，帮派成员「%s」送上一份祝福
5001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>尊享等级提升到<color=#4ac6ff>1级</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>尊享等级提升到1级，<color=#00dbaa>%s</color>送上一份祝福，愿长生路上一直有你相伴！
5002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	300	20	0	0	尊享等级提升到3级	恭喜达到3级尊享，帮派成员「%s」送上一份祝福
5003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	500	20	0	0	尊享等级提升到5级	恭喜达到5级尊享，帮派成员「%s」送上一份祝福
5004	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	1000	30	0	0	尊享等级提升到7级	恭喜达到7级尊享，帮派成员「%s」送上一份祝福
5005	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	1000	30	0	0	尊享等级提升到8级	恭喜达到8级尊享，帮派成员「%s」送上一份祝福
101001	1	好友祝福	2	40070101	40070103	40070102	40070104	0	0	0	114	60	您的好友<color=#fd8e06>%s</color>升级到了<color=#4ac6ff>20级</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>升到20级，<color=#00dbaa>%s</color>送上一份祝福，以此携手共进，共创辉煌！
101002	1	好友祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>升级到了<color=#4ac6ff>50级</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>升到50级，<color=#00dbaa>%s</color>送上一份祝福，以此携手共进，共创辉煌！
101003	1	好友祝福	2	40070101	40070103	40070102	40070104	0	0	0	115	60	您的好友<color=#fd8e06>%s</color>升级到了<color=#4ac6ff>30级</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>升到30级，<color=#00dbaa>%s</color>送上一份祝福，以此携手共进，共创辉煌！
101004	1	好友祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>升级到了<color=#4ac6ff>60级</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>升到60级，<color=#00dbaa>%s</color>送上一份祝福，以此携手共进，共创辉煌！
101005	1	好友祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>升级到了<color=#4ac6ff>70级</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>升到70级，<color=#00dbaa>%s</color>送上一份祝福，以此携手共进，共创辉煌！
101006	1	好友祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>升级到了<color=#4ac6ff>80级</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>升到80级，<color=#00dbaa>%s</color>送上一份祝福，以此携手共进，共创辉煌！
201001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>1级强化激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活1级强化，修为大幅上升，<color=#00dbaa>%s</color>送上一份祝福！
