卡牌ID	有效标志位	名字	类型	卡牌颜色	职业限制	等级下限	等级上限	境界下限	境界上限	佩带数量	时间限制（佩带生效总时长，单位为秒，-1为不限时）	可否续费	时间限制ID	超出时间限制是否删除	附加属性池ID（可以用来当BUFF？）	附加法球类型（属性池ID主键）	属性池ID副键，后面两个字段暂时不要了	法球触发几率下限	法球触发几率上限	卡牌重铸类型（对应design_cfg的保底规则）	重铸消耗元宝（consumeID）--现在改为绑元数量	重铸道具	重铸数量	卡牌升星ID（强化）	是否不可重铸	高级重铸ID（吞噬？）	高级重铸消耗元宝（consumeID）	高级重铸消耗？	拍卖类型	摆摊价格	出售货币类型（以前的销毁）	出售价格	攻击类型	转化后卡牌ID	洗炼材料1	洗炼材料2	洗炼材料3	洗炼材料4	附加战斗属性类型	属性1下限	属性1上限	属性1几率	属性1元宝重铸几率	属性2下限	属性2上限	属性2几率	属性2元宝重铸几率	属性3下限	属性3上限	属性3几率	属性3元宝重铸几率	属性4下限	属性4上限	属性4几率	属性4元宝重铸几率	属性5下限	属性5上限	属性5几率	属性5元宝重铸几率	属性6下限	属性6上限	属性6几率	属性6元宝重铸几率	属性7下限	属性7上限	属性7几率	属性7元宝重铸几率	属性8下限（完美）	属性8上限	属性8几率	属性8元宝重铸几率	属性9下限	属性9上限	属性9几率	属性9元宝重铸几率	属性10下限（逆天）	属性10上限	属性10几率	属性10元宝重铸几率	附加战斗属性类型2	属性1下限	属性1上限	属性1几率	属性1元宝重铸几率	属性2下限	属性2上限	属性2几率	属性2元宝重铸几率	属性3下限	属性3上限	属性3几率	属性3元宝重铸几率	属性4下限	属性4上限	属性4几率	属性4元宝重铸几率	属性5下限	属性5上限	属性5几率	属性5元宝重铸几率	属性6下限	属性6上限	属性6几率	属性6元宝重铸几率	属性7下限	属性7上限	属性7几率	属性7元宝重铸几率	属性8下限（完美）	属性8上限	属性8几率	属性8元宝重铸几率	属性9下限	属性9上限	属性9几率	属性9元宝重铸几率	属性10下限（逆天）	属性10上限	属性10几率	属性10元宝重铸几率	属性1战力值	属性2战力值	卡牌种类，只在合成时判断用（0不是卡，1普通卡，2魂卡，3神卡）
500100001	1	音一的祝福	1	3	0	1081	9999	0	999	1	-1	0	0	0	0	79999901	1	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0
500100002	1	广成子之怒	2	3	0	1081	9999	0	999	1	-1	0	0	0	0	79999902	1	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0
500100003	1	诛仙残阵	3	3	0	1081	9999	0	999	1	-1	0	0	0	0	79999903	1	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0
500103201	1	精灵源泉	10	3	0	61	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500301	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1072	1608	1608	4000	686	1608	3216	4000	3000	3216	4824	1500	3000	4824	6432	150	2800	6432	8040	100	200	8040	9050	100	100	9050	10658	100	100	10658	12266	50	100	12266	13874	0	10	13874	20685	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103202	1	血魔力量	11	3	0	61	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500301	1	1001	0	0	0	0	0	0	203	100	1	500103203	0	0	0	0	1067	186	186	4000	686	186	372	4000	3000	372	558	1500	3000	558	744	150	2800	744	930	100	200	930	1050	100	100	1050	1236	100	100	1236	1422	50	100	1422	1608	0	10	1608	2400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103203	1	太乙力量	11	3	0	61	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500301	1	1001	0	0	0	0	0	0	203	100	2	500103202	0	0	0	0	1070	186	186	4000	686	186	372	4000	3000	372	558	1500	3000	558	744	150	2800	744	930	100	200	930	1050	100	100	1050	1236	100	100	1236	1422	50	100	1422	1608	0	10	1608	2400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103204	1	大地守护	12	3	0	61	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500301	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1068	186	186	4000	686	186	372	4000	3000	372	558	1500	3000	558	744	150	2800	744	930	100	200	930	1050	100	100	1050	1236	100	100	1236	1422	50	100	1422	1608	0	10	1608	2400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103205	1	风神守护	12	3	0	61	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500301	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1071	186	186	4000	686	186	372	4000	3000	372	558	1500	3000	558	744	150	2800	744	930	100	200	930	1050	100	100	1050	1236	100	100	1236	1422	50	100	1422	1608	0	10	1608	2400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103206	1	明视之眼	13	3	0	1090	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500302	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1005	31	31	4000	686	31	62	4000	3000	62	93	1500	3000	93	124	150	2800	124	155	100	200	155	175	100	100	175	206	100	100	206	237	50	100	237	268	0	10	268	400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103207	1	邪魅之舞	14	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500303	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1006	31	31	4000	686	31	62	4000	3000	62	93	1500	3000	93	124	150	2800	124	155	100	200	155	175	100	100	175	206	100	100	206	237	50	100	237	268	0	10	268	400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103208	1	雷霆之怒	15	3	0	61	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500302	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1007	31	31	4000	686	31	62	4000	3000	62	93	1500	3000	93	124	150	2800	124	155	100	200	155	175	100	100	175	206	100	100	206	237	50	100	237	268	0	10	268	400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103209	1	空明之心	16	3	0	61	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500303	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1008	31	31	4000	686	31	62	4000	3000	62	93	1500	3000	93	124	150	2800	124	155	100	200	155	175	100	100	175	206	100	100	206	237	50	100	237	268	0	10	268	400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103210	1	料敌先机	17	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500302	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1074	31	31	4000	686	31	62	4000	3000	62	93	1500	3000	93	124	150	2800	124	155	100	200	155	175	100	100	175	206	100	100	206	237	50	100	237	268	0	10	268	400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
