变身ID（4位走流水号，中间的那段先不管，职业变身为职业+四位等级）	有效标志	职业	等级	普攻1	技能等级	普攻2	技能等级	普攻3	技能等级	普攻4	技能等级	技能1	技能等级	技能2	技能等级	技能3	技能等级	法器1	技能等级	血脉1	技能等级	是否允许上坐骑（0不允许，1是允许）
[K][C][S]changeID	0	[C][S]role_fight_attr	[C][S]level	[C][S]Normal_attack1	[C][S]attack_level1	[C][S]Normal_attack2	[C][S]attack_level2	[C][S]Normal_attack3	[C][S]attack_level3	[C][S]Normal_attack4	[C][S]attack_level4	[C][S]skill1	[C][S]skill_level1	[C][S]skill2	[C][S]skill_level2	[C][S]skill3	[C][S]skill_level3	[C][S]magic_item	[C][S]magic_level	[C][S]blood_power	[C][S]blood_level	[S]
1001	1	410110	20	2001	1	2002	1	2003	1	0	0	2011	10	2021	10	2031	10	500204	5	1101	1	0
1002	1	9001201	30	22005	1	22005	1	22005	1	0	0	22006	10	22007	10	22008	10	0	0	0	0	0
1003	1	320221	60	22052	1	0	0	0	0	0	0	21184	1	21185	1	0	0	0	0	0	0	0
1004	1	320221	60	22013	1	220131	1	0	0	0	0	21187	1	21188	1	0	0	0	0	0	0	0
1005	1	320221	60	22005	1	0	0	0	0	0	0	21189	1	21195	1	0	0	0	0	0	0	0
1006	1	320221	60	22063	1	0	0	0	0	0	0	21192	1	21193	1	0	0	0	0	0	0	0
1007	1	320221	60	22001	1	0	0	0	0	0	0	21194	1	21195	1	0	0	0	0	0	0	0
1008	1	410110	20	10001	0	0	0	0	0	0	0	21197	1	21198	1	21206	1	0	0	0	0	0
1009	1	320303	1	0	0	0	0	0	0	0	0	21206	1	0	0	0	0	0	0	0	0	0
1010	1	320304	1	0	0	0	0	0	0	0	0	21206	1	0	0	0	0	0	0	0	0	0
1011	1	410110	20	1001	1	1002	1	1003	1	1004	1	1011	10	1021	10	1031	10	0	0	0	0	0
1012	1	410110	20	1001	1	1002	1	1003	1	1004	1	1011	10	1021	10	1031	10	0	0	0	0	0
1013	1	410110	20	2001	1	2002	1	2003	1	2004	1	2011	10	2021	10	2031	10	0	0	0	0	0
1014	1	410110	20	2001	1	2002	1	2003	1	2004	1	2011	10	2021	10	2031	10	0	0	0	0	0
1015	1	410110	20	3001	1	3002	1	3003	1	3004	1	3011	10	3021	10	3031	10	0	0	0	0	0
1016	1	410110	20	3001	1	3002	1	3003	1	3004	1	3011	10	3021	10	3031	10	0	0	0	0	0
1017	1	410110	20	4001	1	4002	1	4003	1	4004	1	4011	10	4021	10	4031	10	0	0	0	0	0
1018	1	410110	20	4001	1	4002	1	4003	1	4004	1	4011	10	4021	10	4031	10	0	0	0	0	0
1021	1	410110	20	21349	1	21349	1	21349	1	21349	1	0	0	0	0	0	0	0	0	0	0	0
1022	1	410110	20	21349	1	21349	1	21349	1	21349	1	0	0	0	0	0	0	0	0	0	0	0
1023	1	410110	20	21349	1	21349	1	21349	1	21349	1	0	0	0	0	0	0	0	0	0	0	0
1024	1	410110	20	21349	1	21349	1	21349	1	21349	1	0	0	0	0	0	0	0	0	0	0	0
1025	1	410110	20	21349	1	21349	1	21349	1	21349	1	0	0	0	0	0	0	0	0	0	0	0
1026	1	410110	20	21349	1	21349	1	21349	1	21349	1	0	0	0	0	0	0	0	0	0	0	0
1027	1	410110	20	21349	1	21349	1	21349	1	21349	1	0	0	0	0	0	0	0	0	0	0	0
1028	1	410110	20	21349	1	21349	1	21349	1	21349	1	0	0	0	0	0	0	0	0	0	0	0
11101	1	410114	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12101	1	410111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13101	1	410112	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14101	1	410113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21101	1	410114	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
22101	1	410111	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
23101	1	410112	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
24101	1	410113	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
31101	1	410114	1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
32101	1	410111	1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
33101	1	410112	1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
34101	1	410113	1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
41101	1	410114	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
42101	1	410111	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
43101	1	410112	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
44101	1	410113	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
51101	1	410114	3121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
52101	1	410111	3121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
53101	1	410112	3121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
54101	1	410113	3121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
61101	1	410114	4141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
62101	1	410111	4141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
63101	1	410112	4141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
64101	1	410113	4141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
71101	1	410114	5161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
72101	1	410111	5161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
73101	1	410112	5161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
74101	1	410113	5161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
81101	1	410114	6181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
82101	1	410111	6181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
83101	1	410112	6181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
84101	1	410113	6181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
111061	1	410114	1061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
112081	1	410114	2081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
