奖励ID（抽奖表要保持连贯性，中间不要出现有效值为0或者中断跳字的情况，活动ID参数不是主键，要注意参数ID不同的奖励ID不能相同——会导致前面参数的数据被服务器读取跳过，最多到256）	所属境界	抽奖档次(1青铜抽奖、2白银抽奖、3黄金抽奖)	有效标志	活动ID参数	出现几率（低价档）	出现几率（中价档随机3个）	出现几率（高价档随机1个）	获得几率	第1次重抽	第2~5次重抽	第6次及以上重抽	奖励类型（1货币，2道具）	奖励物品ID(货币枚举：1感悟，2军功，3威望，4荣誉，5贡献，6体力，7神识，8学分，200经验,201星辉，202金币，203绑金，204元宝，205绑元)	奖励数量	奖励倍数	奖励参数	触发事件	最多出现次数（注意这个次数是低、中、高三档共用的，如果某个东西三档里都有，而次数都出现在低价档里了，那另外两档就都随不到他了）	状态限制	是否广播	时间限制（时间限制ID，主要和活动关联决定这个玩家能不能出现在奖池里的）	是否高价值（大于0有特效，大于2在奖池中显示，数值越大则排序越靠前）	次数限制ID	底图颜色
[C][S]id	[C][S]realm	[C][S]type	valid	[S]parameter	[C][S]odds_show_lowprice	[C][S]odds_show_midprice	[C][S]odds_show_highprice	[C][S]odds_get	[C][S]odds_again_one	[C][S]odds_again_two	[C][S]odds_again_more	[C][S]mode_item	[C][S]id_item	[C][S]number_item	[C][S]multiple_item	[C][S]param	[C][S]script	[C][S]max_time	[C][S]state_limit	[C][S]brocast	[C][S]time_limit	[C][S]valued	[C][S]num_limit	[C]quality
1	0	1	1	0	5000	0	0	1000	500	600	400	1	200	10000	1	0	0	4	0	0	0	0	0	2
1	1	1	1	0	5000	0	0	1000	500	600	400	1	200	10000	1	0	0	4	0	0	0	0	0	2
1	2	1	1	0	5000	0	0	1000	500	600	400	1	200	10000	1	0	0	4	0	0	0	0	0	2
1	3	1	1	0	5000	0	0	1000	500	600	400	1	200	10000	1	0	0	4	0	0	0	0	0	2
1	4	1	1	0	5000	0	0	1000	500	600	400	1	200	10000	1	0	0	4	0	0	0	0	0	2
1	5	1	1	0	5000	0	0	1000	500	600	400	1	200	20000	1	0	0	4	0	0	0	0	0	2
1	6	1	1	0	5000	0	0	1000	500	600	400	1	200	20000	1	0	0	4	0	0	0	0	0	2
1	7	1	1	0	5000	0	0	1000	500	600	400	1	200	20000	1	0	0	4	0	0	0	0	0	2
1	8	1	1	0	5000	0	0	1000	500	600	400	1	200	30000	1	0	0	4	0	0	0	0	0	2
1	9	1	1	0	5000	0	0	1000	500	600	400	1	200	30000	1	0	0	4	0	0	0	0	0	2
1	10	1	1	0	5000	0	0	1000	500	600	400	1	200	30000	1	0	0	4	0	0	0	0	0	2
1	11	1	1	0	5000	0	0	1000	500	600	400	1	200	70000	1	0	0	4	0	0	0	0	0	2
1	12	1	1	0	5000	0	0	1000	500	600	400	1	200	70000	1	0	0	4	0	0	0	0	0	2
1	13	1	1	0	5000	0	0	1000	500	600	400	1	200	70000	1	0	0	4	0	0	0	0	0	2
1	14	1	1	0	5000	0	0	1000	500	600	400	1	200	130000	1	0	0	4	0	0	0	0	0	2
1	15	1	1	0	5000	0	0	1000	500	600	400	1	200	130000	1	0	0	4	0	0	0	0	0	2
1	16	1	1	0	5000	0	0	1000	500	600	400	1	200	130000	1	0	0	4	0	0	0	0	0	2
1	17	1	1	0	5000	0	0	1000	500	600	400	1	200	270000	1	0	0	4	0	0	0	0	0	2
1	18	1	1	0	5000	0	0	1000	500	600	400	1	200	270000	1	0	0	4	0	0	0	0	0	2
1	19	1	1	0	5000	0	0	1000	500	600	400	1	200	270000	1	0	0	4	0	0	0	0	0	2
1	20	1	1	0	5000	0	0	1000	500	600	400	1	200	530000	1	0	0	4	0	0	0	0	0	2
1	21	1	1	0	5000	0	0	1000	500	600	400	1	200	530000	1	0	0	4	0	0	0	0	0	2
