奖励ID（抽奖表要保持连贯性，中间不要出现有效值为0或者中断跳字的情况，活动ID参数不是主键，要注意参数ID不同的奖励ID不能相同——会导致前面参数的数据被服务器读取跳过，最多到256）	所属境界	抽奖档次(4幸运抽奖，该表不用1、2、3，幸运抽奖专用)	有效标志	活动ID参数	出现几率（低价档）	出现几率（中价档随机3个）	出现几率（高价档随机1个）	获得几率	第1次重抽	第2~5次重抽	第6次及以上重抽	奖励类型（1货币，2道具）	奖励物品ID(货币枚举：1感悟，2军功，3威望，4荣誉，5贡献，6体力，7神识，8学分，200经验,201星辉，202金币，203绑金，204元宝，205绑元)	奖励数量	奖励倍数	奖励参数	触发事件	最多出现次数（注意这个次数是低、中、高三档共用的，如果某个东西三档里都有，而次数都出现在低价档里了，那另外两档就都随不到他了）	状态限制	是否广播	时间限制（时间限制ID，主要和活动关联决定这个玩家能不能出现在奖池里的）	是否高价值（大于0有特效，大于2在奖池中显示，数值越大则排序越靠前）	次数限制ID	底图颜色
[C][S]id	[C][S]realm	[C][S]type	valid	[S]parameter	[C][S]odds_show_lowprice	[C][S]odds_show_midprice	[C][S]odds_show_highprice	[C][S]odds_get	[C][S]odds_again_one	[C][S]odds_again_two	[C][S]odds_again_more	[C][S]mode_item	[C][S]id_item	[C][S]number_item	[C][S]multiple_item	[C][S]param	[C][S]script	[C][S]max_time	[C][S]state_limit	[C][S]brocast	[C][S]time_limit	[C][S]valued	[C][S]num_limit	[C]quality
1	0	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500101	3	1	0	0	2	0	0	0	0	0	0
1	1	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500101	3	1	0	0	2	0	0	0	0	0	0
1	2	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500101	3	1	0	0	2	0	0	0	0	0	0
1	3	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500101	3	1	0	0	2	0	0	0	0	0	0
1	4	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500101	3	1	0	0	2	0	0	0	0	0	0
1	5	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500102	3	1	0	0	2	0	0	0	0	0	0
1	6	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500102	3	1	0	0	2	0	0	0	0	0	0
1	7	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500102	3	1	0	0	2	0	0	0	0	0	0
1	8	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500103	3	1	0	0	2	0	0	0	0	0	0
1	9	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500103	3	1	0	0	2	0	0	0	0	0	0
1	10	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500103	3	1	0	0	2	0	0	0	0	0	0
1	11	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500104	3	1	0	0	2	0	0	0	0	0	0
1	12	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500104	3	1	0	0	2	0	0	0	0	0	0
1	13	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500104	3	1	0	0	2	0	0	0	0	0	0
1	14	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500105	3	1	0	0	2	0	0	0	0	0	0
1	15	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500105	3	1	0	0	2	0	0	0	0	0	0
1	16	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500105	3	1	0	0	2	0	0	0	0	0	0
1	17	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500106	3	1	0	0	2	0	0	0	0	0	0
1	18	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500106	3	1	0	0	2	0	0	0	0	0	0
1	19	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500106	3	1	0	0	2	0	0	0	0	0	0
1	20	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500107	3	1	0	0	2	0	0	0	0	0	0
1	21	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500107	3	1	0	0	2	0	0	0	0	0	0
1	22	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500107	3	1	0	0	2	0	0	0	0	0	0
1	23	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500108	3	1	0	0	2	0	0	0	0	0	0
1	24	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500108	3	1	0	0	2	0	0	0	0	0	0
1	25	4	1	1	1000	0	0	1700	1700	1700	1700	2	401500108	3	1	0	0	2	0	0	0	0	0	0
2	0	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	1	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	2	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	3	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	4	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	5	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	6	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	7	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	8	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	9	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	10	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	11	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	12	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	13	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	14	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	15	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	16	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	17	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	18	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	19	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	20	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	21	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	22	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	23	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	24	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
2	25	4	1	1	1000	0	0	1800	1800	1800	1800	2	410400001	15	1	0	0	1	0	0	0	0	0	0
3	0	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200501	1	1	0	0	1	0	0	0	0	0	0
3	1	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200501	1	1	0	0	1	0	0	0	0	0	0
3	2	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200501	1	1	0	0	1	0	0	0	0	0	0
3	3	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200501	1	1	0	0	1	0	0	0	0	0	0
3	4	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200501	1	1	0	0	1	0	0	0	0	0	0
3	5	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200501	1	1	0	0	1	0	0	0	0	0	0
3	6	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200501	1	1	0	0	1	0	0	0	0	0	0
3	7	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200501	1	1	0	0	1	0	0	0	0	0	0
3	8	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200504	1	1	0	0	1	0	0	0	0	0	0
3	9	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200504	1	1	0	0	1	0	0	0	0	0	0
3	10	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200504	1	1	0	0	1	0	0	0	0	0	0
3	11	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200504	1	1	0	0	1	0	0	0	0	0	0
3	12	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200504	1	1	0	0	1	0	0	0	0	0	0
3	13	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200504	1	1	0	0	1	0	0	0	0	0	0
3	14	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200506	1	1	0	0	1	0	0	0	0	0	0
3	15	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200506	1	1	0	0	1	0	0	0	0	0	0
3	16	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200506	1	1	0	0	1	0	0	0	0	0	0
