#道藏ID	valid	#所属分类	#道藏所在分类下的索引	#道藏名称	#道藏信息	#合成需要道具ID	#合成需要道具数量	#可成长阶段数	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏图标前景	#道藏图标后景
[C][S]id	0	[C][S]bigkindsId	[C][S]ItemId	[C][S]ItemIdName	[C][S]Detail	[C][S]SpendKind	[C][S]SpendKindnum	[C][S]max	[C][S]grow_id1	[C][S]grow_id2	[C][S]grow_id3	[C][S]grow_id4	[C][S]grow_id5	[C][S]grow_id6	[C][S]grow_id7	[C][S]grow_id8	[C][S]grow_id9	[C][S]grow_id10	[C][S]grow_id11	[C][S]grow_id12	[C][S]ItemImageId	[C][S]ItemImageBId
901001001	1	1	1	真武妙经	真武妙经	300200101	5	12	1001001	1001002	1001003	1001004	1001005	1001006	1001007	1001008	1001009	1001010	1001011	1001012	item40_008	0
901002001	1	1	2	冲虚真经	冲虚真经	300200101	60	12	1002001	1002002	1002003	1002004	1002005	1002006	1002007	1002008	1002009	1002010	1002011	1002012	item40_012	0
901003001	1	1	3	南华真经	南华真经	300200101	90	12	1003001	1003002	1003003	1003004	1003005	1003006	1003007	1003008	1003009	1003010	1003011	1003012	item40_004	0
901004001	1	1	4	老子道德经	老子道德经	300200101	120	12	1004001	1004002	1004003	1004004	1004005	1004006	1004007	1004008	1004009	1004010	1004011	1004012	item40_011	0
901005001	1	1	5	正统道藏	正统道藏	300200101	150	12	1005001	1005002	1005003	1005004	1005005	1005006	1005007	1005008	1005009	1005010	1005011	1005012	item40_003	0
902001001	1	2	1	辰州符咒大全	辰州符咒大全	300200102	5	12	2001001	2001002	2001003	2001004	2001005	2001006	2001007	2001008	2001009	2001010	2001011	2001012	item40_002	0
902002001	1	2	2	五篇灵文	五篇灵文	300200102	60	12	2002001	2002002	2002003	2002004	2002005	2002006	2002007	2002008	2002009	2002010	2002011	2002012	item40_008	0
902003001	1	2	3	大洞法籙	大洞法籙	300200102	90	12	2003001	2003002	2003003	2003004	2003005	2003006	2003007	2003008	2003009	2003010	2003011	2003012	item40_005	0
902004001	1	2	4	祝由科	祝由科	300200102	120	12	2004001	2004002	2004003	2004004	2004005	2004006	2004007	2004008	2004009	2004010	2004011	2004012	item40_013	0
902005001	1	2	5	法印详解	法印详解	300200102	150	12	2005001	2005002	2005003	2005004	2005005	2005006	2005007	2005008	2005009	2005010	2005011	2005012	item40_009	0
903001001	1	3	1	道藏辑要	道藏辑要	300200103	5	12	3001001	3001002	3001003	3001004	3001005	3001006	3001007	3001008	3001009	3001010	3001011	3001012	item40_010	0
