#道藏成长ID	valid 	#成长阶段名称	#每阶段成长需要经验	#每阶段突破需要等级	#每阶段成长需要道具ID	#每阶段成长道具数量	#每阶段成长增加属性类型	#每阶段增加属性数量	#每阶段成长增加属性类型	#每阶段增加属性数量	#每阶段成长增加伙伴属性类型	#每阶段增加伙伴属性数量	#每阶段成长增加伙伴属性类型	#每阶段增加伙伴属性数量
[K][C][S]grow_id	0	[C][S]grow_name	[C][S]grow_exprience	[C][S]grow_level	[C][S]grow_item_id	[C][S]grow_item_num	[C][S]add_attr_type1	[C][S]add_attr_num1	[C][S]add_attr_type2 	[C][S]add_attr_num2	[C][S]add_attr_type_parterner1	[C][S]add_attr_num_parterner1	[C][S]add_attr_type_parterner2	[C][S]add_attr_num_parterner2
1001001	1	洞真·初境	120	1	300200101	1	67	10	70	10	0	0	0	0
1001002	1	洞真·中境	180	1	300200101	1	67	20	70	20	0	0	0	0
1001003	1	洞真·上境	240	1	300200101	2	67	30	70	30	0	0	0	0
1001004	1	洞真·圆满	300	1	300200101	2	67	40	70	40	0	0	0	0
1001005	1	洞神·初境	360	1	300200101	3	67	50	70	50	0	0	0	0
1001006	1	洞神·中境	420	1	300200101	3	67	60	70	60	0	0	0	0
1001007	1	洞神·上境	480	1	300200101	4	67	70	70	70	0	0	0	0
1001008	1	洞神·圆满	540	1	300200101	4	67	80	70	80	0	0	0	0
1001009	1	洞玄·初境	600	1	300200101	5	67	90	70	90	0	0	0	0
1001010	1	洞玄·中境	660	1	300200101	5	67	100	70	100	0	0	0	0
1001011	1	洞玄·上境	720	1	300200101	6	67	112	70	112	0	0	0	0
1001012	1	洞玄·圆满	780	1	300200101	6	67	124	70	124	0	0	0	0
1002001	1	洞真·初境	840	1	300200101	7	67	136	70	136	0	0	0	0
1002002	1	洞真·中境	900	1	300200101	7	67	148	70	148	0	0	0	0
1002003	1	洞真·上境	960	1	300200101	8	67	160	70	160	0	0	0	0
1002004	1	洞真·圆满	1020	1	300200101	8	67	172	70	172	0	0	0	0
1002005	1	洞神·初境	1080	1	300200101	9	67	184	70	184	0	0	0	0
1002006	1	洞神·中境	1140	1	300200101	9	67	196	70	196	0	0	0	0
1002007	1	洞神·上境	1200	1	300200101	10	67	208	70	208	0	0	0	0
1002008	1	洞神·圆满	1260	1	300200101	10	67	220	70	220	0	0	0	0
1002009	1	洞玄·初境	1320	1	300200101	11	67	238	70	238	0	0	0	0
1002010	1	洞玄·中境	1380	1	300200101	11	67	256	70	256	0	0	0	0
1002011	1	洞玄·上境	1440	1	300200101	12	67	274	70	274	0	0	0	0
1002012	1	洞玄·圆满	1500	1	300200101	12	67	292	70	292	0	0	0	0
1003001	1	洞真·初境	1560	1	300200101	13	67	310	70	310	0	0	0	0
1003002	1	洞真·中境	1620	1	300200101	13	67	328	70	328	0	0	0	0
1003003	1	洞真·上境	1680	1	300200101	14	67	346	70	346	0	0	0	0
1003004	1	洞真·圆满	1740	1	300200101	14	67	364	70	364	0	0	0	0
1003005	1	洞神·初境	1800	1	300200101	15	67	382	70	382	0	0	0	0
1003006	1	洞神·中境	1860	1	300200101	15	67	400	70	400	0	0	0	0
1003007	1	洞神·上境	1920	1	300200101	16	67	430	70	430	0	0	0	0
1003008	1	洞神·圆满	1980	1	300200101	16	67	460	70	460	0	0	0	0
1003009	1	洞玄·初境	2040	1	300200101	17	67	490	70	490	0	0	0	0
1003010	1	洞玄·中境	2100	1	300200101	17	67	520	70	520	0	0	0	0
1003011	1	洞玄·上境	2160	1	300200101	18	67	550	70	550	0	0	0	0
1003012	1	洞玄·圆满	2220	1	300200101	18	67	580	70	580	0	0	0	0
1004001	1	洞真·初境	2280	1	300200101	19	67	610	70	610	0	0	0	0
1004002	1	洞真·中境	2340	1	300200101	19	67	640	70	640	0	0	0	0
1004003	1	洞真·上境	2400	1	300200101	20	67	670	70	670	0	0	0	0
1004004	1	洞真·圆满	2460	1	300200101	20	67	700	70	700	0	0	0	0
1004005	1	洞神·初境	2520	1	300200101	21	67	747	70	747	0	0	0	0
1004006	1	洞神·中境	2580	1	300200101	21	67	794	70	794	0	0	0	0
1004007	1	洞神·上境	2640	1	300200101	22	67	841	70	841	0	0	0	0
1004008	1	洞神·圆满	2700	1	300200101	22	67	888	70	888	0	0	0	0
1004009	1	洞玄·初境	2760	1	300200101	23	67	935	70	935	0	0	0	0
1004010	1	洞玄·中境	2820	1	300200101	23	67	982	70	982	0	0	0	0
1004011	1	洞玄·上境	2880	1	300200101	24	67	1029	70	1029	0	0	0	0
1004012	1	洞玄·圆满	2940	1	300200101	24	67	1076	70	1076	0	0	0	0
1005001	1	洞真·初境	3000	1	300200101	25	67	1123	70	1123	0	0	0	0
1005002	1	洞真·中境	3060	1	300200101	25	67	1170	70	1170	0	0	0	0
1005003	1	洞真·上境	3120	1	300200101	26	67	1235	70	1235	0	0	0	0
1005004	1	洞真·圆满	3180	1	300200101	26	67	1300	70	1300	0	0	0	0
1005005	1	洞神·初境	3240	1	300200101	27	67	1365	70	1365	0	0	0	0
1005006	1	洞神·中境	3300	1	300200101	27	67	1430	70	1430	0	0	0	0
1005007	1	洞神·上境	3360	1	300200101	28	67	1495	70	1495	0	0	0	0
1005008	1	洞神·圆满	3420	1	300200101	28	67	1560	70	1560	0	0	0	0
1005009	1	洞玄·初境	3480	1	300200101	29	67	1625	70	1625	0	0	0	0
1005010	1	洞玄·中境	3540	1	300200101	29	67	1690	70	1690	0	0	0	0
1005011	1	洞玄·上境	3600	1	300200101	30	67	1755	70	1755	0	0	0	0
1005012	1	洞玄·圆满	-1	1	300200101	-1	67	1820	70	1820	0	0	0	0
2001001	1	洞真·初境	120	1	300200101	1	68	10	71	10	0	0	0	0
2001002	1	洞真·中境	180	1	300200101	1	68	20	71	20	0	0	0	0
2001003	1	洞真·上境	240	1	300200101	2	68	30	71	30	0	0	0	0
2001004	1	洞真·圆满	300	1	300200101	2	68	40	71	40	0	0	0	0
2001005	1	洞神·初境	360	1	300200101	3	68	50	71	50	0	0	0	0
2001006	1	洞神·中境	420	1	300200101	3	68	60	71	60	0	0	0	0
2001007	1	洞神·上境	480	1	300200101	4	68	70	71	70	0	0	0	0
2001008	1	洞神·圆满	540	1	300200101	4	68	80	71	80	0	0	0	0
2001009	1	洞玄·初境	600	1	300200101	5	68	90	71	90	0	0	0	0
2001010	1	洞玄·中境	660	1	300200101	5	68	100	71	100	0	0	0	0
2001011	1	洞玄·上境	720	1	300200101	6	68	112	71	112	0	0	0	0
2001012	1	洞玄·圆满	780	1	300200101	6	68	124	71	124	0	0	0	0
2002001	1	洞真·初境	840	1	300200101	7	68	136	71	136	0	0	0	0
2002002	1	洞真·中境	900	1	300200101	7	68	148	71	148	0	0	0	0
2002003	1	洞真·上境	960	1	300200101	8	68	160	71	160	0	0	0	0
2002004	1	洞真·圆满	1020	1	300200101	8	68	172	71	172	0	0	0	0
2002005	1	洞神·初境	1080	1	300200101	9	68	184	71	184	0	0	0	0
2002006	1	洞神·中境	1140	1	300200101	9	68	196	71	196	0	0	0	0
2002007	1	洞神·上境	1200	1	300200101	10	68	208	71	208	0	0	0	0
2002008	1	洞神·圆满	1260	1	300200101	10	68	220	71	220	0	0	0	0
2002009	1	洞玄·初境	1320	1	300200101	11	68	238	71	238	0	0	0	0
2002010	1	洞玄·中境	1380	1	300200101	11	68	256	71	256	0	0	0	0
2002011	1	洞玄·上境	1440	1	300200101	12	68	274	71	274	0	0	0	0
2002012	1	洞玄·圆满	1500	1	300200101	12	68	292	71	292	0	0	0	0
2003001	1	洞真·初境	1560	1	300200101	13	68	310	71	310	0	0	0	0
2003002	1	洞真·中境	1620	1	300200101	13	68	328	71	328	0	0	0	0
2003003	1	洞真·上境	1680	1	300200101	14	68	346	71	346	0	0	0	0
2003004	1	洞真·圆满	1740	1	300200101	14	68	364	71	364	0	0	0	0
2003005	1	洞神·初境	1800	1	300200101	15	68	382	71	382	0	0	0	0
2003006	1	洞神·中境	1860	1	300200101	15	68	400	71	400	0	0	0	0
2003007	1	洞神·上境	1920	1	300200101	16	68	430	71	430	0	0	0	0
2003008	1	洞神·圆满	1980	1	300200101	16	68	460	71	460	0	0	0	0
2003009	1	洞玄·初境	2040	1	300200101	17	68	490	71	490	0	0	0	0
2003010	1	洞玄·中境	2100	1	300200101	17	68	520	71	520	0	0	0	0
2003011	1	洞玄·上境	2160	1	300200101	18	68	550	71	550	0	0	0	0
2003012	1	洞玄·圆满	2220	1	300200101	18	68	580	71	580	0	0	0	0
2004001	1	洞真·初境	2280	1	300200101	19	68	610	71	610	0	0	0	0
2004002	1	洞真·中境	2340	1	300200101	19	68	640	71	640	0	0	0	0
2004003	1	洞真·上境	2400	1	300200101	20	68	670	71	670	0	0	0	0
2004004	1	洞真·圆满	2460	1	300200101	20	68	700	71	700	0	0	0	0
2004005	1	洞神·初境	2520	1	300200101	21	68	747	71	747	0	0	0	0
2004006	1	洞神·中境	2580	1	300200101	21	68	794	71	794	0	0	0	0
2004007	1	洞神·上境	2640	1	300200101	22	68	841	71	841	0	0	0	0
2004008	1	洞神·圆满	2700	1	300200101	22	68	888	71	888	0	0	0	0
2004009	1	洞玄·初境	2760	1	300200101	23	68	935	71	935	0	0	0	0
2004010	1	洞玄·中境	2820	1	300200101	23	68	982	71	982	0	0	0	0
2004011	1	洞玄·上境	2880	1	300200101	24	68	1029	71	1029	0	0	0	0
2004012	1	洞玄·圆满	2940	1	300200101	24	68	1076	71	1076	0	0	0	0
2005001	1	洞真·初境	3000	1	300200101	25	68	1123	71	1123	0	0	0	0
2005002	1	洞真·中境	3060	1	300200101	25	68	1170	71	1170	0	0	0	0
2005003	1	洞真·上境	3120	1	300200101	26	68	1235	71	1235	0	0	0	0
2005004	1	洞真·圆满	3180	1	300200101	26	68	1300	71	1300	0	0	0	0
2005005	1	洞神·初境	3240	1	300200101	27	68	1365	71	1365	0	0	0	0
2005006	1	洞神·中境	3300	1	300200101	27	68	1430	71	1430	0	0	0	0
2005007	1	洞神·上境	3360	1	300200101	28	68	1495	71	1495	0	0	0	0
2005008	1	洞神·圆满	3420	1	300200101	28	68	1560	71	1560	0	0	0	0
2005009	1	洞玄·初境	3480	1	300200101	29	68	1625	71	1625	0	0	0	0
2005010	1	洞玄·中境	3540	1	300200101	29	68	1690	71	1690	0	0	0	0
2005011	1	洞玄·上境	3600	1	300200101	30	68	1755	71	1755	0	0	0	0
2005012	1	洞玄·圆满	-1	1	300200101	-1	68	1820	71	1820	0	0	0	0
3001001	1	洞真·初境	120	1	300200101	1	0	0	0	0	67	10	70	10
3001002	1	洞真·中境	180	1	300200101	1	0	0	0	0	67	20	70	20
3001003	1	洞真·上境	240	1	300200101	2	0	0	0	0	67	30	70	30
3001004	1	洞真·圆满	300	1	300200101	2	0	0	0	0	67	40	70	40
3001005	1	洞神·初境	360	1	300200101	3	0	0	0	0	67	50	70	50
3001006	1	洞神·中境	420	1	300200101	3	0	0	0	0	67	60	70	60
3001007	1	洞神·上境	480	1	300200101	4	0	0	0	0	67	70	70	70
3001008	1	洞神·圆满	540	1	300200101	4	0	0	0	0	67	80	70	80
3001009	1	洞玄·初境	600	1	300200101	5	0	0	0	0	67	90	70	90
3001010	1	洞玄·中境	660	1	300200101	5	0	0	0	0	67	100	70	100
3001011	1	洞玄·上境	720	1	300200101	6	0	0	0	0	67	112	70	112
3001012	1	洞玄·圆满	780	1	300200101	6	0	0	0	0	67	124	70	124
3002001	1	洞真·初境	840	1	300200101	7	0	0	0	0	67	136	70	136
3002002	1	洞真·中境	900	1	300200101	7	0	0	0	0	67	148	70	148
3002003	1	洞真·上境	960	1	300200101	8	0	0	0	0	67	160	70	160
3002004	1	洞真·圆满	1020	1	300200101	8	0	0	0	0	67	172	70	172
3002005	1	洞神·初境	1080	1	300200101	9	0	0	0	0	67	184	70	184
3002006	1	洞神·中境	1140	1	300200101	9	0	0	0	0	67	196	70	196
3002007	1	洞神·上境	1200	1	300200101	10	0	0	0	0	67	208	70	208
3002008	1	洞神·圆满	1260	1	300200101	10	0	0	0	0	67	220	70	220
3002009	1	洞玄·初境	1320	1	300200101	11	0	0	0	0	67	238	70	238
3002010	1	洞玄·中境	1380	1	300200101	11	0	0	0	0	67	256	70	256
3002011	1	洞玄·上境	1440	1	300200101	12	0	0	0	0	67	274	70	274
3002012	1	洞玄·圆满	1500	1	300200101	12	0	0	0	0	67	292	70	292
3003001	1	洞真·初境	1560	1	300200101	13	0	0	0	0	67	310	70	310
