敏感级别（1表示禁止起名禁止聊天，2表示禁止起名但允许聊天）	有效标志	敏感词	加一行（没用，服务器兄弟要求的）
1	1	吿	
1	1	玩穴	
1	1	*法**仑	
1	1	*法*轮*功*	
1	1	*法*轮*功*靠	
1	1	.com	
1	1	c0m	
1	1	com	
1	1	www	
1	1	vvvvvv	
1	1	：賤	
1	1	｀	
1	1	⊙	
1	1	≡	
1	1	■	
1	1	□	
1	1	▲	
1	1	△	
1	1	▼	
1	1	◆	
1	1	◇	
1	1	○	
1	1	◎	
1	1	●	
1	1	◢	
1	1	◣	
1	1	◤	
1	1	◥	
1	1	┈	
1	1	═	
1	1	┇	
1	1	╓	
1	1	╔	
1	1	┑	
1	1	┒	
1	1	╗	
1	1	╚	
1	1	┛	
1	1	╝	
1	1	├	
1	1	┠	
1	1	┥	
1	1	┦	
1	1	┨	
1	1	╡	
1	1	┯	
1	1	┰	
1	1	┹	
1	1	┺	
1	1	╩	
1	1	╄	
1	1	╫	
1	1	╬	
1	1	▆	
1	1	▇	
1	1	█	
1	1	▓	
1	1	¤	
1	1	§	
1	1	浪穴	
1	1	肉棍	
1	1	嫩穴	
1	1	☆	
1	1	★	
1	1	阴唇	
1	1	淫荡	
1	1	破处	
1	1	1８歲淫亂	
1	1	淫亂	
1	1	1989#天安门	
1	1	开苞	
1	1	2。23会议	
1	1	21世纪中国基金会	
1	1	老逼	
1	1	306醫院	
1	1	成人网站	
1	1	ⅲ	
1	1	淫色	
1	1	64事件	
1	1	色情	
1	1	66xp。com	
1	1	8。9	
1	1	89动乱	
1	1	89動亂	
1	1	89民运	
1	1	89学潮	
1	1	89运动	
1	1	〩	
1	1	AV成人影院	
1	1	AV女优	
1	1	av贴图	
1	1	ａ片	
1	1	a片	
1	1	ｃａｏｂ	
1	1	ｃａｏ你	
1	1	ｃｈａ你	
1	1	初体験	
1	1	d7se我淫我电影	
1	1	dick吕秀莲	
1	1	淫乱	
1	1	fa轮	
1	1	f淫色网站导航	
1	1	H漫画	
1	1	H动漫	
1	1	J8	
1	1	j8靠	
1	1	jb靠	
1	1	被插	
1	1	小穴	
1	1	阴道	
1	1	阴户	
1	1	乱伦	
1	1	ｊｉ女	
1	1	K粉	
1	1	淫	
1	1	K他命	
1	1	Mai骚	
1	1	淫水	
1	1	meimei肏穴	
1	1	被操	
1	1	小屄	
1	1	龟头	
1	1	阴蒂	
1	1	淫穴	
1	1	鸡吧	
1	1	黄站	
1	1	被狂插	
1	1	淫图	
1	1	做爱	
1	1	插穴	
1	1	潮吹	
1	1	内射	
1	1	SM处女	
1	1	性交	
1	1	射精	
1	1	骚逼	
1	1	下体	
1	1	偷拍	
1	1	性生活	
1	1	ML花	
1	1	ML花革命	
1	1	MM屄	
1	1	mo你鸡巴	
1	1	mo你全身	
1	1	色穴	
1	1	中出	
1	1	舔穴	
1	1	援交	
1	1	suck你媽的	
1	1	T。M。D靠	
1	1	Tibet独立	
1	1	TMD日	
1	1	uck卫生部	
1	1	猥亵	
1	1	ＷＷＷ	
1	1	WWW.	
1	1	皮條	
1	1	Γ	
1	1	Ν	
1	1	Ψ	
1	1	Ё	
1	1	Ж	
1	1	П	
1	1	Щ	
1	1	ㄐ巴	
1	1	ㄕ	
1	1	ㄖ	
1	1	ㄗ	
1	1	ㄘ	
1	1	ㄟ	
1	1	ㄠ	
1	1	ㄡ	
1	1	ㄢ	
1	1	ㄩ	
1	1	阿扁	
1	1	阿不來提?阿不都熱西提	
