掉落ID	有效标志位	副ID（超过300的部分将会无效，请注意）	副ID随机几率，-1为必定随出来	掉落类型	随机规则	地图掉落限制周期	地图掉落限制次数	掉落时间限制	分配角色限制	分配等级下限	分配等级上限	次数限制	状态限制	世界科技系数（对应world_civ_mod表)	掉落广播类型（位域,0不广播,1掉落拾取,2开宝箱,4制造广播,2^3~2^12(8184)世界科技1~10广播,2^13全世界广播,2^14当前地图广播,2^15本阵营广播,2^16上品广播,2^17极品广播,2^18帮派广播,2^19小队广播)	掉落次数下限	掉落次数上限	单人分配最大数量	掉落几率	掉落保底	是否绑定	品质系数	参数1（固定掉落时，道具为type_id，货币为货币枚举；随机掉落时，为表现类型1的performance_id）	参数2（固定掉落时，道具为随机几率，货币为货币数量；随机掉落时，为表现类型1的随机概率）	参数3（随机掉落时，为表现类型2的performance_id）	参数4（随机掉落时，为表现类型2的随机概率）	参数5（随机掉落时，为表现类型3的performance_id）	参数6（随机掉落时，为表现类型3的随机概率）	参数7（随机掉落时，为表现类型4的performance_id）	参数8（随机掉落时，为表现类型4的随机概率）	参数9（随机掉落时，为表现类型5的performance_id）	参数10（随机掉落时，为表现类型5的随机概率）	参数11（随机掉落时，为等级区间下限）	参数12（随机掉落时，为等级区间上限）	参数13（随机掉落时，为流水区间下限）	参数14（随机掉落时，为流水区间上限）	参数15	参数16	参数17	参数18	参数19	参数20	参数21	参数22	参数23	参数24
1位类型+3位等级+2位流水号，先这样，有需求再加上。1位类型：0、特殊（开头是0，所以只有五位，这五位中第一位也给个小分类：1无规则流水号，2宝箱，3法片，5礼包，6领地宝岛）1、单人副本(1+1位类型<1剧本，2长生碑首通，3封魔塔，4武试，5仙侣PK>+2位章节+2位关卡)，2、碎片(2+1位类型<1装备，2法器，3坐骑，4伙伴，5宝图>+2位颜色+2位流水),3、活动（1位类型+3位活动iD+2位流水号）,4、家族相关,5、多人副本（5+1位类型<1BOSS，2MOBA，3归墟，4钻石，5剑池，6秘境，7妖塔,8世界材料>+2位关卡+2位流水）,6、任务，7、战利品（1位活动，2位类型，2位流水）	0	副键	如果为-1则是正常，大于0的话则为整体随机掉落几率（多个副ID中随机一条出来）	0道具，1装备，2自动拾取使用的道具，3任务类道具，4货币，5双倍经验	0固定掉落，1规则随机	地图多长时间内掉落的次数为一个周期	地图多长时间内掉几次	对应时间限制表	哪些人参与分配，0个人，1表示队伍，2表示阵营(上限20人)（阵营掉落这个地方没用，需要服务器处理对应的地图类型），3学院（暂无功能）	角色的等级下限，分配时判断，包含	角色的等级上限，分配时判断，包含	对应次数限制表	状态限制表	世界科技系数	世界科技系数	该掉落规则被触发最小次数（是个万分比，可以执行0.x次），包含	该掉落规则被触发最大次数（是个万分比，可以执行0.x次），包含	分配时，单人最多分配数量（是个万分比）	该掉落规则被触发的几率	该掉落几次后必定触发掉落，或是在次数积累过程中掉落，则清空重来	万分比，绑定几率，0为不绑，10000为绑定	生成装备的品质概率（0默认，10下品，11上品，12极品，13大下小上，14大上小极，15全品微极）	固定掉落，物品ID；规则掉落，表现分类ID	固定掉落，掉落几率；规则掉落，表现分类几率；任务掉落时的任务ID	固定掉落，物品ID；规则掉落，表现分类ID；任务掉落时的任务第几个条件	固定掉落，掉落几率；规则掉落，表现分类几率；任务掉落时最多掉到多少个为止	固定掉落，物品ID；规则掉落，表现分类ID	固定掉落，掉落几率；规则掉落，表现分类几率	固定掉落，物品ID；规则掉落，表现分类ID	固定掉落，掉落几率；规则掉落，表现分类几率	固定掉落，物品ID；规则掉落，等级1下限（包含）	固定掉落，掉落几率；规则掉落，等级1上限（不包含）	固定掉落，物品ID；规则掉落，等级1几率	固定掉落，物品ID；规则掉落，等级2下限（包含）	固定掉落，掉落几率；规则掉落，等级2上限（不包含）	固定掉落，物品ID；规则掉落，等级2几率	固定掉落，物品ID；规则掉落，等级3下限（包含）	固定掉落，掉落几率；规则掉落，等级3上限（不包含）	固定掉落，物品ID；规则掉落，等级3几率	固定掉落，物品ID；规则掉落，等级4下限（包含）	固定掉落，掉落几率；规则掉落，等级4上限（不包含）	固定掉落，物品ID；规则掉落，等级4几率	固定掉落，物品ID；规则掉落，等级5下限（包含）	固定掉落，掉落几率；规则掉落，等级5上限（不包含）	固定掉落，物品ID；规则掉落，等级5几率	固定掉落，掉落几率；规则掉落，无用
10000	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10001	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10002	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113202	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10003	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113203	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10004	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113204	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10005	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113205	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10006	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113206	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10007	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113207	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10008	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113208	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
