地图ID	副本进度	有效值	当前副本进度触发的事件
map_id	dup_progress	valid	event_id 
3101	4	1	31010007
3102	1	1	0
3102	2	1	0
3102	3	1	0
3102	4	1	31020006
3103	4	1	31030005
3104	4	1	31040005
3105	4	1	31050007
3106	4	1	31060007
3107	4	1	31070007
3203	1	1	63030007
3203	2	1	63030007
3203	3	1	63030007
3203	4	1	63030007
3203	5	1	63030007
3203	6	1	63030001
3203	7	1	63030001
3203	8	1	63030001
3203	9	1	63030001
3203	10	1	63030001
3203	11	1	63030001
3203	12	1	63030001
3203	13	1	63030001
3203	14	1	63030001
3203	15	1	63030005
3401	1	1	0
3401	2	1	34010008
3401	3	1	34010014
3401	4	1	34010019
3401	5	1	34010026
3401	6	1	34010031
3402	1	1	0
3402	2	1	34020008
3402	3	1	34020014
3402	4	1	34020019
3402	5	1	34020026
3402	6	1	34020031
3403	1	1	0
3403	2	1	34030008
3403	3	1	34030014
3403	4	1	34030019
3403	5	1	34030026
3403	6	1	34030031
3404	1	1	0
3404	2	1	34040008
3404	3	1	34040014
3404	4	1	34040019
3404	5	1	34040026
3404	6	1	34040031
3405	1	1	0
3405	2	1	34050008
3405	3	1	34050014
3405	4	1	34050019
3405	5	1	34050026
3405	6	1	34050031
3406	1	1	0
3406	2	1	34060008
3406	3	1	34060014
3406	4	1	34060019
3406	5	1	34060026
3406	6	1	34060031
3407	1	1	0
3407	2	1	34070008
3407	3	1	34070014
3407	4	1	34070019
3407	5	1	34070026
3407	6	1	34070031
3408	1	1	0
3408	2	1	34080008
3408	3	1	34080014
3408	4	1	34080019
3408	5	1	34080026
3408	6	1	34080031
3910	0	1	0
3910	1	1	63910001
3910	2	1	63910002
3910	3	1	63910003
3910	4	1	63910004
3910	5	1	63910005
4501	0	1	0
4501	1	1	64501001
4501	2	1	64501009
4501	3	1	64501002
4501	4	1	64501003
4501	5	1	64501009
4501	6	1	64501004
4501	7	1	64501005
4501	8	1	64501006
4501	9	1	64501007
