宝石道具ID	有效标志	镶嵌的部位	镶嵌孔的形状	宝石类型	宝石颜色	宝石等级	下级宝石ID	上级宝石ID	境界限制	升级需要同级宝石数（要算上自己）	升级需要晶石	分解材料副ID（1位类型<1装备2宝石>+1位颜色+2位分类(部位)+1位等级）	付费升级消耗ID	升级宝石成功率	属性类型1	剑客数值1	御灵数值1	刀客数值1	弓手数值1	属性类型2	剑客数值1	御灵数值1	刀客数值1	弓手数值1	属性类型2	剑客数值1	御灵数值1	刀客数值1	弓手数值1	属性类型2	剑客数值1	御灵数值1	刀客数值1	弓手数值1	增加战力值1	增加战力值2	属性类型2	剑客数值1	御灵数值1	刀客数值1	弓手数值1	下阶宝石ID
[K][C][S]ID	0	[C][S]Part	[C][S]ShapeType	[C][S]Type	[C][S]Color	[C][S]Lvl	[C][S]NextID	[C][S]LastID	[C][S]RealmLimit	[C][S]ConsumeNum	[C][S]CostBindCoin	[C][S]stuff_second_id	[C][S]LvlUpCostByGold	[C][S]LvlUpRate	[C][S]ExAttrType1	[C][S]ExAttrValue11	[C][S]ExAttrValue12	[C][S]ExAttrValue13	[C][S]ExAttrValue14	[C][S]ExAttrType2	[C][S]ExAttrValue21	[C][S]ExAttrValue22	[C][S]ExAttrValue23	[C][S]ExAttrValue24	[S]ExAttrType3	[S]ExAttrValue31	[S]ExAttrValue32	[S]ExAttrValue33	[S]ExAttrValue34	[S]ExAttrType4	[S]ExAttrValue41	[S]ExAttrValue42	[S]ExAttrValue43	[S]ExAttrValue44	[C][S]FightScore	[S]add_fighting2_	[C]ExAttrType3	[C]ExAttrValue31	[C]ExAttrValue32	[C]ExAttrValue33	[C]ExAttrValue34	[C][S]NextClassStoneId
400130100	1	1023	1	1	3	1	400130200	-1	2	3	12500	230101	50231	10000	67	100	90	75	125	70	100	90	75	125	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	400140100
400130200	1	1023	1	1	3	2	400130300	400130100	2	3	25000	230102	50231	10000	67	200	180	150	250	70	200	180	150	250	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	400140200
400130300	1	1023	1	1	3	3	400130400	400130200	2	3	100000	230103	50231	10000	67	470	423	352	587	70	470	423	352	587	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	400140300
400130400	1	1023	1	1	3	4	400130500	400130300	2	3	400000	230104	50231	10000	67	620	558	465	775	70	620	558	465	775	0	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	0	400140400
400130500	1	1023	1	1	3	5	400130600	400130400	2	3	1600000	230105	50231	10000	67	1040	936	780	1300	70	1040	936	780	1300	0	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	0	0	400140500
400130600	1	1023	1	1	3	6	400130700	400130500	2	3	6400000	230106	50231	10000	67	1350	1215	1012	1687	70	1350	1215	1012	1687	0	0	0	0	0	0	0	0	0	0	2880	0	0	0	0	0	0	400140600
400130700	1	1023	1	1	3	7	400130800	400130600	5	3	25600000	230107	50231	10000	67	2400	2160	1800	3000	70	2400	2160	1800	3000	0	0	0	0	0	0	0	0	0	0	4320	0	0	0	0	0	0	400140700
400130800	1	1023	1	1	3	8	400130900	400130700	5	3	25600000	230108	50231	10000	67	3000	2700	2250	3750	70	3000	2700	2250	3750	0	0	0	0	0	0	0	0	0	0	6480	0	0	0	0	0	0	400140800
400130900	1	1023	1	1	3	9	-1	400130800	8	-1	-1	230108	-1	10000	67	3960	3564	2970	4950	70	3960	3564	2970	4950	0	0	0	0	0	0	0	0	0	0	9072	0	0	0	0	0	0	400140900
400140100	1	1023	1	1	4	1	400140200	-1	10	3	38750	240101	50241	10000	67	490	441	367	612	70	490	441	367	612	0	0	0	0	0	0	0	0	0	0	809	0	0	0	0	0	0	400150100
400140200	1	1023	1	1	4	2	400140300	400140100	10	3	77500	240102	50241	10000	67	670	603	502	837	70	670	603	502	837	0	0	0	0	0	0	0	0	0	0	1618	0	0	0	0	0	0	400150200
400140300	1	1023	1	1	4	3	400140400	400140200	10	3	310000	240103	50241	10000	67	1080	972	810	1350	70	1080	972	810	1350	0	0	0	0	0	0	0	0	0	0	3236	0	0	0	0	0	0	400150300
400140400	1	1023	1	1	4	4	400140500	400140300	10	3	1240000	240104	50241	10000	67	1540	1386	1155	1925	70	1540	1386	1155	1925	0	0	0	0	0	0	0	0	0	0	6472	0	0	0	0	0	0	400150400
400140500	1	1023	1	1	4	5	400140600	400140400	10	3	4960000	240105	50241	10000	67	2440	2196	1830	3050	70	2440	2196	1830	3050	0	0	0	0	0	0	0	0	0	0	9708	0	0	0	0	0	0	400150500
400140600	1	1023	1	1	4	6	400140700	400140500	10	3	19840000	240106	50241	10000	67	3500	3150	2625	4375	70	3500	3150	2625	4375	0	0	0	0	0	0	0	0	0	0	14562	0	0	0	0	0	0	400150600
400140700	1	1023	1	1	4	7	400140800	400140600	10	3	79360000	240107	50241	10000	67	4740	4266	3555	5925	70	4740	4266	3555	5925	0	0	0	0	0	0	0	0	0	0	21843	0	0	0	0	0	0	400150700
400140800	1	1023	1	1	4	8	400140900	400140700	10	3	79360000	240108	50241	10000	67	6900	6210	5175	8625	70	6900	6210	5175	8625	0	0	0	0	0	0	0	0	0	0	32765	0	0	0	0	0	0	400150800
400140900	1	1023	1	1	4	9	-1	400140800	10	-1	-1	240108	-1	10000	67	9090	8181	6817	11362	70	9090	8181	6817	11362	0	0	0	0	0	0	0	0	0	0	45871	0	0	0	0	0	0	400150900
400150100	1	1023	1	1	5	1	400150200	-1	17	3	107500	250101	50251	10000	67	730	657	547	912	70	730	657	547	912	0	0	0	0	0	0	0	0	0	0	4131	0	0	0	0	0	0	-1
400150200	1	1023	1	1	5	2	400150300	400150100	17	3	215000	250102	50251	10000	67	1460	1314	1095	1825	70	1460	1314	1095	1825	0	0	0	0	0	0	0	0	0	0	8262	0	0	0	0	0	0	-1
400150300	1	1023	1	1	5	3	400150400	400150200	17	3	860000	250103	50251	10000	67	2290	2061	1717	2862	70	2290	2061	1717	2862	0	0	0	0	0	0	0	0	0	0	12393	0	0	0	0	0	0	-1
400150400	1	1023	1	1	5	4	400150500	400150300	17	3	3440000	250104	50251	10000	67	3050	2745	2287	3812	70	3050	2745	2287	3812	0	0	0	0	0	0	0	0	0	0	18590	0	0	0	0	0	0	-1
400150500	1	1023	1	1	5	5	400150600	400150400	17	3	13760000	250105	50251	10000	67	5450	4905	4087	6812	70	5450	4905	4087	6812	0	0	0	0	0	0	0	0	0	0	27885	0	0	0	0	0	0	-1
400150600	1	1023	1	1	5	6	400150700	400150500	17	3	55040000	250106	50251	10000	67	7110	6399	5332	8887	70	7110	6399	5332	8887	0	0	0	0	0	0	0	0	0	0	41828	0	0	0	0	0	0	-1
400150700	1	1023	1	1	5	7	400150800	400150600	17	3	220160000	250107	50251	10000	67	9900	8910	7425	12375	70	9900	8910	7425	12375	0	0	0	0	0	0	0	0	0	0	62742	0	0	0	0	0	0	-1
400150800	1	1023	1	1	5	8	400150900	400150700	17	3	220160000	250108	50251	10000	67	12380	11142	9285	15475	70	12380	11142	9285	15475	0	0	0	0	0	0	0	0	0	0	87839	0	0	0	0	0	0	-1
400150900	1	1023	1	1	5	9	-1	400150800	17	-1	-1	250108	-1	10000	67	14850	13365	11137	18562	70	14850	13365	11137	18562	0	0	0	0	0	0	0	0	0	0	122975	0	0	0	0	0	0	-1
400130101	1	1023	2	3	3	1	400130201	-1	2	3	12500	230301	50131	10000	68	50	50	55	40	71	50	50	55	40	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	400140101
400130201	1	1023	2	3	3	2	400130301	400130101	2	3	25000	230302	50131	10000	68	100	100	110	80	71	100	100	110	80	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	400140201
400130301	1	1023	2	3	3	3	400130401	400130201	2	3	100000	230303	50131	10000	68	235	235	258	188	71	235	235	258	188	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	400140301
400130401	1	1023	2	3	3	4	400130501	400130301	2	3	400000	230304	50131	10000	68	310	310	341	248	71	310	310	341	248	0	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	0	400140401
400130501	1	1023	2	3	3	5	400130601	400130401	2	3	1600000	230305	50131	10000	68	520	520	572	416	71	520	520	572	416	0	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	0	0	400140501
400130601	1	1023	2	3	3	6	400130701	400130501	2	3	6400000	230306	50131	10000	68	675	675	742	540	71	675	675	742	540	0	0	0	0	0	0	0	0	0	0	2880	0	0	0	0	0	0	400140601
400130701	1	1023	2	3	3	7	400130801	400130601	5	3	25600000	230307	50131	10000	68	1200	1200	1320	960	71	1200	1200	1320	960	0	0	0	0	0	0	0	0	0	0	4320	0	0	0	0	0	0	400140701
400130801	1	1023	2	3	3	8	400130901	400130701	5	3	25600000	230308	50131	10000	68	1500	1500	1650	1200	71	1500	1500	1650	1200	0	0	0	0	0	0	0	0	0	0	6480	0	0	0	0	0	0	400140801
400130901	1	1023	2	3	3	9	-1	400130801	8	-1	-1	230308	-1	10000	68	1980	1980	2178	1584	71	1980	1980	2178	1584	0	0	0	0	0	0	0	0	0	0	9072	0	0	0	0	0	0	400140901
400140101	1	1023	2	3	4	1	400140201	-1	10	3	38750	240301	50141	10000	68	245	245	269	196	71	245	245	269	196	0	0	0	0	0	0	0	0	0	0	809	0	0	0	0	0	0	400150101
400140201	1	1023	2	3	4	2	400140301	400140101	10	3	77500	240302	50141	10000	68	335	335	368	268	71	335	335	368	268	0	0	0	0	0	0	0	0	0	0	1618	0	0	0	0	0	0	400150201
