注魂主ID	副ID，1注魂，2成神	valid	需要品质	状态限制（char_state_limit）	新装备ID	合成消耗ID	解封描述	模型路径	模型名字	模型路径	模型名字	视角距离（模型缩放的倒数）	解封脚本	虚拟魂装TIPS_ID	外观描述	外观数组1	外观数组2	外观数组3	外观数组4	外观数组5	已合成的检测成就
[K][C][S]soul_id	[K][C][S]soul_second_id	0	[C][S]quality_need	[C][S]acm_id_need	[C][S]new_type_id	[C][S]consume_id	[C]desc	[C]male_model_path	[C]male_model_name	[C]female_model_path	[C]female_model_name	[C]scale	[C]acm_script	[C]virtual_id	[C]app_desc	[C]app_parm1	[C]app_parm2	[C]app_parm3	[C]app_parm4	[C]app_parm5	[C]compose_acm
1100110	1	1	4	51000000	1101110	0	至少三阶以上装备才能合成魂装	base_effect	HZ_jianke_wuqi	base_effect	HZ_jianke_wuqi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2001
11100110	1	1	4	51000000	11101110	0	至少三阶以上装备才能合成魂装	base_effect	jianke_yifu	base_effect	jianke_yifu_nv	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2002
31100110	1	1	4	51000000	31101110	0	至少三阶以上装备才能合成魂装	base_effect	jianke_kuzi	base_effect	jianke_kuzi_nv	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2004
21100110	1	1	4	51000000	21101110	0	至少三阶以上装备才能合成魂装	base_effect	jianke_yaodai 	base_effect	jianke_yaodai_nv 	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2003
81100110	1	1	4	51000000	81101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_maozi	base_effect	daoke_maozi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2009
71100110	1	1	4	51000000	71101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_hujian	base_effect	daoke_hujian	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2008
41100110	1	1	4	51000000	41101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2005
91100110	1	1	4	51000000	91101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2010
51100110	1	1	4	51000000	51101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2006
61100110	1	1	4	51000000	61101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2007
1100120	1	1	4	51000000	1101120	0	至少三阶以上装备才能合成魂装	base_effect	HZ_jianke_wuqi	base_effect	HZ_jianke_wuqi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2001
11100120	1	1	4	51000000	11101120	0	至少三阶以上装备才能合成魂装	base_effect	jianke_yifu	base_effect	jianke_yifu_nv	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2002
31100120	1	1	4	51000000	31101120	0	至少三阶以上装备才能合成魂装	base_effect	jianke_kuzi	base_effect	jianke_kuzi_nv	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2004
21100120	1	1	4	51000000	21101120	0	至少三阶以上装备才能合成魂装	base_effect	jianke_yaodai 	base_effect	jianke_yaodai_nv 	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2003
81100120	1	1	4	51000000	81101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_maozi	base_effect	daoke_maozi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2009
71100120	1	1	4	51000000	71101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_hujian	base_effect	daoke_hujian	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2008
41100120	1	1	4	51000000	41101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2005
91100120	1	1	4	51000000	91101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2010
51100120	1	1	4	51000000	51101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2006
61100120	1	1	4	51000000	61101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2007
1100130	1	1	4	53001000	1101130	50630	强化全身10件装备到+10	base_effect	HZ_jianke_wuqi	base_effect	HZ_jianke_wuqi	1	RolePanel.CMD_ShowSubPanelByIndex(2,part,subIndex)	1101130	暂无	0	0	0	0	0	2011
11100130	1	1	4	53011000	11101130	50631	2个招式15级	base_effect	jianke_yifu	base_effect	jianke_yifu_nv	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(index,nil)	11101130	暂无	0	0	0	0	0	2012
31100130	1	1	4	53031000	31101130	50633	任意灵宠培养到2星	base_effect	jianke_kuzi	base_effect	jianke_kuzi_nv	1	LogicScriptManager.TriggerScript(4104201)	31101130	暂无	0	0	0	0	0	2014
21100130	1	1	4	53021000	21101130	50632	突破到元婴境	base_effect	jianke_yaodai 	base_effect	jianke_yaodai_nv 	1	RoleInfoPanel.ShowAssignPanel(2)	21101130	暂无	0	0	0	0	0	2013
81100130	1	1	4	53081000	81101130	50638	镶嵌5个3级宝石	base_effect	daoke_maozi	base_effect	daoke_maozi	1	RolePanel.CMD_ShowSubPanelByIndex(4,part,subIndex)	81101130	暂无	0	0	0	0	0	2019
71100130	1	1	4	53071000	71101130	50637	4件二阶以上装备双完美	base_effect	daoke_hujian	base_effect	daoke_hujian	1	RolePanel.CMD_ShowSubPanelByIndex(3,part,subIndex)	71101130	暂无	0	0	0	0	0	2018
41100130	1	1	4	53041000	41101130	50634	获得3只S级以上灵宠	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	LogicScriptManager.TriggerScript(4104201)	41101130	暂无	0	0	0	0	0	2015
91100130	1	1	4	53091000	91101130	50639	任意法器5级	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(index,nil)	91101130	暂无	0	0	0	0	0	2020
51100130	1	1	4	53051000	51101130	50635	三阶项链图纸（帮派商店有售）	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	OpenPanel(\"SchoolShop\")	51101130	暂无	0	0	0	0	0	2016
61100130	1	1	4	53061000	61101130	50636	三阶戒指图纸（帮派商店有售）	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	OpenPanel(\"SchoolShop\")	61101130	暂无	0	0	0	0	0	2017
1100140	1	1	4	54001000	1101140	50640	强化全身10件装备到+15	base_effect	HZ_jianke_wuqi	base_effect	HZ_jianke_wuqi	1	RolePanel.CMD_ShowSubPanelByIndex(2,part,subIndex)	1101140	暂无	0	0	0	0	0	2021
11100140	1	1	4	54011000	11101140	50641	2个招式25级	base_effect	jianke_yifu	base_effect	jianke_yifu_nv	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(index,nil)	11101140	暂无	0	0	0	0	0	2022
31100140	1	1	4	54031000	31101140	50643	任意灵宠培养到3星	base_effect	jianke_kuzi	base_effect	jianke_kuzi_nv	1	LogicScriptManager.TriggerScript(4104201)	31101140	暂无	0	0	0	0	0	2024
21100140	1	1	4	54021000	21101140	50642	重铸佩戴4张紫卡到完美	base_effect	jianke_yaodai 	base_effect	jianke_yaodai_nv 	1	CMD_OpenCardPanel(2,nil)	21101140	暂无	0	0	0	0	0	2023
81100140	1	1	4	54081000	81101140	50648	镶嵌10个4级宝石	base_effect	daoke_maozi	base_effect	daoke_maozi	1	RolePanel.CMD_ShowSubPanelByIndex(4,part,subIndex)	81101140	暂无	0	0	0	0	0	2029
71100140	1	1	4	54071000	71101140	50647	4件三阶以上装备双完美	base_effect	daoke_hujian	base_effect	daoke_hujian	1	RolePanel.CMD_ShowSubPanelByIndex(3,part,subIndex)	71101140	暂无	0	0	0	0	0	2028
41100140	1	1	4	54041000	41101140	50644	获得1只SS级灵宠	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	LogicScriptManager.TriggerScript(4104201)	41101140	暂无	0	0	0	0	0	2025
91100140	1	1	4	54091000	91101140	50649	任意紫色法器5级	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(index,nil)	91101140	暂无	0	0	0	0	0	2030
51100140	1	1	4	54051000	51101140	50645	四阶项链图纸（帮派商店有售）	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	OpenPanel(\"SchoolShop\")	51101140	暂无	0	0	0	0	0	2026
61100140	1	1	4	54061000	61101140	50646	四阶戒指图纸（帮派商店有售）	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	OpenPanel(\"SchoolShop\")	61101140	暂无	0	0	0	0	0	2027
