装备ID(2位部位，2位职业，3位区分，1位颜色，1位流水)	有效标志位客户端无用	名称	部位(0武器，1衣服，2腰带，3裤子，4手套，5项链，6戒指，7护肩，8头盔，9鞋子,10翅膀，11VIP装备)	颜色(0白，1绿，2蓝，3紫，4金,5红,6暗金)	门派职业限制(0通用职业，11昆仑，21琉璃，31乾坤，41凤鸣)	等级下限	等级上限	境界下限	境界上限	表现类型	性别限制(0不限，1男，2女)	有效期限(填-1为无限期，单位秒)	允许续费(0到期删除，1到期不删除)	时间限制ID	允许超时(0不允许，1允许)	地点限制ID	允许离开(0不允许，1允许)	变身模板限制ID	绑定方式(0不绑定，1拾取绑，2使用绑)	出售设置(0随意出售，1提示出售，2不可出售)	出售货币	金币价格	鉴定规则ID	精炼规则ID	精炼上限	注魂规则ID	强化规则ID(1位颜色，1位类型，2位部位<0武器，1衣服，2腰带，3裤子，4手套，5项链，6戒指，7徽章，8头盔，9鞋子>，1位流水)	基础属性池ID	蓝色属性条数上限	附加属性池ID1	精炼属性池ID	魂装属性池ID	套装ID	模型路径(路径要用/，用\时，\n**会被识别为换行)	模型类别(0轻剑；1重剑；2弓；3飞剑)	模型缩放(浮点数)	男图标前景ID（后面要把名字改为FontImageID_male）	男图标背景ID（后面要把名字改成BackImageID_male）	装备特效规则ID(2部位+2为职业+3位等级，只有武器和衣服)	装备描述	武器攻击间隔	是否广播	掉落特效	来源对象ID	掉落飞入特效	拍卖分类	拍卖价格	装备法球属性池ID	掉落上品彰显状态限制1（走状态限制表，即满足状态限制之后才会在掉落的时候彰显出来，装备默认的上品紫光，极品橙光）	掉落极品彰显状态限制2（走状态限制表，即满足状态限制之后才会在掉落的时候彰显出来，装备默认的上品紫光，极品橙光）	宝石装备位域（1圆、2方、4正）	神器标识	神器特殊战力	神技BUFFID	神技BUFF几率（绝对几率，万分比，不足一万以一万为分母，单件装备为分子，超过一万以总值为分母，每次触发时去掉已CD的）	BUFF的CD（秒）	BUFF持续时间（毫秒）	神器单件激活所需部位	神器激活属性ID	女图标前景ID	女图标背景ID
[K][C][S]ID	0	[C][S]Name	[C][S]Part	[C][S]Color	[C][S]Profession	[C][S]LimitMinLevel	[C][S]LimitMaxLevel	[C][S]LimitMinRealm	[C][S]LimitMaxRealm	[C][S]Expression	[C][S]LimitGender	[C][S]LifeTime	[C][S]CanRenew	[C][S]LimitTime	[C][S]CanOverTime	[C][S]LimitPlace	[C][S]CanLeave	[C][S]ChangeBodyID	[C][S]BlindType	[C][S]SaleType	[C][S]SaleMoney	[C][S]Price	[C][S]IdentifyID	[C][S]RefineID	[C][S]RefineMaxLvl	[C][S]PourSoulID	[C][S]StrengID	[C][S]WhiteAttrPool	[S]BlueAttrNum	[C][S]BlueAttrPool	[C][S]RefineAttrPool	[C][S]SoulAttrPool	[C][S]SuitID	[C][S]ModelPath	[C][S]ModelType	[C][S]ModelScale	[C][S]FontImageID	[C][S]BackImageID	[C][S]EquipEffectID	[C][S]Description	[C][S]AttackInterval	[C][S]CanBroadcast	[C]DropEffectID	[C]SourceOID	[C]TraceEffectID	[S]	[C][S]AuctionPriceID	[C][S]OrbAttrPool	[C]DropDecorateLimit1	[C]DropDecorateLimit2	[C][S]FlagType	[C][S]IsGodEquip	[S]	[C][S]GodBuffId	[S]	[S]	[S]	[C][S]GodActiveNeedPart	[C][S]GodActiveAttrPool	[C][S]FontImageID_female	[C][S]BackImageID_female
1100110	1	云岫	0	1	11	1	7200	0	999	11	0	-1	0	0	0	0	0	0	1	0	5	120	11	1110	0	0	10000	10011100	1	30011100	0	0	0	0	0	1	0	11_0_0	0	云心出岫，倦鸟尤来。孤松抚鞘，问天不归。	1000	0	1000024	1100110	1000004	0	0	0	60010000	60010001	7	0	0	0	0	0	0	-1	0	0	11_0_0
11100110	1	云岫衫	1	1	11	1	7200	0	999	111	0	-1	0	0	0	0	0	0	1	0	5	120	11	1111	0	0	10010	10111100	1	30111100	0	0	0	0	0	1	0	11_0_1	0	云岫入九天，上有昆仑剑。	1000	0	1000032	11100110	1000004	0	0	0	60110000	60110001	7	0	0	0	0	0	0	-1	0	0	11_0_1
21100110	1	云岫带	2	1	11	1	7200	0	999	211	0	-1	0	0	0	0	0	0	1	0	5	120	11	1112	0	0	10020	10211100	1	30211100	0	0	0	0	0	1	0	11_0_2	0	云岫入九天，上有昆仑剑。	1000	0	1000033	21100110	1000004	0	0	0	60210000	60210001	7	0	0	0	0	0	0	-1	0	0	11_0_2
31100110	1	云岫裤	3	1	11	1	7200	0	999	311	0	-1	0	0	0	0	0	0	1	0	5	120	11	1113	0	0	10030	10311100	1	30311100	0	0	0	0	0	1	0	11_0_3	0	云岫入九天，上有昆仑剑。	1000	0	1000029	31100110	1000004	0	0	0	60310000	60310001	7	0	0	0	0	0	0	-1	0	0	11_0_3
41100110	1	云岫护腕	4	1	11	1	7200	0	999	411	0	-1	0	0	0	0	0	0	1	0	5	100	12	1114	0	0	10040	10411100	1	30411100	0	0	0	0	0	1	0	11_0_4	0	云岫入九天，上有昆仑剑。	1000	0	1000030	41100110	1000004	0	0	0	60410000	60410001	7	0	0	0	0	0	0	-1	0	0	11_0_4
51100110	1	烛影	5	1	11	1	7200	0	999	511	0	-1	0	0	0	0	0	0	1	0	203	25	13	1115	0	0	10050	10511100	1	30511100	0	0	0	0	0	1	0	11_0_5	0	云母屏风烛影深，长河渐落晓星沉。	1000	0	1000031	51100110	1000004	0	0	0	60510000	60510001	7	0	0	0	0	0	0	-1	0	0	11_0_5
61100110	1	星沉	6	1	11	1	7200	0	999	611	0	-1	0	0	0	0	0	0	1	0	203	25	13	1116	0	0	10060	10611100	1	30611100	0	0	0	0	0	1	0	11_0_6	0	云母屏风烛影深，长河渐落晓星沉。	1000	0	1000028	61100110	1000004	0	0	0	60610000	60610001	7	0	0	0	0	0	0	-1	0	0	11_0_6
71100110	1	云岫护肩	7	1	11	1	7200	0	999	711	0	-1	0	0	0	0	0	0	1	0	5	100	12	1117	0	0	10070	10711100	1	30711100	0	0	0	0	0	1	0	11_0_7	0	云岫入九天，上有昆仑剑。	1000	0	1000061	71100110	1000004	0	0	0	60710000	60710001	7	0	0	0	0	0	0	-1	0	0	11_0_7
81100110	1	云岫盔	8	1	11	1	7200	0	999	811	0	-1	0	0	0	0	0	0	1	0	5	100	12	1118	0	0	10080	10811100	1	30811100	0	0	0	0	0	1	0	11_0_8	0	云岫入九天，上有昆仑剑。	1000	0	1000060	81100110	1000004	0	0	0	60810000	60810001	7	0	0	0	0	0	0	-1	0	0	11_0_8
