effect_id（与客户端脚本共用ID规则，但是从50000000以上，8位(1位标示+4位类型+3位流水)，标示：5任务，6地图（NPC包含在地图里），7系统，8运营活动，9其他，4位类型：1是4位任务ID，2是4位地图ID，3是4位系统ID（自定义），4是4位运营活动ID，5没有，就是流水号；事件效果配置表，在事件配置表的ID上+1位流水	effect_second_id（副主键）	valid	"effect_type(触发效果,0无，1更新任务进度(参数1为任务ID，参数2为任务第几个条件，从0开始；参数3为任务增加的进度)，2使一个NPC可以被攻击，3使一个NPC消失（后面参数分别填NPC个体的上下限，只要在上下限范围内的都会消失），4NPC出现（后面参数分别填NPC个体的上下限，只要在上下限范围内的都会出现），5NPC群组消失，6NPC群组出现,7修改一个地图的复活点(参数1X坐标、参数2Z坐标、参数3Y坐标（要乘以10）)，8是给一个目标加一个buff,9触发一个客户端脚本（effect_pram2。0：触发者是角色，给该角色发脚本，触发者是NPC，给NPC周围的人、1:表示给整个地图发脚本、2:表示给这个地图内的同队伍的玩家发脚本），10触发一个广播，11副本进度+1，12让一个npc个体死亡,13给一个地图的队长加BUFF，14封魔塔刷出当前关卡的NPC<NPC AI 需要触发这个事件>，15使同一张地图一类型NPC死亡<参数为type_id>，16迷宫副本修改角色坐标<参数1：X分米，参数2：Y分米>)，17刷新一次道藏任务，18删除NPC身上的buff（参数effect_pram1填buffID），19结束一个地图的副本（暂时只处理的小世界/周陵/天书陵/帮派宝库）；20招出一个黑户（参数1npc_type，参数2持续时间（单位毫秒），参数3坐标X，参数4坐标Y，参数5黑户NPC等级,参数6<对应参数3/4的，代表该坐标是固定坐标0还是偏移坐标1，参数7所属类型（0表示没有所属、1表示属于玩家个人、2表示属于玩家队伍、3表示属于玩家家族、4表示属于玩家阵营、5表示人物及其队伍（如果有的话））>），21给地图所有人员加BUFF（参数1 ：BUFF_ID  参数2 BUFF等级，参数2 BUFF等级，参数3 ： 持续时间），22给某个成就加值  参数1 成就ID 参数2 更新的次数，23给某个地图刷出封妖（地图ID，随机概率类型<0系统，1事件>，刷新最大数量），24给某个地图刷出封妖，系统触发（同上，design_cfg配触发），25触发掉落（参数1掉落ID，参数3广播ID，这种掉落不会弹框），26触发一个学院召集，不限人数，27事件触发新的事件，使用需谨慎，参数1为新事件ID，触发死循环弹JJ,28事件增加完成度（参数1代表增加多少完成度、参数2填2重置完成度），29事件触发整个地图的角色传送(本地图传送)（参数1为x坐标，参数2为z坐标，参数3为y坐标，要乘以10），30触发个人掉落（参数1掉落ID，参数3广播ID，这种掉落拾取后会弹框【effect_pram4。0表示个人掉落、1表示队伍掉落】）），31触发一个好友召集，前4个可相应号召，32给一个任务id，33从任务池中给一个任务，34触发家族神兽的开户的通知
"	effect_pram1（加buff则为buffID，广播ID）	effect_pram2（加buff则为buff等级，广播范围（1地图广播，2世界广播），脚本（0只对触发者触发，1对全地图玩家触发））	effect_pram3（加buff则为buff持续时间）	effect_pram4	effect_pram5	effect_pram6	effect_pram7	effect_pram8	effect_pram9	effect_pram10	trigger_opp（触发几率）
10017010	1	1	1	17	1	1	0	0	0	0	0	0	0	10000
41000020	1	1	2	410000006	1	1	0	0	0	0	0	0	0	10000
41001020	1	1	2	410000001	1	1	0	0	0	0	0	0	0	10000
41000050	1	1	2	410000009	1	1	0	0	0	0	0	0	0	10000
41001050	1	1	2	410000014	1	1	0	0	0	0	0	0	0	10000
41010020	1	1	2	410100006	1	1	0	0	0	0	0	0	0	10000
41011020	1	1	2	410100001	1	1	0	0	0	0	0	0	0	10000
41010050	1	1	2	410100009	1	1	0	0	0	0	0	0	0	10000
41011050	1	1	2	410100014	1	1	0	0	0	0	0	0	0	10000
41030010	1	1	2	410300005	1	1	0	0	0	0	0	0	0	10000
41030020	1	1	2	410300006	1	1	0	0	0	0	0	0	0	10000
41030030	1	1	2	410300001	1	1	0	0	0	0	0	0	0	10000
41030040	1	1	2	410300010	1	1	0	0	0	0	0	0	0	10000
41030050	1	1	2	410300031	1	1	0	0	0	0	0	0	0	10000
41030060	1	1	2	410300002	1	1	0	0	0	0	0	0	0	10000
41030101	1	1	6	410300101	0	0	0	0	0	0	0	0	0	10000
41030102	1	1	6	410300102	0	0	0	0	0	0	0	0	0	10000
41030103	1	1	6	410300103	0	0	0	0	0	0	0	0	0	10000
41030104	1	1	6	410300104	0	0	0	0	0	0	0	0	0	10000
41030198	1	1	8	410302	1	60000	0	0	0	0	0	0	0	10000
41030199	1	1	8	410303	1	90000	0	0	0	0	0	0	0	10000
41031011	1	1	10	41030004	1	0	0	0	0	0	0	0	0	10000
41031012	1	1	10	41030003	1	0	0	0	0	0	0	0	0	10000
41031021	1	1	10	41030005	1	0	0	0	0	0	0	0	0	10000
20022231	1	1	22	0	1	0	0	0	0	0	0	0	0	10000
20022232	1	1	22	0	1	0	0	0	0	0	0	0	0	10000
642010011	1	1	6	420102001	0	0	0	0	0	0	0	0	0	10000
642010021	1	1	3	420100002	420100002	0	0	0	0	0	0	0	0	10000
641010011	1	1	8	410101	1	2000	0	0	0	0	0	0	0	10000
641010021	1	1	10	2	1	0	0	0	0	0	0	0	0	10000
641010031	1	1	10	3	1	0	0	0	0	0	0	0	0	10000
641010041	1	0	10	4	1	0	0	0	0	0	0	0	0	10000
641010051	1	1	10	5	1	0	0	0	0	0	0	0	0	10000
641010061	1	0	10	6	1	0	0	0	0	0	0	0	0	10000
641010071	1	1	10	7	1	0	0	0	0	0	0	0	0	10000
641010081	1	0	10	8	1	0	0	0	0	0	0	0	0	10000
641010091	1	1	8	410106	1	2000	0	0	0	0	0	0	0	10000
641010101	1	1	8	410107	1	8000	0	0	0	0	0	0	0	10000
632020011	1	1	6	320102001	0	0	0	0	0	0	0	0	0	10000
632020012	1	1	3	320100002	320100002	0	0	0	0	0	0	0	0	10000
632020013	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632020021	1	1	6	320103001	0	0	0	0	0	0	0	0	0	10000
632020031	1	1	3	320100004	320100004	0	0	0	0	0	0	0	0	10000
