交互ID(类型+三位流水号）	有效标志位	交互类型（1俏皮话，2单人动作，3双人动作）	是否解锁（每个类型后面配1个0，表示后面还有功能未开放）	好友度	月卡标签	夫妻标签(0无，1夫妻)	名称	底图	开始动作延迟时间（和被邀请方是否萝莉有关，双人动作才加）	开始动作平移时间（和被邀请方是否萝莉有关）	开始动作平移幅度（Y轴）（和被邀请方是否萝莉有关）	结束动作平移时间（和被邀请方是否萝莉有关）	结束动作平移幅度（Y轴）（和被邀请方是否萝莉有关）	"触发动作类型（0无,1float,2trigger,3bool，unity中状态机）"	触发动作参数	触发动作名1	触发动作名2	特效ID	特效X轴偏移	特效Y轴偏移	特效Z轴偏移	个体CD	称号ID	特效大小（控制特效X、Y、Z的缩小）
[C][S]id	[C][S]valid	[C][S]type	[C][S]GetLock	[C][S]FriendDegree	[C][S]left_tips	[C][S]right_tips	[C][S]name	[C]BackImageID	[C][S]DelayTime	[C][S]ActionTime_1	[C][S]ActionTranslate_1	[C][S]ActionTime_2	[C][S]ActionTranslate_2	[C][S]ActionType	[C][S]ActionParam1	[C][S]ActionName_1	[C][S]ActionName_2	[C]effectID	[C]effectX	[C]effectY	[C]effectZ	[C]extraTime	[C]TitleID	[C]effectScale
1001	1	1	0	0	0	0	0	hud_interative01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1002	1	1	0	0	0	0	0	hud_interative02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1003	1	1	0	0	0	0	0	hud_interative03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1004	1	1	0	0	0	0	0	hud_interative04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1005	1	1	0	0	1	0	0	hud_interative05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1006	1	1	1	0	0	0	0	hud_interative05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	1	2	0	0	0	0	万家灯火	interactive00_10	0	0	0	0	0	2	0	hand04	0	1000084	0	0	0	58	1215	0.8
2002	1	2	0	0	0	0	打坐	interactive00_01	0	0	0	0	0	2	0	dazuo01	0	0	0	0	0	0	0	0
2003	1	2	0	0	0	0	跑步	interactive00_02	0	0	0	0	0	1	2	speed	0	0	0	0	0	0	0	0
2004	1	2	0	0	1	0	散步	interactive00_03	0	0	0	0	0	1	1	speed	0	0	0	0	0	0	0	0
2005	1	2	0	0	1	0	登场	interactive00_09	0	0	0	0	0	3	0	common01	0	0	0	0	0	0	0	0
2006	1	2	0	0	0	0	我帅吗	interactive00_05	0	0	0	0	0	2	0	hand03	0	0	0	0	0	0	0	0
2007	1	2	0	0	0	0	我美吗	interactive00_06	0	0	0	0	0	2	0	hand04	0	0	0	0	0	0	0	0
2008	1	2	0	0	0	0	无聊	interactive00_07	0	0	0	0	0	2	0	hand01	0	0	0	0	0	0	0	0
2009	1	2	0	0	1	0	漂浮	interactive00_08	0	0	0	0	0	2	0	mingxingstart	0	0	0	0	0	0	0	0
2010	1	2	1	0	0	0	采集	interactive00_04	0	0	0	0	0	2	0	hand02	0	0	0	0	0	0	0	0
3001	1	3	0	52000	1	0	公主抱	interactive01_01	0.733	0.466	0.178	0.333	0.178	2	0	invite01	invited01	0	0	0	0	0	0	0
3002	1	3	0	131400	1	1	拥吻	interactive01_02	0.733	0.466	0.178	0.333	0.178	2	0	invite02	invited02	0	0	0	0	0	0	0
3003	1	3	1	140000	1	1	相拥	interactive01_02	0.733	0.466	0.178	0.333	0.178	2	0	invite02	invited02	0	0	0	0	0	0	0
