#道藏ID	valid	#所属分类	#道藏所在分类下的索引	#道藏名称	#道藏描述	#等级上限	#道藏图标前景	#道藏图标后景	#满级属性-剑	#属性数值-剑	#满级属性-灵	#属性数值-灵	#满级属性-刀	#属性数值-刀	#满级属性-弓	#属性数值-弓	增加战力值
[C][S]id	0	[C][S]type	[C][S]sub_id	[C][S]name	[C][S]desc	[C][S]max_level	[C][S]front_image	[C][S]back_image	[C][S]max_act_attr11	[C][S]max_attr_value11	[C][S]max_act_attr21	[C][S]max_attr_value21	[C][S]max_act_attr31	[C][S]max_attr_value31	[C][S]max_act_attr41	[C][S]max_attr_value41	[S]add_fighting_
900001001	1	1	1	学而	《论语·学而》\n学而时习之，不亦说乎？\n有朋自远方来，不亦乐乎？人不知而不愠，不亦君子乎？\n吾日三省吾身：为人谋而不忠乎？与朋友交而不信乎？传不习乎？	1	item40_008	0	0	0	0	0	0	0	0	0	0
900001002	1	1	2	为政	《论语·为政》\n为政以德，譬如北辰，居其所而众星共之。\n《诗》三百，一言以蔽之，曰：“思无邪”。\n道之以政，齐之以刑，民免而无耻。道之以德，齐之以礼，有耻且格。	1	item40_012	0	0	0	0	0	0	0	0	0	0
900001003	1	1	3	八佾	《论语·八佾》\n子曰：“‘相维辟公，天子穆穆’，奚取于三家之堂？”\n“大哉问！礼，与其奢也，宁俭；丧，与其易也，宁戚。”\n“人而不仁，如礼何？人而不仁，如乐何？”	1	item40_004	0	0	0	0	0	0	0	0	0	0
900001004	1	1	4	里仁	《论语·里仁》\n富与贵，是人之所欲也；不以其道得之，不处也。\n贫与贱，是人之所恶也；不以其道得之，不去也。\n君子去仁，恶乎成名？君子无终食之间违仁，造次必于是，颠沛必于是。	1	item40_011	0	0	0	0	0	0	0	0	0	0
900001005	1	1	5	公冶长	《论语·公冶长》\n宰予昼寝，子曰：“朽木不可雕也，粪土之墙不可杇也，于予与何诛！”\n始吾于人也，听其言而信其行；今吾于人也，听其言而观其行。于予与改是。	1	item40_003	0	0	0	0	0	0	0	0	0	0
900001006	1	1	6	雍也	《论语·雍也》\n哀公问：“弟子孰为好学？”\n孔子对曰：“有颜回者好学，不迁怒，不贰过，不幸短命死矣。今也则亡，未闻好学者也。”	1	item40_009	0	0	0	0	0	0	0	0	0	0
900001007	1	1	7	述而	《论语·述而》\n默而识之，学而不厌，诲人不倦，何有于我哉？\n不愤不启，不悱不发。举一隅不以三隅反，则不复也。\n发愤忘食，乐以忘忧，不知老之将至。	1	item40_011	0	0	0	0	0	0	0	0	0	0
900001008	1	1	8	泰伯	《论语·泰伯》\n恭而无礼则劳，慎而无礼则葸，勇而无礼则乱，直而无礼则绞。\n士不可以不弘毅，任重而道远。仁以为己任，不亦重乎？死而后已，不亦远乎？	1	item40_003	0	0	0	0	0	0	0	0	0	0
900001009	1	1	9	子罕	《论语·子罕》\n三军可夺帅也，匹夫不可夺志也；\n岁寒，然后知松柏之后凋也；\n知者不惑，仁者不忧，勇者不惧。	1	item40_012	0	0	0	0	0	0	0	0	0	0
900001010	1	1	10	乡党	《论语·乡党》\n升车，必正立，执绥。车中，不内顾，不疾言，不亲指。\n乡人饮酒，杖者出，斯出矣。\n食不语，寝不言。席不正，不坐。	1	item40_005	0	0	0	0	0	0	0	0	0	0
