#道藏ID	#任务品质ID	valid	#生成权重（随机到该道藏作为任务的概率）	#灵宠数量（进行任务需要分配的灵宠个数）	#灵宠类型（擅长此道藏的任务的灵宠）	#秒做基础消耗（直接完成的货币消耗基础值，货币类型在design_cfg中配置）	#必得奖励ID（完成任务必然获得的奖励）	#概率奖励ID（概率获得的额外奖励）	#基础概率（概率奖励的几率基础值）	#单个灵宠加成（每多一个擅长灵宠对奖励概率的加成）	#灵宠品质扣减：SS级不扣，S扣1次，A扣2次，B扣3次，C扣4次	#任务模式（0时间型，1委托型）	#任务参数1（时间型表示时长1随机概率，委托行表示任务1的ID）	#任务参数2（时间型表示时长2的随机概率，委托型表示任务1的随机概率）	#任务参数3（参考参数1）	#任务参数4（参考参数2）	#任务参数5（参考参数1）	#任务参数6（参考参数2）
[C][S]id	[C][S]task_quality	0	[C][S]task_weight	[C][S]partner_num 	[C][S]partner_type	[C][S]buy_cd_cost	[C][S]determined_reward_id	[C][S]Probable_reward_id	[C][S]probable_basic_odds	[C][S]suitable_reward_odds	[C][S]realm_decrease_odds	[C][S]task_mode	[C][S]task_param1	[C][S]task_param2	[C][S]task_param3	[C][S]task_param4	[C][S]task_param5	[C][S]task_param6
900001001	1	1	590	1	1	50	50011101	50010101	4000	2000	250	0	100	100	0	0	0	0
900001002	1	1	590	1	1	50	50011101	50010101	4000	2000	250	0	100	100	0	0	0	0
900001003	1	1	590	1	1	50	50011101	50010101	4000	2000	250	0	100	100	0	0	0	0
900001004	1	1	590	1	1	50	50011101	50010101	4000	2000	250	0	100	100	0	0	0	0
900001005	1	1	590	1	1	50	50011101	50010101	4000	2000	250	0	100	100	0	0	0	0
900001006	1	1	590	1	1	50	50011101	50010101	4000	2000	250	0	100	100	0	0	0	0
900001007	1	1	590	1	1	50	50011101	50010101	4000	2000	250	0	100	100	0	0	0	0
900001008	1	1	590	1	1	50	50011101	50010101	4000	2000	250	0	100	100	0	0	0	0
900001009	1	1	590	1	1	50	50011101	50010101	4000	2000	250	0	100	100	0	0	0	0
900001010	1	1	590	1	1	50	50011101	50010101	4000	2000	250	0	100	100	0	0	0	0
900002001	1	1	590	1	2	50	50021101	50020101	4000	2000	250	0	100	100	0	0	0	0
900002002	1	1	590	1	2	50	50021101	50020101	4000	2000	250	0	100	100	0	0	0	0
900002003	1	1	590	1	2	50	50021101	50020101	4000	2000	250	0	100	100	0	0	0	0
900002004	1	1	590	1	2	50	50021101	50020101	4000	2000	250	0	100	100	0	0	0	0
900002005	1	1	590	1	2	50	50021101	50020101	4000	2000	250	0	100	100	0	0	0	0
900002006	1	1	590	1	2	50	50021101	50020101	4000	2000	250	0	100	100	0	0	0	0
900002007	1	1	590	1	2	50	50021101	50020101	4000	2000	250	0	100	100	0	0	0	0
900002008	1	1	590	1	2	50	50021101	50020101	4000	2000	250	0	100	100	0	0	0	0
900002009	1	1	590	1	2	50	50021101	50020101	4000	2000	250	0	100	100	0	0	0	0
900002010	1	1	590	1	2	50	50021101	50020101	4000	2000	250	0	100	100	0	0	0	0
900003001	1	1	610	1	3	50	50031101	50030101	4000	2000	250	0	100	100	0	0	0	0
900003002	1	1	610	1	3	50	50031101	50030101	4000	2000	250	0	100	100	0	0	0	0
900003003	1	1	610	1	3	50	50031101	50030101	4000	2000	250	0	100	100	0	0	0	0
900003004	1	1	610	1	3	50	50031101	50030101	4000	2000	250	0	100	100	0	0	0	0
900003005	1	1	610	1	3	50	50031101	50030101	4000	2000	250	0	100	100	0	0	0	0
900003006	1	1	610	1	3	50	50031101	50030101	4000	2000	250	0	100	100	0	0	0	0
900003007	1	1	610	1	3	50	50031101	50030101	4000	2000	250	0	100	100	0	0	0	0
900003008	1	1	610	1	3	50	50031101	50030101	4000	2000	250	0	100	100	0	0	0	0
900003009	1	1	610	1	3	50	50031101	50030101	4000	2000	250	0	100	100	0	0	0	0
900003010	1	1	610	1	3	50	50031101	50030101	4000	2000	250	0	100	100	0	0	0	0
900004001	1	1	590	1	4	50	50041101	50040101	4000	2000	250	0	100	100	0	0	0	0
900004002	1	1	590	1	4	50	50041101	50040101	4000	2000	250	0	100	100	0	0	0	0
900004003	1	1	590	1	4	50	50041101	50040101	4000	2000	250	0	100	100	0	0	0	0
900004004	1	1	590	1	4	50	50041101	50040101	4000	2000	250	0	100	100	0	0	0	0
900004005	1	1	590	1	4	50	50041101	50040101	4000	2000	250	0	100	100	0	0	0	0
900004006	1	1	590	1	4	50	50041101	50040101	4000	2000	250	0	100	100	0	0	0	0
900004007	1	1	590	1	4	50	50041101	50040101	4000	2000	250	0	100	100	0	0	0	0
900004008	1	1	590	1	4	50	50041101	50040101	4000	2000	250	0	100	100	0	0	0	0
900004009	1	1	590	1	4	50	50041101	50040101	4000	2000	250	0	100	100	0	0	0	0
900004010	1	1	590	1	4	50	50041101	50040101	4000	2000	250	0	100	100	0	0	0	0
900005001	1	1	590	1	5	50	50051101	50050101	4000	2000	250	0	100	100	0	0	0	0
900005002	1	1	590	1	5	50	50051101	50050101	4000	2000	250	0	100	100	0	0	0	0
900005003	1	1	590	1	5	50	50051101	50050101	4000	2000	250	0	100	100	0	0	0	0
900005004	1	1	590	1	5	50	50051101	50050101	4000	2000	250	0	100	100	0	0	0	0
900005005	1	1	590	1	5	50	50051101	50050101	4000	2000	250	0	100	100	0	0	0	0
900005006	1	1	590	1	5	50	50051101	50050101	4000	2000	250	0	100	100	0	0	0	0
900005007	1	1	590	1	5	50	50051101	50050101	4000	2000	250	0	100	100	0	0	0	0
900005008	1	1	590	1	5	50	50051101	50050101	4000	2000	250	0	100	100	0	0	0	0
900005009	1	1	590	1	5	50	50051101	50050101	4000	2000	250	0	100	100	0	0	0	0
900005010	1	1	590	1	5	50	50051101	50050101	4000	2000	250	0	100	100	0	0	0	0
900006001	1	1	590	1	6	50	50061101	50060101	4000	2000	250	0	100	100	0	0	0	0
900006002	1	1	590	1	6	50	50061101	50060101	4000	2000	250	0	100	100	0	0	0	0
900006003	1	1	590	1	6	50	50061101	50060101	4000	2000	250	0	100	100	0	0	0	0
900006004	1	1	590	1	6	50	50061101	50060101	4000	2000	250	0	100	100	0	0	0	0
900006005	1	1	590	1	6	50	50061101	50060101	4000	2000	250	0	100	100	0	0	0	0
900006006	1	1	590	1	6	50	50061101	50060101	4000	2000	250	0	100	100	0	0	0	0
900006007	1	1	590	1	6	50	50061101	50060101	4000	2000	250	0	100	100	0	0	0	0
900006008	1	1	590	1	6	50	50061101	50060101	4000	2000	250	0	100	100	0	0	0	0
900006009	1	1	590	1	6	50	50061101	50060101	4000	2000	250	0	100	100	0	0	0	0
900006010	1	1	590	1	6	50	50061101	50060101	4000	2000	250	0	100	100	0	0	0	0
900001001	2	1	290	1	1	50	50011101	50010201	5500	2000	250	0	0	0	100	100	0	0
900001002	2	1	290	1	1	50	50011101	50010201	5500	2000	250	0	0	0	100	100	0	0
900001003	2	1	290	2	1	50	50011101	50010201	3500	2000	250	0	0	0	100	100	0	0
900001004	2	1	290	2	1	50	50011101	50010201	3500	2000	250	0	0	0	100	100	0	0
900001005	2	1	290	2	1	50	50011101	50010201	3500	2000	250	0	0	0	100	100	0	0
900001006	2	1	290	2	1	50	50011101	50010201	3500	2000	250	0	0	0	100	100	0	0
900001007	2	1	290	2	1	50	50011101	50010201	3500	2000	250	0	0	0	100	100	0	0
900001008	2	1	290	2	1	50	50011101	50010201	3500	2000	250	0	0	0	100	100	0	0
900001009	2	1	290	2	1	50	50011101	50010201	3500	2000	250	0	0	0	100	100	0	0
900001010	2	1	290	2	1	50	50011101	50010201	3500	2000	250	0	0	0	100	100	0	0
900002001	2	1	290	1	2	50	50021101	50020201	5500	2000	250	0	0	0	100	100	0	0
900002002	2	1	290	1	2	50	50021101	50020201	5500	2000	250	0	0	0	100	100	0	0
900002003	2	1	290	2	2	50	50021101	50020201	3500	2000	250	0	0	0	100	100	0	0
900002004	2	1	290	2	2	50	50021101	50020201	3500	2000	250	0	0	0	100	100	0	0
900002005	2	1	290	2	2	50	50021101	50020201	3500	2000	250	0	0	0	100	100	0	0
