地图ID（公共地图ID要少于1000）	有效标志	地图名字	"地图类型(2单人普通历练，3单人精英历练；5001王城，5002新手村,5003夺旗，5004边境；10001MOBA3V3，10002世界BOSS，10003虚空之界，10004特殊虚空之界，10005教院驻地，10006剑池，破境副本10007,观灵阁服务器10012，10013巨兽，10014守望先锋MOBA，10015双路MOBA，10016新世界BOSS,10017盟主争夺战场，10018婚礼地图,10019九层妖塔,10020多人竞技场，10021转生副本,10022城池争夺战,10023神魔古墓，10024离线竞技场，10026武试准备场，10025夫妻副本，10027宝岛地宫,10028师徒副本,10029吃鸡副本,10030仙侣PK准备场,10031仙侣PK擂台，10032跨服吃鸡准备场,10033跨服吃鸡比赛场)"	队伍目标	地图路径	场景流水号（寻路相关，关联total_nav_name表，单人地图随便填个很大的值）	广播区域等级（0范围38.4*28.8，1范围10*10王城特殊处理了，2范围2000*2000，3范围8*8，4范围3*3）	最大横坐标	最大纵坐标	需要的最大人数（有需求的地图这个字段才有处理，攻城战为地图最大人数上限+单方人数上限不能超过该值一半）	需要的最小人数（MOBA检测的是单方人数）	需要的人物等级	需要的修为等级	状态限制ID	个人消耗限制ID	队长消耗限制ID	奖励次数限制ID	扫荡消耗	时间限制ID	复活点	副本超时时间	副本结束后持续时间	掉落ID1	掉落ID2	出生点	成就限制ID	奖励成就ID	副本buff	buff持续时间	"扩展功能，原轻功(0不可用轻功，1是可用轻功，2可以上坐骑，4坐骑可以飞，8经验衰减，16官员buff不生效，32是否可上交通坐骑,64是否根据固定的阵营关系计算PK关系，128灵兽是否出战，256是否允许队伍操作，512地图是否禁止祝福，1024是可用双人交互动作,2048原地复活是否可以加无敌）(只要可用轻功、坐骑可飞行、可上交通坐骑，服务器就不会做位置检测，可开加速)"	副本复活次数（现在只对服务器观灵阁有效）	三星成就（针对于服务器观灵阁生效）	进入地图触发事件（针对单人）	跳转地图读条时间	是否禁止PK（0不禁，1禁止）	阵营平衡阈值	阵营平衡人数差值	"副本进入方式（0个人队伍均可，这种不检测人数，不够就补其他的人或者机器人；1组队才能,组队才能匹配的需要检测人数，只有人数够了之后才能匹配；2个人匹配，只能个人匹配，组队点击的时候只会个人加入匹配队列）"	多少人开始分线，0代表不分线（仅公共地图可用）	异常回跳点	地图战利品等级	副本是否评分（0否，1是）	这个地图结束刷出的篝火NPC(个体ID)	地图最低战力	提升战力buffID	玩家这个副本的助战礼包的奖励id	副本正常跳出点（trans_pointID)	天地异变1天气	天地异变2天气	天地异变3天气	天地异变4天气	天地异变5天气	天地异变6天气	天地异变7天气	天地异变8天气	天地异变9天气	天地异变10天气
10	1	神都	5001	0	xinshendu.txt	7	1	10000	10000	5	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	1511	0	0	0	0	1	1000	100	0	500	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1	星月阁	5001	0	guojiaoxueyuan1.txt	2	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1101	300	30	0	0	1101	0	0	0	0	1511	0	0	0	0	1	1000	100	0	200	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	三合宫	5001	74001	ligong2.txt	5	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1301	300	30	0	0	1301	0	0	0	0	1511	0	0	0	0	1	1000	100	0	500	1301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	1	桃源村	5002	0	xinshoucunend.txt	31	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1401	300	30	0	0	1401	0	0	0	0	1511	0	0	0	0	1	1000	100	0	200	1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	1	[天策]领地	5004	0	bianjing.txt	33	3	10000	10000	150	1	1	1	0	0	0	0	0	0	2101	300	30	0	0	2101	0	0	0	0	2370	0	0	0	5000	0	1000	100	0	0	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1	[圣王]领地	5004	0	bianjing.txt	33	3	10000	10000	150	1	1	1	0	0	0	0	0	0	2201	300	30	0	0	2201	0	0	0	0	2370	0	0	0	5000	0	1000	100	0	0	2201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	1	[修罗]领地	5004	0	bianjing.txt	33	3	10000	10000	150	1	1	1	0	0	0	0	0	0	2301	300	30	0	0	2301	0	0	0	0	2370	0	0	0	5000	0	1000	100	0	0	2301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	1	[夺旗]巅峰雪谷	5003	0	duoqi.txt	32	3	10000	10000	150	1	1	1	10402201	0	0	0	0	0	3001	300	30	0	0	3001	0	0	0	0	2370	0	0	60030021	5000	0	100	50	0	0	3001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	1	星月阁	5001	0	guojiaoxueyuan1.txt	2	1	10000	10000	1	1	1	1	0	0	0	0	0	0	11101	300	30	0	0	11101	0	0	0	0	1511	0	0	0	0	1	1000	100	0	200	11101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	1	桃源村	5002	0	wumingqingshan4.txt	31	1	10000	10000	1	1	1	1	0	0	0	0	0	0	11401	300	30	0	0	11401	0	0	0	0	1511	0	0	0	0	1	1000	100	0	200	11401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
211	1	星月阁	5001	0	guojiaoxueyuan1.txt	2	1	10000	10000	1	1	1	1	0	0	0	0	0	0	21101	300	30	0	0	21101	0	0	0	0	1511	0	0	0	0	1	1000	100	0	200	21101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214	1	桃源村	5002	0	wumingqingshan4.txt	31	1	10000	10000	1	1	1	1	0	0	0	0	0	0	21401	300	30	0	0	21401	0	0	0	0	1511	0	0	0	0	1	1000	100	0	200	21401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301	1	琅嬛宝岛	5001	0	f_qifubaodao.txt	41	3	10000	10000	5	1	1	1	90001097	0	0	0	0	0	30101	300	30	0	0	30101	0	0	0	0	1282	0	0	0	0	1	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	1	琅嬛宝岛	5001	0	f_qifubaodao.txt	41	3	10000	10000	5	1	1	1	90001098	0	0	0	0	0	30201	300	30	0	0	30201	0	0	0	0	1282	0	0	0	0	1	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303	1	琅嬛宝岛	5001	0	f_qifubaodao.txt	41	3	10000	10000	5	1	1	1	90001099	0	0	0	0	0	30301	300	30	0	0	30301	0	0	0	0	1282	0	0	0	0	1	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	1	宝岛地宫	10027	0	f_baozang.txt	42	1	29800	21700	5	1	1	1	0	0	0	0	0	0	30401	300	30	0	0	30401	0	0	0	0	322	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
305	1	神龙藏宝图	5001	0	f_shouhu	21	3	10000	10000	5	1	1	1	0	0	0	0	0	0	30501	300	30	0	0	30501	0	0	0	0	322	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1001	1	尊灵宫惨案	2	0	guojiaocanan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1011	1	陆家村	2	0	wumingqingshan2.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1013	1	陆家村	2	0	wumingqingshan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1014	1	陆家村	2	0	wumingqingshan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1015	1	陆家村	2	0	wumingqingshan4.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021	1	神将府	2	0	shenjiangfu2.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1031	1	国子监	2	0	f_shujichu.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1032	1	藏书馆	2	0	f_cangshuge.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1033	1	圣教院	2	0	guojiaoxueyuan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1034	1	藏书馆	2	0	f_cangshuge.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1035	1	藏书馆	2	0	f_cangshuge.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1041	1	西宫	2	0	weiyanggong.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1042	1	圣教院	2	0	guojiaoxueyuan1.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1044	1	锁龙潭	2	0	heilongtan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1051	1	迷宫	2	0	heilongtan.txt	1000	1	14000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
