境界等级	玩家职业	副键(填几就代表后边有几个buff)	有效标志位	BUFF_ID	BUFF 等级	随机到的概率，相对概率
1	11	1	1	410120	1	2000
1	11	2	1	410121	1	2000
1	11	3	1	410122	1	2000
3	11	1	1	410120	1	2000
3	11	2	1	410121	1	2000
3	11	3	1	410122	1	2000
5	11	1	1	410120	1	2000
5	11	2	1	410121	1	2000
5	11	3	1	410122	1	2000
7	11	1	1	410120	1	2000
7	11	2	1	410121	1	2000
7	11	3	1	410122	1	2000
9	11	1	1	410120	1	2000
9	11	2	1	410121	1	2000
9	11	3	1	410122	1	2000
11	11	1	1	410120	1	2000
11	11	2	1	410121	1	2000
11	11	3	1	410122	1	2000
13	11	1	1	410120	1	2000
13	11	2	1	410121	1	2000
13	11	3	1	410122	1	2000
15	11	1	1	410120	1	2000
15	11	2	1	410121	1	2000
15	11	3	1	410122	1	2000
17	11	1	1	410120	1	2000
17	11	2	1	410121	1	2000
17	11	3	1	410122	1	2000
19	11	1	1	410120	1	2000
19	11	2	1	410121	1	2000
19	11	3	1	410122	1	2000
1	21	1	1	410120	1	2000
1	21	2	1	410121	1	2000
1	21	3	1	410122	1	2000
3	21	1	1	410120	1	2000
3	21	2	1	410121	1	2000
3	21	3	1	410122	1	2000
5	21	1	1	410120	1	2000
5	21	2	1	410121	1	2000
5	21	3	1	410122	1	2000
7	21	1	1	410120	1	2000
7	21	2	1	410121	1	2000
7	21	3	1	410122	1	2000
9	21	1	1	410120	1	2000
9	21	2	1	410121	1	2000
9	21	3	1	410122	1	2000
11	21	1	1	410120	1	2000
11	21	2	1	410121	1	2000
11	21	3	1	410122	1	2000
13	21	1	1	410120	1	2000
13	21	2	1	410121	1	2000
13	21	3	1	410122	1	2000
15	21	1	1	410120	1	2000
15	21	2	1	410121	1	2000
15	21	3	1	410122	1	2000
17	21	1	1	410120	1	2000
17	21	2	1	410121	1	2000
17	21	3	1	410122	1	2000
19	21	1	1	410120	1	2000
19	21	2	1	410121	1	2000
19	21	3	1	410122	1	2000
1	31	1	1	410120	1	2000
1	31	2	1	410121	1	2000
1	31	3	1	410122	1	2000
3	31	1	1	410120	1	2000
3	31	2	1	410121	1	2000
3	31	3	1	410122	1	2000
5	31	1	1	410120	1	2000
5	31	2	1	410121	1	2000
5	31	3	1	410122	1	2000
7	31	1	1	410120	1	2000
7	31	2	1	410121	1	2000
7	31	3	1	410122	1	2000
9	31	1	1	410120	1	2000
9	31	2	1	410121	1	2000
9	31	3	1	410122	1	2000
11	31	1	1	410120	1	2000
11	31	2	1	410121	1	2000
11	31	3	1	410122	1	2000
13	31	1	1	410120	1	2000
13	31	2	1	410121	1	2000
13	31	3	1	410122	1	2000
15	31	1	1	410120	1	2000
15	31	2	1	410121	1	2000
15	31	3	1	410122	1	2000
17	31	1	1	410120	1	2000
17	31	2	1	410121	1	2000
17	31	3	1	410122	1	2000
19	31	1	1	410120	1	2000
19	31	2	1	410121	1	2000
19	31	3	1	410122	1	2000
1	41	1	1	410120	1	2000
1	41	2	1	410121	1	2000
1	41	3	1	410122	1	2000
3	41	1	1	410120	1	2000
3	41	2	1	410121	1	2000
3	41	3	1	410122	1	2000
5	41	1	1	410120	1	2000
5	41	2	1	410121	1	2000
5	41	3	1	410122	1	2000
7	41	1	1	410120	1	2000
7	41	2	1	410121	1	2000
7	41	3	1	410122	1	2000
9	41	1	1	410120	1	2000
9	41	2	1	410121	1	2000
9	41	3	1	410122	1	2000
11	41	1	1	410120	1	2000
11	41	2	1	410121	1	2000
11	41	3	1	410122	1	2000
13	41	1	1	410120	1	2000
13	41	2	1	410121	1	2000
13	41	3	1	410122	1	2000
15	41	1	1	410120	1	2000
15	41	2	1	410121	1	2000
15	41	3	1	410122	1	2000
17	41	1	1	410120	1	2000
17	41	2	1	410121	1	2000
17	41	3	1	410122	1	2000
19	41	1	1	410120	1	2000
19	41	2	1	410121	1	2000
19	41	3	1	410122	1	2000
