NPC池ID	有效标志	池随机几率	NPC类型ID1	npc1随机概率	NPC类型ID2	npc2随机概率	NPC类型ID3	npc3随机概率	NPC类型ID4	npc4随机概率	NPC类型ID5	npc5随机概率	NPC类型ID6	npc6随机概率	NPC类型ID7	npc7随机概率	NPC类型ID8	npc8随机概率	NPC类型ID9	npc9随机概率	NPC类型ID10	npc10随机概率
304101	1	10000	304101	9800	304104	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304102	1	10000	304102	9800	304104	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304103	1	10000	304103	9800	304104	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304201	1	10000	304201	9800	304202	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3011101	1	10000	3011101	1000	3011102	2500	3011103	1000	3011104	2500	3011105	2500	3011106	2500	0	0	0	0	0	0	0	0
3011107	1	10000	3011107	1000	3011108	1000	3011120	2500	3011121	2500	3011110	2500	3011127	2500	0	0	0	0	0	0	0	0
3011109	1	10000	3011109	2500	3011110	2500	3011111	2500	3011112	2500	3011113	1000	3011114	1000	3011115	2500	0	0	0	0	0	0
3011116	1	10000	3011116	2500	3011117	2500	3011118	2500	3011119	2500	3011109	2500	3011124	2500	3011108	2500	3011109	1000	0	0	0	0
3012104	1	10000	3012104	2500	3012105	2500	3012106	2500	3012103	2500	3012108	2500	3012101	2500	3012102	0	0	0	0	0	0	0
3012107	1	10000	3012107	2500	3012120	2500	3012121	2500	3012122	2500	0	0	0	0	0	0	0	0	0	0	0	0
3012120	1	10000	3012120	2500	3012121	2500	3012106	2500	3012107	2500	3012108	0	0	0	0	0	0	0	0	0	0	0
3012110	1	10000	3012110	2500	3012111	2500	3012122	2500	3012128	2500	3012127	0	0	0	0	0	0	0	0	0	0	0
3012109	1	10000	3012109	2500	3012132	2500	3012133	2500	3012134	2500	0	0	0	0	0	0	0	0	0	0	0	0
3012113	1	10000	3012113	2500	3012114	2500	3012115	2500	3012116	2500	3012117	0	0	0	0	0	0	0	0	0	0	0
