境界ID	有效标志位	境界等级	境界名字	升级所需灵元(灵宠的灵元，满了才能突破)	升级属性ID（职业）(对应role_fight_attr的表，与境界等级共同起作用)	洗点攻击上限	单次攻击基数	洗点防御上限	单次防御基数	洗点生命上限	单次生命基数	洗点攻击战力值	洗点防御战力值	洗点生命战力值	档次	阶段对应星级
[C][S]id	0	[C][S]lvl	[C][S]name	[C][S]consumeStarNum	[C][S]attrID	[C][S]maxAttack	[S]	[C][S]maxDefence	[S]	[C][S]maxHp	[S]	[S]	[S]	[S]	[S]	[C][S]maxStar
100001	1	1	炼体境1阶	1000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	2	炼体境2阶	1000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	3	炼体境3阶	1000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	4	炼体境4阶	1000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	5	炼体境5阶	1000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	6	炼体境6阶	1000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	7	炼体境7阶	1000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	8	炼体境8阶	1000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	9	炼体境9阶	1000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	10	炼体境10阶	2000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	11	炼体境11阶	2000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	12	炼体境12阶	2000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	13	炼体境13阶	2000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	14	炼体境14阶	2000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	15	炼体境15阶	2000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	16	炼体境16阶	2000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	17	炼体境17阶	2000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	18	炼体境18阶	2000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	19	炼体境19阶	2000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	20	炼体境20阶	3000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	21	筑基初境1阶	3000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	22	筑基初境2阶	3000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	23	筑基初境3阶	3000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	24	筑基初境4阶	3000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	25	筑基初境5阶	3000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	26	筑基初境6阶	3000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	27	筑基初境7阶	3000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	28	筑基初境8阶	3000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	29	筑基初境9阶	3000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	30	筑基初境10阶	5000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	31	筑基中境1阶	5000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	32	筑基中境2阶	5000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	33	筑基中境3阶	5000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	34	筑基中境4阶	5000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	35	筑基中境5阶	5000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	36	筑基中境6阶	5000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	37	筑基中境7阶	5000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	38	筑基中境8阶	5000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	39	筑基中境9阶	5000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	40	筑基中境10阶	6000	900001	1784	81	892	40	24174	1098	675	675	675	0	1
100001	1	41	筑基上境1阶	6000	900001	1784	81	892	40	24174	1098	754	754	754	0	1
100001	1	42	筑基上境2阶	6000	900001	1784	81	892	40	24174	1098	754	754	754	0	1
100001	1	43	筑基上境3阶	6000	900001	1784	81	892	40	24174	1098	754	754	754	0	1
100001	1	44	筑基上境4阶	6000	900001	1784	81	892	40	24174	1098	754	754	754	0	1
100001	1	45	筑基上境5阶	6000	900001	1784	81	892	40	24174	1098	754	754	754	0	1
100001	1	46	筑基上境6阶	6000	900001	1784	81	892	40	24174	1098	754	754	754	0	1
100001	1	47	筑基上境7阶	6000	900001	1784	81	892	40	24174	1098	754	754	754	0	1
100001	1	48	筑基上境8阶	6000	900001	1784	81	892	40	24174	1098	754	754	754	0	1
100001	1	49	筑基上境9阶	6000	900001	1784	81	892	40	24174	1098	754	754	754	0	1
100001	1	50	筑基上境10阶	20000	900001	1784	81	892	40	24174	1098	754	754	754	0	1
100001	1	51	筑基巅峰1阶	20000	900001	4496	82	2248	41	73588	1497	2037	2037	2037	1	2
100001	1	52	筑基巅峰2阶	20000	900001	4496	82	2248	41	73588	1497	2037	2037	2037	1	2
100001	1	53	筑基巅峰3阶	20000	900001	4496	82	2248	41	73588	1497	2037	2037	2037	1	2
100001	1	54	筑基巅峰4阶	20000	900001	4496	82	2248	41	73588	1497	2037	2037	2037	1	2
100001	1	55	筑基巅峰5阶	20000	900001	4496	82	2248	41	73588	1497	2037	2037	2037	1	2
100001	1	56	筑基巅峰6阶	20000	900001	4496	82	2248	41	73588	1497	2037	2037	2037	1	2
100001	1	57	筑基巅峰7阶	20000	900001	4496	82	2248	41	73588	1497	2037	2037	2037	1	2
100001	1	58	筑基巅峰8阶	20000	900001	4496	82	2248	41	73588	1497	2037	2037	2037	1	2
100001	1	59	筑基巅峰9阶	20000	900001	4496	82	2248	41	73588	1497	2037	2037	2037	1	2
100001	1	60	筑基巅峰10阶	40000	900001	4496	82	2248	41	73588	1497	2037	2037	2037	1	2
100001	1	61	金丹初境1阶	40000	900001	4496	82	2248	41	73588	1497	2364	2364	2364	1	2
100001	1	62	金丹初境2阶	40000	900001	4496	82	2248	41	73588	1497	2364	2364	2364	1	2
100001	1	63	金丹初境3阶	40000	900001	4496	82	2248	41	73588	1497	2364	2364	2364	1	2
100001	1	64	金丹初境4阶	40000	900001	4496	82	2248	41	73588	1497	2364	2364	2364	1	2
100001	1	65	金丹初境5阶	40000	900001	4496	82	2248	41	73588	1497	2364	2364	2364	1	2
100001	1	66	金丹初境6阶	40000	900001	4496	82	2248	41	73588	1497	2364	2364	2364	1	2
