缘分ID	有效标志位	缘分名字	激活要求伙伴1，伙伴携带ID	激活要求伙伴2	激活要求伙伴3	激活要求伙伴4	激活要求伙伴5	激活要求伙伴6	属性类型1，属性类型枚举	属性类型1固定值	属性类型2	属性类型2固定值	属性类型3	属性类型3固定值	要求描述	效果描述
[C][S]id	0	[C][S]name	[C][S]partner1	[C][S]partner2	[C][S]partner3	[C][S]partner4	[C][S]partner5	[C][S]partner6	[S]attrType1	[S]fixedAttrValue1	[S]attrType2	[S]fixedAttrValue2	[S]attrType3	[S]fixedAttrValue3	[C]desc	[C]attrStr
2001	1	争斗	2	0	0	0	0	0	6	2000	0	0	0	0	拥有<color=#4895b2>大鹏</color>	闪避+20%
2002	1	喽啰	6	0	0	0	0	0	3072	1000	0	0	0	0	拥有<color=#4895b2>蓝魔蝠</color>	生命+10%
2003	1	争斗	1	0	0	0	0	0	7	2000	0	0	0	0	拥有<color=#4895b2>猩猩</color>	暴击+20%
2004	1	小弟	7	0	0	0	0	0	3067	1000	3070	1000	0	0	拥有<color=#4895b2>红魔蝠</color>	攻击+10%
2009	1	猛兽	4	0	0	0	0	0	3072	1000	0	0	0	0	拥有<color=#4895b2>黑虎</color>	生命+10%
2010	1	残暴	5	0	0	0	0	0	3068	1000	3071	1000	0	0	拥有<color=#4895b2>魔狼</color>	防御+10%
2005	1	咆哮	5	0	0	0	0	0	3072	1000	0	0	0	0	拥有<color=#4895b2>魔狼</color>	生命+10%
2006	1	猛兽	3	0	0	0	0	0	3067	1000	3070	1000	0	0	拥有<color=#4895b2>当康</color>	攻击+10%
2007	1	咆哮	4	0	0	0	0	0	3067	1000	3070	1000	0	0	拥有<color=#4895b2>黑虎</color>	攻击+10%
2008	1	残暴	3	0	0	0	0	0	3068	700	3071	700	3072	700	拥有<color=#4895b2>当康</color>	防御+7%、生命7%
2011	1	站队	99	0	0	0	0	0	3068	1500	3071	1500	0	0	拥有<color=#42ffd6>角羊</color>	防御+15%
2012	1	跟随	21	0	0	0	0	0	3067	1500	3070	1500	0	0	拥有<color=#42ffd6>魔弑者</color>	攻击+15%
2013	1	青山玩伴	99	0	0	0	0	0	3068	1500	3071	1500	0	0	拥有<color=#42ffd6>角羊</color>	防御+15%
2014	1	偷盗者	21	0	0	0	0	0	3067	1500	3070	1500	0	0	拥有<color=#42ffd6>魔弑者</color>	攻击+15%
3001	1	抓鱼	17	0	0	0	0	0	3068	2000	3071	2000	0	0	拥有<color=#aa6cc2>红人鱼</color>	防御+20%
3002	1	提携	1	0	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#4895b2>猩猩</color>	生命+20%
3003	1	陆空双雄	2	0	0	0	0	0	6	2500	0	0	0	0	拥有<color=#4895b2>大鹏</color>	闪避+25%
3004	1	驯化	2	0	0	0	0	0	3067	1500	3070	1500	0	0	拥有<color=#4895b2>大鹏</color>	攻击+15%
3005	1	红烧鱼	16	0	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#aa6cc2>蓝人鱼</color>	生命+20%
3006	1	统领	1	0	0	0	0	0	7	2500	0	0	0	0	拥有<color=#4895b2>猩猩</color>	暴击+25%
3007	1	狼狈为奸	14	0	0	0	0	0	3067	1500	3070	1500	0	0	拥有<color=#aa6cc2>魔豺射手</color>	攻击+15%
3008	1	妖精	13	0	0	0	0	0	74	2500	0	0	0	0	拥有<color=#aa6cc2>熊精</color>	破招+25%
3009	1	夜战份子	19	0	0	0	0	0	7	2500	0	0	0	0	拥有<color=#aa6cc2>红精怪</color>	暴击+25%
3010	1	种族恩怨	15	0	0	0	0	0	3072	1500	0	0	0	0	拥有<color=#aa6cc2>足八</color>	生命+15%
3011	1	妖精	12	0	0	0	0	0	7	2500	0	0	0	0	拥有<color=#aa6cc2>狼妖</color>	暴击+25%
