灵宠技能ID	技能等级	有效标志位	类型（0天赋、1金、2木、3水、4火、5土、6天（光）、7地（暗），大于1000为兽诀，客户端显示用）	颜色（0白，1绿，2蓝，3紫，4橙）	学习类型（同类型的学习上限共同）	学习上限	升级消耗道具	升级消耗道具数量	技能名字	出战对应技能ID	出战对应技能等级	出战属性池	技能释放几率	技能类型，0自动，1被动，2天赋	针对目标，位域：0无效，1灵宠，2主角	不出战对应属性池ID	灵宠等级要求	111标准剑客-该技能对此职业的修为	121高血-该技能对此职业的修为	131高防-该技能对此职业的修为	141高攻-该技能对此职业的修为	是否奥义	奥义转化技能（普通就填奥义，奥义就填普通）	奥义转化几率	出战技能描述	不战技能描述	技能图标前景	技能图标	是否合体技能
[C][S]id	[C][S]lvl	0	[C][S]elementType	[C][S]color	[C][S]learnType	[C][S]maxLearnNum	[C][S]lvlupItem	[C][S]lvlupNum	[C][S]name	[C][S]skillID	[C][S]skillLvl	[S]	[S]	[C][S]skillType	[C][S]targetType	[C][S]attrID	[C][S]lvlupLimit	[S]	[S]	[S]	[S]	[C][S]isArcane	[S]	[S]	[C]desc1	[C]desc2	[C]frontIcon	[C]icon	[C]isHeti
10201	1	1	0	3	0	1	0	0	中级狂暴天赋	0	0	91020101	10000	1	1	91020102	0	100	100	100	100	0	0	0	攻击+30%，防御-20%，生命-10%	将阵法总属性按以下规则转给主角\n攻击+15%，生命+10%	0	partner01_020	1
10202	1	1	0	3	0	1	0	0	中级磐石天赋	0	0	91020201	10000	1	1	91020202	0	100	100	100	100	0	0	0	攻击-30%，防御+30%\n普通攻击有几率嘲讽敌人攻击自己	将阵法总属性按以下规则转给主角\n防御+15%，生命+10%	0	partner01_502	1
10203	1	1	0	3	0	1	0	0	中级活力天赋	0	0	91020301	10000	1	1	91020302	0	100	100	100	100	0	0	0	攻击-20%，防御-10%，生命+30%	将阵法总属性按以下规则转给主角\n生命+15%，攻击+5%，防御+5%	0	partner01_005	1
10301	1	1	0	4	0	1	0	0	高级狂暴天赋	0	0	91030101	10000	1	1	91030102	0	150	150	150	150	0	0	0	攻击+35%，防御-20%	将阵法总属性按以下规则转给主角\n攻击+20%，生命+10%	0	partner01_020	1
10302	1	1	0	4	0	1	0	0	高级磐石天赋	0	0	91030201	10000	1	1	91030202	0	150	150	150	150	0	0	0	攻击-25%，防御+35%，生命+5%\n普通攻击有几率嘲讽敌人攻击自己	将阵法总属性按以下规则转给主角\n防御+20%，生命+10%	0	partner01_502	1
10303	1	1	0	4	0	1	0	0	高级活力天赋	0	0	91030301	10000	1	1	91030302	0	150	150	150	150	0	0	0	攻击-10%，防御-10%，生命+35%	将阵法总属性按以下规则转给主角\n生命+20%，攻击+5%，防御+5%	0	partner01_005	1
22010	1	1	1001	3	11	1	0	0	低级灵台之祭	0	0	92201001	10000	1	1	92201002	0	692	692	692	692	0	22011	2000	对目标造成伤害加深10%，自身受到伤害加深5%；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	对目标造成伤害加深5%，自身受到伤害加深2.5%	0	partner01_027	1
22020	1	1	1002	3	12	1	0	0	低级尔虞我诈	0	0	92202001	10000	1	1	92202002	0	692	692	692	692	0	22021	2000	受到伤害减免10%，对目标造成伤害减少5%；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	受到伤害减免5%，对目标造成伤害减少2.5%	0	partner01_031	1
22030	1	1	1003	3	13	1	0	0	低级霸王气息	0	0	92203001	10000	1	1	92203002	0	692	692	692	692	0	22031	2000	灵宠暴击伤害提升到230%；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角暴击伤害提升到215%	0	partner01_012	1
22040	1	1	1004	3	14	1	0	0	低级吸血	0	0	92204001	10000	1	0	92204002	0	692	692	692	692	0	22041	2000	灵宠攻击法球：攻击时有50%几率回复相当于攻击10%的生命值；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：10%几率回复相当于攻击10%的生命值	0	partner01_001	1
22050	1	1	1005	3	15	1	0	0	低级连击	0	0	92205001	10000	1	0	92205002	0	692	692	692	692	0	22051	2000	灵宠攻击法球：攻击时有10%几率对目标额外造成50%混合伤害；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：5%几率对目标额外造成50%混合伤害	0	partner01_021	1
22060	1	1	1006	3	16	1	0	0	低级震荡	0	0	92206001	10000	1	0	92206002	0	692	692	692	692	0	22061	2000	灵宠攻击法球：攻击时有5%几率眩晕目标1.5秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：2.5%几率眩晕目标1.5秒	0	partner01_501	1
22070	1	1	1007	3	17	1	0	0	低级禁锢	0	0	92207001	10000	1	0	92207002	0	692	692	692	692	0	22071	2000	灵宠攻击法球：攻击时有5%几率定身目标2.5秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：2.5%几率定身目标2.5秒	0	partner01_601	1
22080	1	1	1008	3	18	1	0	0	低级沉默	0	0	92208001	10000	1	0	92208002	0	692	692	692	692	0	22081	2000	灵宠攻击法球：攻击时有5%几率沉默目标2秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：2.5%几率沉默目标2秒	0	partner01_702	1
22090	1	1	1009	3	19	1	0	0	低级减速	0	0	92209001	10000	1	0	92209002	0	692	692	692	692	0	22091	2000	灵宠攻击法球：攻击时使目标减速10%，持续2秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：20%几率使目标减速10%，持续2秒	0	partner01_301	1
22100	1	1	1010	3	20	1	0	0	低级回复	0	0	92210001	10000	1	1	92210002	0	692	692	692	692	0	22101	2000	灵宠被击法球：回复自身5%生命值，冷却15秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角被击法球：20%几率回复自身5%生命值，冷却15秒	0	partner01_306	1
