升星ID	有效标志位	原灵宠ID	新灵宠ID	原灵宠等级要求	原灵宠突破要求	消耗道具id	消耗道具数量	原灵宠攻击资质id	原灵宠防御资质id	原灵宠生命资质id	新灵宠攻击资质id	新灵宠防御资质id	新灵宠生命资质id	原天赋数量	新天赋数量	原领悟技能数量	新领悟技能数量	原星级	新星级	最大星级	升星后最大星级	是否为变异
[S][C]ID	0	[S][C]BeforeID	[S][C]AfterID	[S][C]NeedLvl	[S][C]NeedEnhance	[S][C]NeedItemID	[S][C]NeedItemNum	[C]BeforeAtkAptitudeID	[C]BeforeDefAptitudeID	[C]BeforeHpAptitudeID	[C]AfterAtkAptitudeID	[C]AfterDefAptitudeID	[C]AfterHpAptitudeID	[C]BeforeGeniusNum	[C]AfterGeniusNum	[C]BeforeUnderstandID	[C]AfterUnderstandID	[C]BeforeStarLvl	[C]AfterStarLvl	[C]MaxStarLvl	[C]AfterMaxStarLvl	[C]IsVariation
740000011	1	740000011	740000012	60	2	410600000	2	400111	400112	400113	400121	400122	400123	2	2	4	4	1	2	5	5	0
740000012	1	740000012	740000013	1080	3	410600000	4	400121	400122	400123	400131	400132	400133	2	2	4	5	2	3	5	5	0
740000013	1	740000013	740000014	2100	4	410600000	6	400131	400132	400133	400141	400142	400143	2	2	5	5	3	4	5	5	0
740000014	1	740000014	740000015	3120	5	410600000	8	400141	400142	400143	400151	400152	400153	2	2	5	5	4	5	5	5	0
740000021	1	740000021	740000022	60	2	410600000	2	400211	400212	400213	400221	400222	400223	2	2	4	4	1	2	5	5	0
740000022	1	740000022	740000023	1080	3	410600000	4	400221	400222	400223	400231	400232	400233	2	2	4	5	2	3	5	5	0
740000023	1	740000023	740000024	2100	4	410600000	6	400231	400232	400233	400241	400242	400243	2	2	5	5	3	4	5	5	0
740000024	1	740000024	740000025	3120	5	410600000	8	400241	400242	400243	400251	400252	400253	2	2	5	5	4	5	5	5	0
760000011	1	760000011	760000012	60	2	410600000	4	600111	600112	600113	600121	600122	600123	2	2	5	5	1	2	10	10	0
760000012	1	760000012	760000013	1080	3	410600000	8	600121	600122	600123	600131	600132	600133	2	2	5	5	2	3	10	10	0
760000013	1	760000013	760000014	2100	4	410600000	12	600131	600132	600133	600141	600142	600143	2	2	5	5	3	4	10	10	0
760000014	1	760000014	760000015	3120	5	410600000	16	600141	600142	600143	600151	600152	600153	2	2	5	6	4	5	10	10	0
760000015	1	760000015	760000016	4140	6	410600000	15	600151	600152	600153	600161	600162	600163	2	3	6	6	5	6	10	10	0
760000016	1	760000016	760000017	5150	6	410600001	10	600161	600162	600163	600171	600172	600173	3	3	6	6	6	7	10	10	0
760000017	1	760000017	760000018	6180	7	410600001	15	600171	600172	600173	600181	600182	600183	3	3	6	6	7	8	10	10	0
760000018	1	760000018	760000019	7200	7	410600001	20	600181	600182	600183	600191	600192	600193	3	4	6	6	8	9	10	10	0
760000019	1	760000019	760000020	7210	8	410600001	25	600191	600192	600193	600201	600202	600203	4	4	6	6	9	10	10	10	0
740000002	1	740000002	740000101	2101	2	410600100	10	400021	400022	400023	401011	401012	401013	2	2	4	4	1	1	1	4	1
740000101	1	740000101	740000102	2101	3	410600100	12	401011	401012	401013	401021	401022	401023	2	2	4	4	1	2	4	4	0
740000102	1	740000102	740000103	2101	4	410600100	14	401021	401022	401023	401031	401032	401033	2	2	4	5	2	3	4	4	0
740000103	1	740000103	740000104	2101	5	410600000	6	401031	401032	401033	401041	401042	401043	2	2	5	5	3	4	4	4	0
740000006	1	740000006	740000201	2101	2	410600100	10	400061	400062	400063	402011	402012	402013	2	2	4	4	1	1	1	4	1
740000201	1	740000201	740000202	2101	3	410600100	12	402011	402012	402013	402021	402022	402023	2	2	4	4	1	2	4	4	0
740000202	1	740000202	740000203	2101	4	410600100	14	402021	402022	402023	402031	402032	402033	2	2	4	5	2	3	4	4	0
740000203	1	740000203	740000204	2101	5	410600000	6	402031	402032	402033	402041	402042	402043	2	2	5	5	3	4	4	4	0
740000010	1	740000010	740000301	2101	2	410600100	10	400101	400102	400103	403011	403012	403013	2	2	4	4	1	1	1	4	1
740000301	1	740000301	740000302	2101	3	410600100	12	403011	403012	403013	403021	403022	403023	2	2	4	4	1	2	4	4	0
740000302	1	740000302	740000303	2101	4	410600100	14	403021	403022	403023	403031	403032	403033	2	2	4	5	2	3	4	4	0
740000303	1	740000303	740000304	2101	5	410600000	6	403031	403032	403033	403041	403042	403043	2	2	5	5	3	4	4	4	0
760000003	1	760000003	760000101	2101	2	410600101	10	600031	600032	600033	601011	601012	601013	3	3	5	5	1	1	1	4	1
760000101	1	760000101	760000102	2101	3	410600000	6	601011	601012	601013	601021	601022	601023	3	3	5	5	1	2	4	4	0
760000102	1	760000102	760000103	2101	4	410600000	8	601021	601022	601023	601031	601032	601033	3	3	5	5	2	3	4	4	0
760000103	1	760000103	760000104	2101	5	410600000	10	601031	601032	601033	601041	601042	601043	3	3	5	5	3	4	4	4	0
760000005	1	760000005	760000201	4141	4	410600101	15	600051	600052	600053	602011	602012	602013	3	3	5	5	3	3	3	6	1
760000201	1	760000201	760000202	4141	5	410600000	14	602011	602012	602013	602021	602022	602023	3	3	5	5	3	4	6	6	0
760000202	1	760000202	760000203	4141	6	410600000	14	602021	602022	602023	602031	602032	602033	3	3	5	6	4	5	6	6	0
760000203	1	760000203	760000204	4141	7	410600000	15	602031	602032	602033	602041	602042	602043	3	3	6	6	5	6	6	6	0
760000006	1	760000006	760000301	4141	4	410600101	15	600061	600062	600063	603011	603012	603013	3	3	5	5	3	3	3	6	1
760000301	1	760000301	760000302	4141	5	410600000	14	603011	603012	603013	603021	603022	603023	3	3	5	5	3	4	6	6	0
760000302	1	760000302	760000303	4141	6	410600000	14	603021	603022	603023	603031	603032	603033	3	3	5	6	4	5	6	6	0
760000303	1	760000303	760000304	4141	7	410600000	15	603031	603032	603033	603041	603042	603043	3	3	6	6	5	6	6	6	0
760000007	1	760000007	760000401	2101	2	410600101	10	600071	600072	600073	604011	604012	604013	3	3	5	5	1	1	1	4	1
760000401	1	760000401	760000402	2101	3	410600000	6	604011	604012	604013	604021	604022	604023	3	3	5	5	1	2	4	4	0
760000402	1	760000402	760000403	2101	4	410600000	8	604021	604022	604023	604031	604032	604033	3	3	5	5	2	3	4	4	0
760000403	1	760000403	760000404	2101	5	410600000	10	604031	604032	604033	604041	604042	604043	3	3	5	5	3	4	4	4	0
760000009	1	760000009	760000501	6181	6	410600101	20	600091	600092	600093	605011	605012	605013	3	3	6	6	5	5	5	8	1
760000501	1	760000501	760000502	6181	7	410600000	15	605011	605012	605013	605021	605022	605023	3	3	6	6	5	6	8	8	0
760000502	1	760000502	760000503	6181	7	410600001	10	605021	605022	605023	605031	605032	605033	3	3	6	6	6	7	8	8	0
760000503	1	760000503	760000504	6181	8	410600001	15	605031	605032	605033	605041	605042	605043	3	3	6	6	7	8	8	8	0
760000010	1	760000010	760000601	6181	6	410600101	20	600101	600102	600103	606011	606012	606013	3	3	6	6	5	5	5	8	1
760000601	1	760000601	760000602	6181	7	410600000	15	606011	606012	606013	606021	606022	606023	3	3	6	6	5	6	8	8	0
760000602	1	760000602	760000603	6181	7	410600001	10	606021	606022	606023	606031	606032	606033	3	3	6	6	6	7	8	8	0
760000603	1	760000603	760000604	6181	8	410600001	15	606031	606032	606033	606041	606042	606043	3	3	6	6	7	8	8	8	0
