#id	#可用	#类型（1单数出现，2偶数出现）	#出现几率（此题目在本类型中出现的几率）	#正确答案	#选项数量	#题目（文本信息或文本信息ID）	选项1（文本信息或文本信息ID）	选项2（文本信息或文本信息ID）	选项3（文本信息或文本信息ID）	选项4（文本信息或文本信息ID）
[K][C][S]id	valid	[C][S]type_id	[C][S]probability	[C][S]answer_id	[C][S]answer_num	[C][S]questionDesc	[C][S]answer_1	[C][S]answer_2	[C][S]answer_3	[C][S]answer_4
1	1	1	10000	1	2	怎樣可以獲得唯美靈寵魅惑狐妖？	非刀客職業首儲	首儲	0	0
2	1	2	10000	1	2	發現遊戲BUG後該怎麼做？	聯繫客服並回饋細節	先測試一下是否屬實	0	0
3	1	1	10000	1	2	怎麼打開小地圖？	點擊右上角那個框框	點擊人物腳底	0	0
4	1	2	10000	2	2	主線任務要求達到多少多少級後該怎麼辦？	涼拌	參與支線和活動	0	0
5	1	1	10000	2	2	系統提示臨時背包滿了該怎麼辦？	再買個背包	臨時背包中取出物品	0	0
6	1	2	10000	1	2	提升等級最快的方法是什麼？	參與主線、活動日常	掛機	0	0
7	1	1	10000	2	2	什麼東西能提升人物等級？	銅幣	經驗	0	0
8	1	2	10000	1	2	什麼東西能提升技能等級？	秘笈	經驗	0	0
9	1	1	10000	1	2	以下哪個不全是坐騎？	黑毛羊駝、酒鬼葫蘆	白帝、靈狐、雪兔	0	0
10	1	2	10000	1	2	獲得第一隻靈寵後應該幹嘛？	選擇出戰	調戲一下	0	0
11	1	1	10000	1	2	武學裡面有什麼？	技能屬性、符文選擇	技能效果、技能遺忘	0	0
12	1	2	10000	2	2	靈寵遣散後有什麼好處？	概率獲得銀元	概率獲得靈寵幣	0	0
13	1	1	10000	1	2	靈寵最高級別為？	SS	SB	0	0
14	1	2	10000	1	2	靈寵陣法有什麼好處？	提高出戰靈寵屬性	提高出戰靈寵智商	0	0
15	1	1	10000	1	2	C級靈寵最多同時擁有幾個領悟技能？	2	3	0	0
16	1	2	10000	2	2	綁元可以用來幹嘛？	買棒棒糖吃	綁元商店購買物品	0	0
17	1	1	10000	1	2	靈寵被遣散後會幹嘛？	不再擁有	不聽話	0	0
18	1	2	10000	1	2	用什麼可以招募靈寵？	銅幣、招募令	零食、甜甜圈	0	0
19	1	1	10000	1	2	外觀不全包含哪些？	套裝、武器、背包	坐騎、靈寶、龍魂	0	0
20	1	2	10000	2	2	下面哪個不全是坐騎？	玄鐵劍、靈狐、白帝	天山雪雕、天山老妖	0	0
21	1	1	10000	1	2	下面哪些不全是遊戲中經文書籍裡的？	周易、孟子、唐詩	論語、尚書、禮記	0	0
22	1	2	10000	1	2	經文主要獲得哪些資源？	培養丹、銅幣	殘頁、秘笈	0	0
23	1	1	10000	1	2	下面哪個不全是遊戲中擁有的排行榜？	修為、擊殺、戰力	修為、魅力、幫派	0	0
24	1	2	10000	1	2	目前遊戲中分為哪三大陣營？	聖王、修羅、天策	昆侖、琉璃、乾坤	0	0
25	1	1	10000	1	2	陣營中的龍衛官職可以幹嘛？	獲專屬收益	召喚神龍	0	0
